"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","broken clouds",30.51,30.51,30.51,35.78,1006,2.1,68,117.15,-0.5,"2025-07-25 08:14:20.644795"
"2",1,"ID","Balikpapan","Clouds","few clouds",30.55,30.55,30.55,37.55,1007,3.6,74,116.8289,-1.2675,"2025-07-25 08:14:21.03796"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",28.69,28.69,28.69,30.52,1008,2.16,60,105.258,-5.4254,"2025-07-25 08:14:21.573753"
"4",1,"ID","Metro","Clouds","overcast clouds",29.17,29.17,29.17,32.35,1007,1.74,66,105.3067,-5.1131,"2025-07-25 08:14:21.913136"
"5",1,"ID","Pringsewu","Clouds","broken clouds",28.98,28.98,28.98,32.15,1008,2.04,67,104.9744,-5.3582,"2025-07-25 08:14:22.221069"
"6",1,"ID","Palembang","Clouds","scattered clouds",33.05,33.05,33.05,38.94,1007,1.54,58,104.7458,-2.9167,"2025-07-25 08:14:22.599179"
"7",1,"ID","Surabaya","Clear","clear sky",32.79,30.97,32.79,37.34,1009,4.63,55,112.7508,-7.2492,"2025-07-25 08:14:23.022793"
"8",1,"ID","Gresik","Clouds","scattered clouds",32.77,30.95,32.77,37.3,1009,3.65,55,112.6561,-7.1539,"2025-07-25 08:14:23.290456"
"9",1,"ID","Sidoarjo","Clear","clear sky",30.98,30.98,32.81,35.31,1009,4.63,62,112.7183,-7.4478,"2025-07-25 08:14:23.799181"
"10",1,"ID","Malang","Clouds","overcast clouds",27.96,27.96,27.96,30.46,1009,2,69,112.6304,-7.9797,"2025-07-25 08:14:24.078923"
"11",1,"ID","Probolinggo","Clouds","scattered clouds",31.19,31.19,31.19,35.51,1008,2.77,61,113.2159,-7.7543,"2025-07-25 08:14:24.347798"
"12",1,"ID","Semarang","Clouds","scattered clouds",33.96,33.96,34.2,37.03,1007,4.12,46,110.4203,-6.9932,"2025-07-25 08:14:24.707373"
"13",1,"PH","Solo","Rain","light rain",27.52,27.52,27.52,31.71,1002,8.04,86,120.9012,13.7469,"2025-07-25 08:14:25.21523"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",29.81,29.59,29.81,32.67,1008,3.29,61,110.3608,-7.7828,"2025-07-25 08:14:25.680705"
"15",1,"ID","Medan","Clouds","scattered clouds",30.02,30.02,30.02,37.02,1007,3.09,79,98.6667,3.5833,"2025-07-25 08:14:26.157464"
"16",1,"ID","Tebing Tinggi","Rain","light rain",30.2,30.2,30.2,36.05,1006,2.92,72,99.1623,3.3274,"2025-07-25 08:14:26.4642"
"17",1,"ID","Makassar","Clouds","few clouds",33.03,33.03,33.03,40.03,1006,3.09,66,119.4221,-5.14,"2025-07-25 08:14:26.847575"
"18",1,"ID","Jakarta","Clouds","scattered clouds",33.25,31.61,33.38,38.05,1007,6.69,54,106.8451,-6.2146,"2025-07-25 08:14:27.08627"
"19",1,"ID","Tangerang","Clouds","few clouds",31.79,31.61,33.38,37.18,1007,7.2,62,106.63,-6.1781,"2025-07-25 08:14:27.486359"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",33.19,31.44,33.21,36.97,1008,7.2,51,106.7085,-6.2955,"2025-07-25 08:14:27.883875"
"21",1,"ID","Bogor","Clouds","scattered clouds",32.9,32.9,32.9,36.09,1008,1.22,50,106.7892,-6.5944,"2025-07-25 08:14:28.361332"
"22",1,"ID","Depok","Clouds","scattered clouds",32.55,32.55,32.89,35.94,1007,6.69,52,106.8186,-6.4,"2025-07-25 08:14:28.773073"
"23",1,"ID","Bekasi","Clouds","scattered clouds",33.02,33.02,33.36,36.92,1007,6.69,52,106.9896,-6.2349,"2025-07-25 08:14:29.015872"
"24",1,"ID","Manado","Clouds","few clouds",34.43,34.43,34.43,40.09,1008,5.14,52,124.8455,1.487,"2025-07-25 08:14:29.292075"
"25",1,"ID","Jayapura","Clouds","overcast clouds",30.66,30.66,30.66,37.66,1009,2.87,82,140.7,-2.5333,"2025-07-25 08:14:29.542369"
"26",1,"ID","Bandung","Clouds","overcast clouds",27.64,27.1,29.43,30.83,1009,3.32,77,107.6186,-6.9039,"2025-07-25 08:14:29.862177"
"27",1,"ID","Pontianak","Clouds","broken clouds",33.99,33.99,33.99,40.99,1006,3.09,62,109.3333,-0.0333,"2025-07-25 08:14:30.124573"
"28",1,"ID","Ambon City","Clouds","scattered clouds",30.08,30.08,30.08,36.25,1008,3.6,74,128.1814,-3.6954,"2025-07-25 08:14:30.399154"
"29",1,"ID","Bima","Clouds","overcast clouds",29.56,29.56,29.56,32.57,1009,1.49,63,118.7167,-8.4667,"2025-07-25 08:14:30.834164"
"30",1,"ID","Banjarmasin","Clouds","overcast clouds",33.08,33.08,33.08,40.08,1005,1.19,62,114.591,-3.3244,"2025-07-25 08:14:31.307119"
"31",1,"ID","Palu","Clouds","few clouds",31.54,31.54,31.54,38.54,1008,2.01,70,119.8707,-0.8917,"2025-07-25 08:14:31.562348"
"32",1,"ID","Kendari","Clouds","scattered clouds",28.6,28.6,28.6,31.24,1008,3.23,66,122.4989,-3.945,"2025-07-25 08:14:31.873096"
"33",1,"ID","Gorontalo","Clear","clear sky",30.78,30.78,30.78,35.12,1007,3.38,63,123.0595,0.5412,"2025-07-25 08:14:32.326406"
"34",1,"ID","Bitung","Clouds","broken clouds",31.07,31.07,31.07,35.78,1007,7.21,63,125.1824,1.4451,"2025-07-25 08:14:32.662915"
"35",1,"ID","Banda Aceh","Clear","clear sky",30.69,30.69,30.69,35.43,1006,8.84,65,95.3222,5.5577,"2025-07-25 08:14:33.103751"
"36",1,"ID","Pekanbaru","Clouds","scattered clouds",32.18,32.18,32.18,39.18,1005,5.66,66,101.45,0.5333,"2025-07-25 08:14:33.361178"
"37",1,"ID","Padang","Clouds","overcast clouds",29.03,29.03,29.03,35.27,1008,2.3,82,100.3543,-0.9492,"2025-07-25 08:14:33.621073"
