"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","broken clouds",32.58,32.58,32.58,36.01,52,117.15,-0.5,"2024-03-12 03:17:37.370775"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",30.55,30.55,30.55,37.55,74,116.8289,-1.2675,"2024-03-12 03:17:37.859354"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",28.5,28.5,28.5,32.84,77,105.258,-5.4254,"2024-03-12 03:17:38.481432"
"4",1,"ID","Metro","Clouds","overcast clouds",27.97,27.97,27.97,31.72,78,105.3067,-5.1131,"2024-03-12 03:17:39.012396"
"5",1,"ID","Pringsewu","Clouds","broken clouds",29.16,29.16,29.16,33.28,71,104.9744,-5.3582,"2024-03-12 03:17:49.561774"
"6",1,"ID","Palembang","Clouds","few clouds",29.05,29.05,29.05,32.84,70,104.7458,-2.9167,"2024-03-12 03:17:50.259155"
"7",1,"ID","Surabaya","Haze","haze",26.97,26.97,30.52,31.07,94,112.7508,-7.2492,"2024-03-12 03:17:50.737146"
"8",2,"ID","Surabaya","Rain","moderate rain",26.97,26.97,30.52,31.07,94,112.7508,-7.2492,"2024-03-12 03:17:50.737146"
"9",1,"ID","Gresik","Rain","light rain",30.5,26.95,30.5,35.49,67,112.6561,-7.1539,"2024-03-12 03:17:53.404903"
"10",1,"ID","Sidoarjo","Haze","haze",26.98,26.98,30.53,31.1,94,112.7183,-7.4478,"2024-03-12 03:17:53.983369"
"11",1,"ID","Malang","Clouds","overcast clouds",29.38,29.38,29.38,32.04,62,112.6304,-7.9797,"2024-03-12 03:17:54.51291"
"12",1,"ID","Probolinggo","Rain","moderate rain",28.02,28.02,28.02,31.99,79,113.2159,-7.7543,"2024-03-12 03:17:54.91333"
"13",1,"ID","Semarang","Clouds","broken clouds",26.96,26.96,26.96,30.52,89,110.4203,-6.9932,"2024-03-12 03:17:55.248311"
