"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Rain","light rain",30.14,30.14,30.14,34.42,66,117.15,-0.5,"2024-03-13 03:16:28.640459"
"2",1,"ID","Balikpapan","Clouds","few clouds",27.55,27.55,27.55,31.39,83,116.8289,-1.2675,"2024-03-13 03:16:29.276099"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",25.44,25.44,25.44,26.42,91,105.258,-5.4254,"2024-03-13 03:16:29.918877"
"4",1,"ID","Metro","Clouds","overcast clouds",25.72,25.72,25.72,26.67,89,105.3067,-5.1131,"2024-03-13 03:16:30.629574"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",26.47,26.47,26.47,26.47,88,104.9744,-5.3582,"2024-03-13 03:16:31.09693"
"6",1,"ID","Palembang","Clouds","scattered clouds",28.05,28.05,28.05,32.71,83,104.7458,-2.9167,"2024-03-13 03:16:31.664492"
"7",1,"ID","Surabaya","Clouds","scattered clouds",27.97,27.97,29.96,34.36,94,112.7508,-7.2492,"2024-03-13 03:16:32.396139"
"8",1,"ID","Gresik","Clouds","overcast clouds",29.94,27.95,29.94,34.2,67,112.6561,-7.1539,"2024-03-13 03:16:32.976697"
"9",1,"ID","Sidoarjo","Rain","light rain",27.98,27.98,29.97,34.4,94,112.7183,-7.4478,"2024-03-13 03:16:33.607553"
"10",1,"ID","Malang","Rain","light rain",29.4,29.4,29.4,31.9,61,112.6304,-7.9797,"2024-03-13 03:16:34.305605"
"11",1,"ID","Probolinggo","Clouds","broken clouds",29.65,29.65,29.65,34.65,72,113.2159,-7.7543,"2024-03-13 03:16:34.901123"
"12",1,"ID","Semarang","Rain","light rain",25.96,25.96,25.96,25.96,100,110.4203,-6.9932,"2024-03-13 03:16:35.389319"
"13",1,"PH","Solo","Clouds","broken clouds",28.45,28.45,28.45,31.41,69,120.9012,13.7469,"2024-03-13 03:16:35.935792"
"14",1,"ID","Yogyakarta","Rain","light rain",27.53,27.53,27.53,30.47,76,110.3608,-7.7828,"2024-03-13 03:16:36.483119"
"15",1,"ID","Medan","Clouds","few clouds",30.01,30.01,30.02,36.07,74,98.6667,3.5833,"2024-03-13 03:16:37.085665"
"16",1,"ID","Tebing Tinggi","Clear","clear sky",30.19,30.19,30.19,32.99,59,99.1623,3.3274,"2024-03-13 03:16:37.543273"
"17",1,"ID","Makassar","Clouds","scattered clouds",30.03,30.03,30.03,37.03,84,119.4221,-5.14,"2024-03-13 03:16:38.190333"
"18",1,"ID","Jakarta","Haze","haze",29.05,28.83,29.05,34.66,79,106.8451,-6.2146,"2024-03-13 03:16:38.557958"
"19",1,"ID","Tangerang","Rain","moderate rain",28.89,28.83,29.04,33.23,74,106.63,-6.1781,"2024-03-13 03:16:39.229619"
"20",1,"ID","Tangerang Selatan","Clouds","broken clouds",28.8,28.66,28.88,33.02,74,106.7085,-6.2955,"2024-03-13 03:16:39.910733"
"21",1,"ID","Bogor","Clouds","overcast clouds",27.59,27.59,27.59,32.47,90,106.7892,-6.5944,"2024-03-13 03:16:40.499164"
"22",1,"ID","Depok","Haze","haze",28.55,28.34,28.55,33.33,79,106.8186,-6.4,"2024-03-13 03:16:41.035175"
"23",1,"ID","Bekasi","Haze","haze",29.02,28.81,29.02,34.58,79,106.9896,-6.2349,"2024-03-13 03:16:41.54957"
"24",1,"ID","Samarinda","Clouds","overcast clouds",29.37,29.37,29.37,35.08,77,117.15,-0.5,"2024-03-13 06:19:13.934278"
"25",1,"ID","Balikpapan","Rain","moderate rain",30.55,30.55,30.55,36.42,70,116.8289,-1.2675,"2024-03-13 06:19:14.711044"
"26",1,"ID","Bandar Lampung","Clouds","overcast clouds",26.2,26.2,26.2,26.2,87,105.258,-5.4254,"2024-03-13 06:19:15.572521"
"27",1,"ID","Metro","Clouds","overcast clouds",26.32,26.32,26.32,26.32,86,105.3067,-5.1131,"2024-03-13 06:19:16.397939"
"28",1,"ID","Pringsewu","Clouds","overcast clouds",25.82,25.82,25.82,26.81,90,104.9744,-5.3582,"2024-03-13 06:19:17.143692"
"29",1,"ID","Palembang","Clouds","broken clouds",31.05,31.05,31.05,36.56,66,104.7458,-2.9167,"2024-03-13 06:19:17.859834"
"30",1,"ID","Surabaya","Rain","moderate rain",29.97,29.97,29.97,35.96,74,112.7508,-7.2492,"2024-03-13 06:19:19.068321"
"31",1,"ID","Gresik","Clouds","overcast clouds",29.95,29.95,29.95,36.95,85,112.6561,-7.1539,"2024-03-13 06:19:19.896585"
"32",1,"ID","Sidoarjo","Rain","light rain",29.98,29.98,29.98,35.99,74,112.7183,-7.4478,"2024-03-13 06:19:20.759009"
"33",1,"ID","Malang","Clouds","broken clouds",29.14,29.14,29.14,32.29,66,112.6304,-7.9797,"2024-03-13 06:19:21.603574"
"34",1,"ID","Probolinggo","Clouds","overcast clouds",28.31,28.31,28.31,33.42,83,113.2159,-7.7543,"2024-03-13 06:19:22.386448"
"35",1,"ID","Semarang","Clouds","scattered clouds",28.96,28.96,28.96,35.51,84,110.4203,-6.9932,"2024-03-13 06:19:23.026778"
"36",1,"PH","Solo","Clouds","broken clouds",28.47,28.47,28.47,31.15,67,120.9012,13.7469,"2024-03-13 06:19:23.831296"
"37",1,"ID","Yogyakarta","Clouds","overcast clouds",30.9,30.9,30.9,35.65,64,110.3608,-7.7828,"2024-03-13 06:19:24.549372"
"38",1,"ID","Medan","Clouds","few clouds",31.68,31.68,32.02,36.06,59,98.6667,3.5833,"2024-03-13 06:19:25.40135"
"39",1,"ID","Tebing Tinggi","Clouds","few clouds",32.83,32.83,32.83,35.41,48,99.1623,3.3274,"2024-03-13 06:19:26.221095"
"40",1,"ID","Makassar","Clouds","broken clouds",31.03,31.03,31.03,38.03,84,119.4221,-5.14,"2024-03-13 06:19:26.855722"
"41",1,"ID","Jakarta","Haze","haze",30.05,29.96,30.05,35.16,70,106.8451,-6.2146,"2024-03-13 06:19:27.700775"
"42",1,"ID","Tangerang","Clouds","scattered clouds",29.95,29.95,30.04,34.92,70,106.63,-6.1781,"2024-03-13 06:19:28.374807"
"43",1,"ID","Tangerang Selatan","Rain","light rain",29.79,29.79,29.88,34.53,70,106.7085,-6.2955,"2024-03-13 06:19:29.157144"
"44",1,"ID","Bogor","Rain","light rain",28.59,28.59,28.59,35.46,89,106.7892,-6.5944,"2024-03-13 06:19:29.8081"
"45",1,"ID","Depok","Haze","haze",29.55,29.47,29.55,33.97,70,106.8186,-6.4,"2024-03-13 06:19:30.610771"
"46",1,"ID","Bekasi","Haze","haze",30.02,29.94,30.02,35.09,70,106.9896,-6.2349,"2024-03-13 06:19:31.29621"
"47",1,"ID","Samarinda","Clouds","overcast clouds",26.58,26.58,26.58,26.58,83,117.15,-0.5,"2024-03-13 09:14:53.336507"
"48",1,"ID","Balikpapan","Clouds","scattered clouds",30.55,30.55,30.55,35.36,66,116.8289,-1.2675,"2024-03-13 09:14:53.726741"
"49",1,"ID","Bandar Lampung","Rain","light rain",26.14,26.14,26.14,26.14,90,105.258,-5.4254,"2024-03-13 09:14:54.359884"
"50",1,"ID","Metro","Rain","light rain",26.57,26.57,26.57,26.57,86,105.3067,-5.1131,"2024-03-13 09:14:54.84531"
"51",1,"ID","Pringsewu","Rain","light rain",26.56,26.56,26.56,26.56,87,104.9744,-5.3582,"2024-03-13 09:14:55.355707"
"52",1,"ID","Palembang","Clouds","scattered clouds",31.05,31.05,31.05,37.73,70,104.7458,-2.9167,"2024-03-13 09:14:55.725538"
"53",1,"ID","Surabaya","Clouds","scattered clouds",25.97,25.97,25.97,25.97,94,112.7508,-7.2492,"2024-03-13 09:14:56.217108"
"54",1,"ID","Gresik","Rain","light rain",25.95,25.95,25.95,25.95,84,112.6561,-7.1539,"2024-03-13 09:14:56.583296"
"55",1,"ID","Sidoarjo","Clouds","scattered clouds",25.98,25.98,25.98,25.98,94,112.7183,-7.4478,"2024-03-13 09:14:57.314664"
"56",1,"ID","Malang","Clouds","overcast clouds",26.24,26.24,26.24,26.24,79,112.6304,-7.9797,"2024-03-13 09:14:57.889934"
"57",1,"ID","Probolinggo","Rain","light rain",28.65,28.65,28.65,33.78,80,113.2159,-7.7543,"2024-03-13 09:14:58.56906"
"58",1,"ID","Semarang","Rain","heavy intensity rain",24.96,24.96,24.96,26.12,100,110.4203,-6.9932,"2024-03-13 09:14:59.140387"
"59",1,"PH","Solo","Clouds","overcast clouds",28.48,28.48,28.48,31.16,67,120.9012,13.7469,"2024-03-13 09:14:59.704904"
"60",1,"ID","Yogyakarta","Rain","light rain",27.87,27.87,27.87,31.49,78,110.3608,-7.7828,"2024-03-13 09:15:00.159611"
"61",1,"ID","Medan","Clouds","few clouds",30.57,30.57,31.02,35.4,66,98.6667,3.5833,"2024-03-13 09:15:03.4622"
"62",1,"ID","Tebing Tinggi","Clear","clear sky",31.98,31.98,31.98,34.82,52,99.1623,3.3274,"2024-03-13 09:15:14.02002"
"63",1,"ID","Makassar","Clouds","scattered clouds",30.03,30.03,30.03,37.03,84,119.4221,-5.14,"2024-03-13 09:15:14.748414"
"64",1,"ID","Jakarta","Haze","haze",30.03,29.96,30.12,35.11,70,106.8451,-6.2146,"2024-03-13 09:15:15.163053"
"65",2,"ID","Jakarta","Rain","moderate rain",30.03,29.96,30.12,35.11,70,106.8451,-6.2146,"2024-03-13 09:15:15.163053"
"66",1,"ID","Tangerang","Rain","light rain",29.97,29.95,30.12,34.97,70,106.63,-6.1781,"2024-03-13 09:15:16.017155"
"67",1,"ID","Tangerang Selatan","Rain","heavy intensity rain",29.83,29.79,29.95,34.63,70,106.7085,-6.2955,"2024-03-13 09:15:26.436007"
"68",1,"ID","Bogor","Clouds","overcast clouds",28.66,28.59,28.66,34.41,83,106.7892,-6.5944,"2024-03-13 09:15:26.818851"
"69",1,"ID","Depok","Haze","haze",29.58,29.47,29.63,35.41,76,106.8186,-6.4,"2024-03-13 09:15:27.323984"
"70",1,"ID","Bekasi","Rain","heavy intensity rain",30.02,29.94,30.1,35.09,70,106.9896,-6.2349,"2024-03-13 09:15:36.839907"
"71",2,"ID","Bekasi","Haze","haze",30.02,29.94,30.1,35.09,70,106.9896,-6.2349,"2024-03-13 09:15:36.839907"
