"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",28.63,28.63,28.63,32.27,72,117.15,-0.5,"2024-02-13 09:14:09.210361"
"2",1,"ID","Balikpapan","Clouds","few clouds",29.55,29.55,29.55,33.13,66,116.8289,-1.2675,"2024-02-13 09:14:10.271254"
"3",1,"ID","Bandar Lampung","Rain","light rain",30.65,30.65,30.65,36.12,68,105.258,-5.4254,"2024-02-13 09:14:10.955019"
"4",1,"ID","Metro","Rain","light rain",31.14,31.14,31.14,36.49,65,105.3067,-5.1131,"2024-02-13 09:14:11.905465"
"5",1,"ID","Pringsewu","Clouds","broken clouds",29.11,29.11,29.11,35.51,82,104.9744,-5.3582,"2024-02-13 09:14:12.644899"
"6",1,"ID","Palembang","Rain","moderate rain",27.05,27.05,27.05,30.77,89,104.7458,-2.9167,"2024-02-13 09:14:13.368255"
"7",1,"ID","Surabaya","Clouds","scattered clouds",31.97,31.97,31.97,38.97,70,112.7508,-7.2492,"2024-02-13 09:14:13.97428"
"8",1,"ID","Gresik","Rain","light rain",31.95,31.95,31.95,38.95,75,112.6561,-7.1539,"2024-02-13 09:14:14.734156"
"9",1,"ID","Sidoarjo","Rain","light rain",31.98,31.98,31.98,38.98,70,112.7183,-7.4478,"2024-02-13 09:14:15.481898"
"10",1,"ID","Malang","Rain","light rain",27.18,27.18,27.18,30.46,83,112.6304,-7.9797,"2024-02-13 09:14:16.417608"
"11",1,"ID","Probolinggo","Clouds","scattered clouds",28.53,28.53,28.53,33.1,78,113.2159,-7.7543,"2024-02-13 09:14:17.098764"
"12",1,"ID","Semarang","Rain","light rain",28.96,28.96,28.96,33.4,74,110.4203,-6.9932,"2024-02-13 09:14:17.893694"
"13",1,"PH","Solo","Clouds","broken clouds",27.63,27.63,27.63,29.85,69,120.9012,13.7469,"2024-02-13 09:14:18.734174"
"14",1,"ID","Yogyakarta","Rain","light rain",29.41,29.41,29.41,33.64,70,110.3608,-7.7828,"2024-02-13 09:14:19.551946"
"15",1,"ID","Medan","Clouds","scattered clouds",30.57,30.57,31.02,35.4,66,98.6667,3.5833,"2024-02-13 09:14:20.247332"
