"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Rain","moderate rain",27.18,27.18,27.18,31.73,94,117.15,-0.5,"2024-05-15 09:18:13.647148"
"2",1,"ID","Balikpapan","Clouds","few clouds",30.55,30.55,30.55,37.55,79,116.8289,-1.2675,"2024-05-15 09:18:14.167008"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",28.93,28.93,28.93,34.55,80,105.258,-5.4254,"2024-05-15 09:18:14.790802"
"4",1,"ID","Metro","Clouds","overcast clouds",29.84,29.84,29.84,35.37,73,105.3067,-5.1131,"2024-05-15 09:18:15.289398"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",27.25,27.25,27.25,31.71,92,104.9744,-5.3582,"2024-05-15 09:18:15.653458"
"6",1,"ID","Palembang","Clouds","broken clouds",32.05,32.05,32.05,39.05,66,104.7458,-2.9167,"2024-05-15 09:18:16.330456"
"7",1,"ID","Surabaya","Clouds","few clouds",30.97,30.97,30.97,35.29,62,112.7508,-7.2492,"2024-05-15 09:18:16.867944"
"8",1,"ID","Gresik","Clouds","broken clouds",30.95,30.95,30.95,35.77,64,112.6561,-7.1539,"2024-05-15 09:18:17.315827"
"9",1,"ID","Sidoarjo","Clouds","few clouds",30.98,30.98,30.98,35.31,62,112.7183,-7.4478,"2024-05-15 09:18:17.690605"
"10",1,"ID","Malang","Clouds","overcast clouds",26.73,26.73,26.73,28.85,76,112.6304,-7.9797,"2024-05-15 09:18:18.210754"
"11",1,"ID","Probolinggo","Clouds","overcast clouds",29.45,29.45,29.45,32.54,64,113.2159,-7.7543,"2024-05-15 09:18:18.801176"
"12",1,"ID","Semarang","Clouds","scattered clouds",32.96,32.96,32.96,36.79,52,110.4203,-6.9932,"2024-05-15 09:18:19.410977"
"13",1,"PH","Solo","Clouds","overcast clouds",30.8,30.8,30.8,36.78,69,120.9012,13.7469,"2024-05-15 09:18:20.027192"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",27.23,27.23,27.23,29.84,76,110.3608,-7.7828,"2024-05-15 09:18:20.545221"
"15",1,"ID","Medan","Clouds","scattered clouds",30.57,30.57,31.02,36.47,70,98.6667,3.5833,"2024-05-15 09:18:20.985552"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",29,29,29,36,88,99.1623,3.3274,"2024-05-15 09:18:21.44204"
"17",1,"ID","Makassar","Clouds","scattered clouds",30.03,30.03,30.03,37.03,89,119.4221,-5.14,"2024-05-15 09:18:21.991598"
"18",1,"ID","Jakarta","Clouds","scattered clouds",33.04,31.61,33.05,37.9,55,106.8451,-6.2146,"2024-05-15 09:18:22.527"
"19",1,"ID","Tangerang","Clouds","few clouds",31.78,31.61,33.04,37.16,62,106.63,-6.1781,"2024-05-15 09:18:23.117504"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",31.95,31.44,32.88,37.57,62,106.7085,-6.2955,"2024-05-15 09:18:23.49292"
"21",1,"ID","Bogor","Clouds","scattered clouds",31.59,31.59,31.59,35.32,57,106.7892,-6.5944,"2024-05-15 09:18:23.920517"
"22",1,"ID","Depok","Clouds","scattered clouds",32.55,31.12,32.55,36.81,55,106.8186,-6.4,"2024-05-15 09:18:24.598696"
"23",1,"ID","Bekasi","Clouds","scattered clouds",33.02,31.59,33.02,37.86,55,106.9896,-6.2349,"2024-05-15 09:18:24.993948"
"24",1,"ID","Manado","Clouds","scattered clouds",27.43,27.43,27.43,31.86,89,124.8455,1.487,"2024-05-15 09:18:25.627838"
"25",1,"ID","Jayapura","Clouds","broken clouds",27.66,27.66,27.66,32.54,89,140.7,-2.5333,"2024-05-15 09:18:26.274308"
"26",1,"ID","Bandung","Clouds","scattered clouds",29.88,29.88,29.9,31.19,52,107.6186,-6.9039,"2024-05-15 09:18:26.848298"
"27",1,"ID","Pontianak","Clouds","scattered clouds",33.99,33.99,33.99,40.99,59,109.3333,-0.0333,"2024-05-15 09:18:27.309654"
"28",1,"ID","Ambon City","Clouds","scattered clouds",29.93,28.08,29.93,36.93,95,128.1814,-3.6954,"2024-05-15 09:18:27.953629"
"29",1,"ID","Bima","Clouds","broken clouds",28.69,28.69,28.69,34.09,81,118.7167,-8.4667,"2024-05-15 09:18:28.320603"
"30",1,"ID","Banjarmasin","Clouds","few clouds",32.08,32.08,32.08,37.57,61,114.591,-3.3244,"2024-05-15 09:18:28.934576"
"31",1,"ID","Palu","Rain","light rain",27.58,27.58,27.58,33.51,97,119.8707,-0.8917,"2024-05-15 09:18:29.502904"
"32",1,"ID","Kendari","Rain","moderate rain",23.79,23.79,23.79,24.78,98,122.4989,-3.945,"2024-05-15 09:18:29.992079"
"33",1,"ID","Gorontalo","Clouds","overcast clouds",26.92,26.92,26.92,30.81,93,123.0595,0.5412,"2024-05-15 09:18:30.544027"
"34",1,"ID","Bitung","Clouds","scattered clouds",27.47,27.47,27.47,31.06,82,125.1824,1.4451,"2024-05-15 09:18:30.915137"
"35",1,"ID","Banda Aceh","Clouds","overcast clouds",30.07,30.07,30.07,35.71,72,95.3222,5.5577,"2024-05-15 09:18:31.317086"
"36",1,"ID","Pekanbaru","Clouds","scattered clouds",30.18,30.18,30.18,37.18,79,101.45,0.5333,"2024-05-15 09:18:31.853291"
"37",1,"ID","Padang","Clouds","overcast clouds",31.03,31.03,31.03,38.03,84,100.3543,-0.9492,"2024-05-15 09:18:32.320917"
"38",1,"ID","Kupang","Clouds","few clouds",32.32,32.32,32.32,38.49,62,123.5833,-10.1667,"2024-05-15 09:18:32.685421"
"39",1,"ID","Sorong","Rain","moderate rain",28.65,28.65,28.65,33.4,78,131.25,-0.8833,"2024-05-15 09:18:33.253082"
"40",1,"ID","Denpasar","Clouds","few clouds",28.73,28.73,28.81,33.8,79,115.2167,-8.65,"2024-05-15 09:18:33.898732"
"41",1,"ID","Cirebon","Clouds","few clouds",29.54,29.54,29.54,34.38,72,108.557,-6.7063,"2024-05-15 09:18:34.274495"
"42",1,"ID","Tasikmalaya","Clouds","scattered clouds",27.61,27.61,27.61,30.28,73,108.2207,-7.3274,"2024-05-15 09:18:34.807356"
