"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Rain","light rain",28.57,28.57,28.57,35.39,89,117.15,-0.5,"2024-05-14 09:16:14.375835"
"2",1,"ID","Balikpapan","Clouds","few clouds",29.55,29.55,29.55,36.55,84,116.8289,-1.2675,"2024-05-14 09:16:15.065619"
"3",1,"ID","Bandar Lampung","Rain","moderate rain",25.89,25.89,25.89,26.88,90,105.258,-5.4254,"2024-05-14 09:16:15.662135"
"4",1,"ID","Metro","Rain","moderate rain",27.62,27.62,27.62,31.3,81,105.3067,-5.1131,"2024-05-14 09:16:16.097387"
"5",1,"ID","Pringsewu","Rain","heavy intensity rain",25.81,25.81,25.81,26.69,86,104.9744,-5.3582,"2024-05-14 09:16:16.639068"
"6",1,"ID","Palembang","Thunderstorm","thunderstorm with rain",25.05,25.05,25.05,26.22,100,104.7458,-2.9167,"2024-05-14 09:16:17.198821"
"7",2,"ID","Palembang","Rain","heavy intensity rain",25.05,25.05,25.05,26.22,100,104.7458,-2.9167,"2024-05-14 09:16:17.198821"
"8",1,"ID","Surabaya","Clouds","few clouds",30.97,30.97,30.97,37.52,70,112.7508,-7.2492,"2024-05-14 09:16:17.636769"
"9",1,"ID","Gresik","Clouds","scattered clouds",30.95,30.95,30.95,36.31,66,112.6561,-7.1539,"2024-05-14 09:16:18.051297"
"10",1,"ID","Sidoarjo","Clouds","few clouds",30.98,30.98,30.98,37.55,70,112.7183,-7.4478,"2024-05-14 09:16:18.614458"
"11",1,"ID","Malang","Clouds","overcast clouds",26.73,26.73,26.73,29.23,81,112.6304,-7.9797,"2024-05-14 09:16:19.174575"
"12",1,"ID","Probolinggo","Clouds","broken clouds",28.6,28.6,28.6,32.38,73,113.2159,-7.7543,"2024-05-14 09:16:19.668281"
"13",1,"ID","Semarang","Clouds","few clouds",31.96,31.96,31.96,38.96,70,110.4203,-6.9932,"2024-05-14 09:16:20.332569"
"14",1,"PH","Solo","Clouds","overcast clouds",30.84,30.84,30.84,36.88,69,120.9012,13.7469,"2024-05-14 09:16:20.691152"
"15",1,"ID","Yogyakarta","Clouds","broken clouds",27.47,27.47,27.47,30.57,78,110.3608,-7.7828,"2024-05-14 09:16:21.292111"
"16",1,"ID","Medan","Clouds","few clouds",30.57,30.57,31.02,37.57,74,98.6667,3.5833,"2024-05-14 09:16:22.015406"
"17",1,"ID","Tebing Tinggi","Clouds","overcast clouds",31.66,31.66,31.66,37.17,63,99.1623,3.3274,"2024-05-14 09:16:22.645043"
"18",1,"ID","Makassar","Clouds","few clouds",31.03,31.03,31.03,38.03,79,119.4221,-5.14,"2024-05-14 09:16:23.13411"
"19",1,"ID","Jakarta","Haze","haze",30.04,28.83,30.05,36.95,77,106.8451,-6.2146,"2024-05-14 09:16:23.824591"
"20",2,"ID","Jakarta","Rain","moderate rain",30.04,28.83,30.05,36.95,77,106.8451,-6.2146,"2024-05-14 09:16:23.824591"
"21",1,"ID","Tangerang","Haze","haze",29.1,28.83,30.04,34.58,78,106.63,-6.1781,"2024-05-14 09:16:24.332432"
"22",2,"ID","Tangerang","Rain","moderate rain",29.1,28.83,30.04,34.58,78,106.63,-6.1781,"2024-05-14 09:16:24.332432"
"23",1,"ID","Tangerang Selatan","Haze","haze",29.87,28.66,29.88,35.69,74,106.7085,-6.2955,"2024-05-14 09:16:25.051569"
"24",2,"ID","Tangerang Selatan","Rain","light rain",29.87,28.66,29.88,35.69,74,106.7085,-6.2955,"2024-05-14 09:16:25.051569"
"25",1,"ID","Bogor","Rain","heavy intensity rain",28.59,28.59,28.59,34.21,83,106.7892,-6.5944,"2024-05-14 09:16:25.437576"
"26",1,"ID","Depok","Haze","haze",29.55,28.34,29.55,35.57,77,106.8186,-6.4,"2024-05-14 09:16:25.903438"
"27",2,"ID","Depok","Rain","moderate rain",29.55,28.34,29.55,35.57,77,106.8186,-6.4,"2024-05-14 09:16:25.903438"
"28",1,"ID","Bekasi","Haze","haze",30.02,28.81,30.02,36.09,74,106.9896,-6.2349,"2024-05-14 09:16:26.325934"
"29",2,"ID","Bekasi","Rain","moderate rain",30.02,28.81,30.02,36.09,74,106.9896,-6.2349,"2024-05-14 09:16:26.325934"
"30",1,"ID","Manado","Clouds","broken clouds",26.43,26.43,26.43,26.43,100,124.8455,1.487,"2024-05-14 09:16:26.951663"
"31",1,"ID","Jayapura","Clouds","overcast clouds",25.66,25.66,25.66,26.68,92,140.7,-2.5333,"2024-05-14 09:16:27.435834"
"32",1,"ID","Bandung","Clouds","overcast clouds",25.99,25.99,26.01,25.99,74,107.6186,-6.9039,"2024-05-14 09:16:27.949613"
"33",1,"ID","Pontianak","Clouds","broken clouds",28.99,28.99,28.99,35.61,84,109.3333,-0.0333,"2024-05-14 09:16:28.530839"
"34",1,"ID","Ambon City","Clouds","scattered clouds",28.82,26.08,28.82,35.82,95,128.1814,-3.6954,"2024-05-14 09:16:28.90153"
"35",1,"ID","Bima","Clouds","scattered clouds",28.47,28.47,28.47,32.77,77,118.7167,-8.4667,"2024-05-14 09:16:29.319755"
"36",1,"ID","Banjarmasin","Clear","clear sky",34.08,34.08,34.08,41.08,57,114.591,-3.3244,"2024-05-14 09:16:29.864305"
"37",1,"ID","Palu","Clouds","broken clouds",27.94,27.94,27.94,34.44,95,119.8707,-0.8917,"2024-05-14 09:16:30.339416"
"38",1,"ID","Kendari","Clouds","scattered clouds",27.27,27.27,27.27,31.64,91,122.4989,-3.945,"2024-05-14 09:16:30.782175"
"39",1,"ID","Gorontalo","Clouds","overcast clouds",28.54,28.54,28.54,33.87,82,123.0595,0.5412,"2024-05-14 09:16:31.19519"
"40",1,"ID","Bitung","Clouds","broken clouds",26.47,26.47,26.47,26.47,85,125.1824,1.4451,"2024-05-14 09:16:31.621774"
"41",1,"ID","Banda Aceh","Clouds","overcast clouds",28.67,28.67,28.67,33.64,79,95.3222,5.5577,"2024-05-14 09:16:32.140096"
