"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","broken clouds",33.81,33.81,33.81,35.11,40,117.15,-0.5,"2024-04-17 03:17:33.20591"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",30.55,30.55,30.55,35.36,66,116.8289,-1.2675,"2024-04-17 03:17:33.714935"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",30.52,30.52,30.52,35.54,67,105.258,-5.4254,"2024-04-17 03:17:34.270771"
"4",1,"ID","Metro","Clouds","overcast clouds",29.74,29.74,29.74,34.87,72,105.3067,-5.1131,"2024-04-17 03:17:34.831657"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",31.2,31.2,31.2,36.08,63,104.9744,-5.3582,"2024-04-17 03:17:35.4853"
"6",1,"ID","Palembang","Clouds","broken clouds",29.05,29.05,29.05,35.79,84,104.7458,-2.9167,"2024-04-17 03:17:35.939903"
"7",1,"ID","Surabaya","Clouds","scattered clouds",29.97,29.97,29.97,36.97,79,112.7508,-7.2492,"2024-04-17 03:17:36.640598"
"8",1,"ID","Gresik","Clouds","overcast clouds",29.95,29.95,29.95,34.45,68,112.6561,-7.1539,"2024-04-17 03:17:37.363857"
"9",1,"ID","Sidoarjo","Clouds","scattered clouds",29.98,29.98,29.98,36.98,79,112.7183,-7.4478,"2024-04-17 03:17:38.017037"
"10",1,"ID","Malang","Clouds","broken clouds",28.8,28.8,28.8,32.83,73,112.6304,-7.9797,"2024-04-17 03:17:38.532727"
"11",1,"ID","Probolinggo","Clouds","broken clouds",31.96,31.96,31.96,37.59,62,113.2159,-7.7543,"2024-04-17 03:17:39.10575"
"12",1,"ID","Semarang","Clouds","few clouds",32.96,32.96,32.96,39.96,62,110.4203,-6.9932,"2024-04-17 03:17:39.794375"
"13",1,"PH","Solo","Clear","clear sky",29.64,29.64,29.64,33.74,68,120.9012,13.7469,"2024-04-17 03:17:40.373634"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",29.66,29.66,29.66,34.68,72,110.3608,-7.7828,"2024-04-17 03:17:40.978991"
"15",1,"ID","Medan","Clouds","scattered clouds",28.9,28.9,29.02,33.25,74,98.6667,3.5833,"2024-04-17 03:17:41.595837"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",25.35,25.35,25.35,26.42,95,99.1623,3.3274,"2024-04-17 03:17:42.272191"
"17",1,"ID","Makassar","Clouds","few clouds",32.03,32.03,32.03,39.03,74,119.4221,-5.14,"2024-04-17 03:17:42.986341"
"18",1,"ID","Jakarta","Clouds","few clouds",32.05,31.61,32.05,37.81,62,106.8451,-6.2146,"2024-04-17 03:17:43.650867"
"19",1,"ID","Tangerang","Clouds","scattered clouds",31.78,31.61,32.04,38.42,66,106.63,-6.1781,"2024-04-17 03:17:44.171783"
"20",1,"ID","Tangerang Selatan","Clouds","scattered clouds",31.8,31.44,31.88,38.47,66,106.7085,-6.2955,"2024-04-17 03:17:44.835567"
"21",1,"ID","Bogor","Clouds","few clouds",30.59,30.59,30.59,37.37,73,106.7892,-6.5944,"2024-04-17 03:17:45.464385"
"22",1,"ID","Depok","Clouds","few clouds",31.55,31.12,31.55,36.61,62,106.8186,-6.4,"2024-04-17 03:17:46.063169"
"23",1,"ID","Bekasi","Clouds","few clouds",32.02,31.59,32.02,37.74,62,106.9896,-6.2349,"2024-04-17 03:17:46.541377"
"24",1,"ID","Samarinda","Clouds","overcast clouds",36.42,36.42,36.42,38.6,36,117.15,-0.5,"2024-04-17 06:21:37.077229"
"25",1,"ID","Balikpapan","Clouds","few clouds",31.55,31.55,31.55,35.5,58,116.8289,-1.2675,"2024-04-17 06:21:37.586517"
"26",1,"ID","Bandar Lampung","Clouds","overcast clouds",32.92,32.92,32.92,38.28,57,105.258,-5.4254,"2024-04-17 06:21:38.208583"
"27",1,"ID","Metro","Clouds","overcast clouds",32.64,32.64,32.64,37.95,58,105.3067,-5.1131,"2024-04-17 06:21:38.924211"
"28",1,"ID","Pringsewu","Clouds","overcast clouds",33.22,33.22,33.22,38.32,55,104.9744,-5.3582,"2024-04-17 06:21:39.678302"
"29",1,"ID","Palembang","Clouds","scattered clouds",30.05,30.05,30.05,36.17,74,104.7458,-2.9167,"2024-04-17 06:21:40.344593"
"30",1,"ID","Surabaya","Rain","light rain",31.97,31.97,31.97,38.97,74,112.7508,-7.2492,"2024-04-17 06:21:40.704609"
"31",1,"ID","Gresik","Rain","light rain",31.95,31.95,31.95,36.96,60,112.6561,-7.1539,"2024-04-17 06:21:41.448373"
"32",1,"ID","Sidoarjo","Clouds","scattered clouds",31.98,31.98,31.98,38.98,74,112.7183,-7.4478,"2024-04-17 06:21:42.115648"
"33",1,"ID","Malang","Clouds","overcast clouds",27.04,27.04,27.04,30.33,85,112.6304,-7.9797,"2024-04-17 06:21:42.656539"
"34",1,"ID","Probolinggo","Clouds","broken clouds",27.81,27.81,27.81,32.21,84,113.2159,-7.7543,"2024-04-17 06:21:43.283242"
"35",1,"ID","Semarang","Clouds","scattered clouds",33.96,33.96,33.96,40.96,59,110.4203,-6.9932,"2024-04-17 06:21:43.951393"
"36",1,"PH","Solo","Clear","clear sky",31.05,31.05,31.05,35.21,61,120.9012,13.7469,"2024-04-17 06:21:44.633038"
"37",1,"ID","Yogyakarta","Clouds","overcast clouds",31.04,31.04,31.04,36.25,65,110.3608,-7.7828,"2024-04-17 06:21:45.209365"
"38",1,"ID","Medan","Clouds","scattered clouds",33.02,33.02,33.02,38.86,58,98.6667,3.5833,"2024-04-17 06:21:45.759171"
"39",1,"ID","Tebing Tinggi","Clouds","overcast clouds",28.6,28.6,28.6,33.84,81,99.1623,3.3274,"2024-04-17 06:21:46.268796"
"40",1,"ID","Makassar","Clouds","few clouds",33.03,33.03,33.03,40.03,70,119.4221,-5.14,"2024-04-17 06:21:46.961264"
"41",1,"ID","Jakarta","Clouds","scattered clouds",33.45,31.05,35.12,40.45,76,106.8451,-6.2146,"2024-04-17 06:21:47.568351"
"42",1,"ID","Tangerang","Clouds","few clouds",33.35,31.04,35.11,40.35,61,106.63,-6.1781,"2024-04-17 06:21:48.030789"
"43",1,"ID","Tangerang Selatan","Clouds","few clouds",34.89,30.88,34.95,41.89,74,106.7085,-6.2955,"2024-04-17 06:21:48.757309"
"44",1,"ID","Bogor","Clouds","scattered clouds",33.45,29.59,33.66,40.45,65,106.7892,-6.5944,"2024-04-17 06:21:49.404332"
"45",1,"ID","Depok","Clouds","scattered clouds",33.29,30.55,34.62,40.29,76,106.8186,-6.4,"2024-04-17 06:21:49.826681"
"46",1,"ID","Bekasi","Clouds","scattered clouds",32.54,31.02,35.09,39.54,66,106.9896,-6.2349,"2024-04-17 06:21:50.329004"
"47",1,"ID","Samarinda","Clouds","overcast clouds",30.7,30.7,30.7,33.76,58,117.15,-0.5,"2024-04-17 09:15:23.153647"
