"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",29.68,29.68,29.68,36.68,86,117.15,-0.5,"2024-05-02 06:18:26.64429"
"2",1,"ID","Balikpapan","Clouds","few clouds",30.55,30.55,30.55,37.55,79,116.8289,-1.2675,"2024-05-02 06:18:27.303075"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",29.07,29.07,29.07,34.08,76,105.258,-5.4254,"2024-05-02 06:18:28.052844"
"4",1,"ID","Metro","Clouds","overcast clouds",30.82,30.82,30.82,37.12,70,105.3067,-5.1131,"2024-05-02 06:18:29.073031"
"5",1,"ID","Pringsewu","Clouds","broken clouds",31.48,31.48,31.48,37.03,64,104.9744,-5.3582,"2024-05-02 06:18:29.777667"
"6",1,"ID","Palembang","Clouds","scattered clouds",32.05,32.05,32.05,39.05,70,104.7458,-2.9167,"2024-05-02 06:18:30.271899"
"7",1,"ID","Surabaya","Clouds","few clouds",31.97,31.97,31.97,38.97,74,112.7508,-7.2492,"2024-05-02 06:18:30.721251"
"8",1,"ID","Gresik","Clouds","scattered clouds",31.95,31.95,31.95,37.26,61,112.6561,-7.1539,"2024-05-02 06:18:31.26046"
"9",1,"ID","Sidoarjo","Clouds","few clouds",32.98,32.98,32.98,39.98,62,112.7183,-7.4478,"2024-05-02 06:18:31.871596"
"10",1,"ID","Malang","Clouds","broken clouds",27.1,27.1,27.1,30.37,84,112.6304,-7.9797,"2024-05-02 06:18:32.570457"
"11",1,"ID","Probolinggo","Clouds","few clouds",30.43,30.43,30.43,36.11,70,113.2159,-7.7543,"2024-05-02 06:18:33.061925"
"12",1,"ID","Semarang","Clouds","few clouds",34.96,34.96,34.96,41.38,52,110.4203,-6.9932,"2024-05-02 06:18:33.645413"
"13",1,"PH","Solo","Clouds","broken clouds",31.16,31.16,31.16,35.71,62,120.9012,13.7469,"2024-05-02 06:18:34.423083"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",29.3,29.3,29.3,34.23,74,110.3608,-7.7828,"2024-05-02 06:18:35.008981"
"15",1,"ID","Medan","Clouds","scattered clouds",32.87,32.79,33.94,39.87,66,98.6667,3.5833,"2024-05-02 06:18:35.498497"
