"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",30.84,30.84,30.84,37.17,70,117.15,-0.5,"2024-05-02 03:16:25.087224"
"2",1,"ID","Balikpapan","Clouds","broken clouds",27.55,27.55,27.55,32.94,94,116.8289,-1.2675,"2024-05-02 03:16:25.666475"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",30,30,30,34.8,69,105.258,-5.4254,"2024-05-02 03:16:26.401054"
"4",1,"ID","Metro","Clouds","overcast clouds",27.64,27.64,27.64,31.09,79,105.3067,-5.1131,"2024-05-02 03:16:27.113004"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",30.99,30.99,30.99,36.98,68,104.9744,-5.3582,"2024-05-02 03:16:27.583454"
"6",1,"ID","Palembang","Clouds","scattered clouds",29.05,29.05,29.05,35.79,84,104.7458,-2.9167,"2024-05-02 03:16:28.054168"
"7",1,"ID","Surabaya","Clouds","few clouds",31.97,31.97,31.97,38.92,66,112.7508,-7.2492,"2024-05-02 03:16:28.751519"
"8",1,"ID","Gresik","Clouds","few clouds",31.95,31.95,31.95,38.95,71,112.6561,-7.1539,"2024-05-02 03:16:29.439312"
"9",1,"ID","Sidoarjo","Clouds","few clouds",31.98,31.98,31.98,38.95,66,112.7183,-7.4478,"2024-05-02 03:16:30.161102"
"10",1,"ID","Malang","Clouds","few clouds",29.36,29.36,29.36,32.74,66,112.6304,-7.9797,"2024-05-02 03:16:30.636202"
"11",1,"ID","Probolinggo","Clear","clear sky",30.56,30.56,30.56,37.56,78,113.2159,-7.7543,"2024-05-02 03:16:31.118781"
"12",1,"ID","Semarang","Haze","haze",31.96,31.96,31.96,38.96,70,110.4203,-6.9932,"2024-05-02 03:16:31.635455"
"13",1,"PH","Solo","Clouds","scattered clouds",30.47,30.47,30.47,35.68,68,120.9012,13.7469,"2024-05-02 03:16:32.091166"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",29.44,29.44,29.44,33.92,71,110.3608,-7.7828,"2024-05-02 03:16:32.570005"
"15",1,"ID","Medan","Clouds","scattered clouds",30.57,30.57,31.02,37.57,74,98.6667,3.5833,"2024-05-02 03:16:32.948725"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",27.75,27.75,27.75,32.05,84,99.1623,3.3274,"2024-05-02 03:16:33.429527"
"17",1,"ID","Makassar","Clouds","few clouds",31.03,31.03,31.03,38.03,79,119.4221,-5.14,"2024-05-02 03:16:34.172325"
"18",1,"ID","Jakarta","Haze","haze",32.05,31.61,32.05,39.05,66,106.8451,-6.2146,"2024-05-02 03:16:34.680135"
"19",1,"ID","Tangerang","Clouds","few clouds",31.78,31.61,32.04,38.42,66,106.63,-6.1781,"2024-05-02 03:16:35.184631"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",31.8,31.44,31.88,38.47,66,106.7085,-6.2955,"2024-05-02 03:16:35.724546"
"21",1,"ID","Bogor","Clouds","overcast clouds",30.59,30.59,30.59,37.59,77,106.7892,-6.5944,"2024-05-02 03:16:36.343571"
"22",1,"ID","Depok","Haze","haze",31.55,31.12,31.55,37.82,66,106.8186,-6.4,"2024-05-02 03:16:36.893388"
