"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","broken clouds",29.02,29.02,29.02,36.02,87,117.15,-0.5,"2024-05-20 06:20:32.587702"
"2",1,"ID","Balikpapan","Clouds","few clouds",28.55,28.55,28.55,35.32,89,116.8289,-1.2675,"2024-05-20 06:20:32.934274"
"3",1,"ID","Bandar Lampung","Clouds","scattered clouds",28.81,28.81,28.81,34.01,79,105.258,-5.4254,"2024-05-20 06:20:33.427732"
"4",1,"ID","Metro","Clouds","scattered clouds",30.23,30.23,30.23,36.12,72,105.3067,-5.1131,"2024-05-20 06:20:33.735907"
"5",1,"ID","Pringsewu","Clouds","scattered clouds",31.08,31.08,31.08,36.63,66,104.9744,-5.3582,"2024-05-20 06:20:34.000913"
"6",1,"ID","Palembang","Clouds","broken clouds",32.05,32.05,32.05,37.81,62,104.7458,-2.9167,"2024-05-20 06:20:34.331569"
"7",1,"ID","Surabaya","Clouds","few clouds",32.97,32.97,32.97,37.75,55,112.7508,-7.2492,"2024-05-20 06:20:34.712423"
"8",1,"ID","Gresik","Clouds","broken clouds",32.95,32.95,32.95,36.48,51,112.6561,-7.1539,"2024-05-20 06:20:34.985669"
"9",1,"ID","Sidoarjo","Clouds","few clouds",32.98,32.98,32.98,37.77,55,112.7183,-7.4478,"2024-05-20 06:20:35.503621"
"10",1,"ID","Malang","Clouds","broken clouds",29.35,29.35,29.35,31.64,60,112.6304,-7.9797,"2024-05-20 06:20:36.001974"
"11",1,"ID","Probolinggo","Clouds","broken clouds",31.18,31.18,31.18,35.23,60,113.2159,-7.7543,"2024-05-20 06:20:36.409897"
"12",1,"ID","Semarang","Clouds","few clouds",33.96,33.96,33.96,37.03,46,110.4203,-6.9932,"2024-05-20 06:20:36.813755"
"13",1,"PH","Solo","Clouds","broken clouds",30.79,30.79,30.79,36.47,68,120.9012,13.7469,"2024-05-20 06:20:37.173724"
"14",1,"ID","Yogyakarta","Clouds","broken clouds",30.53,30.53,30.53,33.22,57,110.3608,-7.7828,"2024-05-20 06:20:37.654954"
"15",1,"ID","Medan","Clouds","scattered clouds",31.68,31.68,32.02,38.68,74,98.6667,3.5833,"2024-05-20 06:20:37.981173"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",32.05,32.05,32.05,37.81,62,99.1623,3.3274,"2024-05-20 06:20:38.455285"
"17",1,"ID","Makassar","Clouds","few clouds",33.03,33.03,33.03,40.03,62,119.4221,-5.14,"2024-05-20 06:20:38.734346"
"18",1,"ID","Jakarta","Haze","haze",34.83,33.96,35.68,41.83,75,106.8451,-6.2146,"2024-05-20 06:20:39.18705"
"19",1,"ID","Tangerang","Clouds","few clouds",34.17,33.95,35.67,39.48,52,106.63,-6.1781,"2024-05-20 06:20:39.618882"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",35.5,33.79,35.51,42.5,97,106.7085,-6.2955,"2024-05-20 06:20:39.992284"
"21",1,"ID","Bogor","Clouds","scattered clouds",34.22,32.59,34.22,41.22,72,106.7892,-6.5944,"2024-05-20 06:20:40.400161"
"22",1,"ID","Depok","Haze","haze",34.48,33.47,35.18,41.48,78,106.8186,-6.4,"2024-05-20 06:20:40.723186"
"23",1,"ID","Bekasi","Haze","haze",34.49,33.94,35.65,40.23,52,106.9896,-6.2349,"2024-05-20 06:20:41.097834"
"24",1,"ID","Manado","Clouds","few clouds",34.43,34.43,34.43,41.26,55,124.8455,1.487,"2024-05-20 06:20:41.448107"
"25",1,"ID","Jayapura","Clouds","overcast clouds",32.66,32.66,32.66,39.66,78,140.7,-2.5333,"2024-05-20 06:20:41.791527"
"26",1,"ID","Bandung","Clouds","broken clouds",27.67,27.66,28.21,28.88,59,107.6186,-6.9039,"2024-05-20 06:20:42.046561"
"27",1,"ID","Pontianak","Thunderstorm","thunderstorm",27.77,27.77,27.99,33.68,94,109.3333,-0.0333,"2024-05-20 06:20:42.383113"
"28",1,"ID","Ambon City","Clouds","broken clouds",30.49,28.08,30.49,37.49,95,128.1814,-3.6954,"2024-05-20 06:20:42.726432"
"29",1,"ID","Bima","Clouds","broken clouds",29.58,29.58,29.58,33.61,68,118.7167,-8.4667,"2024-05-20 06:20:43.136339"
"30",1,"ID","Banjarmasin","Clouds","overcast clouds",33.08,33.08,33.08,40.08,67,114.591,-3.3244,"2024-05-20 06:20:43.410606"
"31",1,"ID","Palu","Clouds","scattered clouds",31.92,31.92,31.92,38.92,72,119.8707,-0.8917,"2024-05-20 06:20:43.649305"
"32",1,"ID","Kendari","Clouds","overcast clouds",29.89,29.89,29.89,33.65,65,122.4989,-3.945,"2024-05-20 06:20:44.016618"
"33",1,"ID","Gorontalo","Clouds","scattered clouds",30.97,30.97,30.97,37.22,69,123.0595,0.5412,"2024-05-20 06:20:44.284957"
"34",1,"ID","Bitung","Clouds","broken clouds",34.47,34.47,34.47,41.47,72,125.1824,1.4451,"2024-05-20 06:20:44.542982"
"35",1,"ID","Banda Aceh","Clouds","overcast clouds",29.25,29.25,29.25,35.45,80,95.3222,5.5577,"2024-05-20 06:20:44.91922"
"36",1,"ID","Pekanbaru","Clouds","scattered clouds",32.18,32.18,32.18,39.18,70,101.45,0.5333,"2024-05-20 06:20:45.246887"
"37",1,"ID","Padang","Clouds","overcast clouds",31.03,31.03,31.03,38.03,77,100.3543,-0.9492,"2024-05-20 06:20:45.726566"
"38",1,"ID","Kupang","Clouds","few clouds",34.32,34.32,34.32,40.98,55,123.5833,-10.1667,"2024-05-20 06:20:45.976002"
"39",1,"ID","Sorong","Clouds","broken clouds",29.28,29.28,29.28,35.07,78,131.25,-0.8833,"2024-05-20 06:20:46.377889"
"40",1,"ID","Denpasar","Clouds","few clouds",29.84,29.81,29.84,35.61,74,115.2167,-8.65,"2024-05-20 06:20:46.856442"
"41",1,"ID","Cirebon","Clouds","overcast clouds",32.06,32.06,32.06,35.77,55,108.557,-6.7063,"2024-05-20 06:20:47.372767"
"42",1,"ID","Tasikmalaya","Clouds","overcast clouds",25.98,25.98,25.98,25.98,79,108.2207,-7.3274,"2024-05-20 06:20:47.819568"
