"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clear","clear sky",32.97,32.97,32.97,36.23,50,117.15,-0.5,"2024-02-20 03:14:50.174556"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",31.55,31.55,31.55,35.5,58,116.8289,-1.2675,"2024-02-20 03:14:50.691612"
"3",1,"ID","Bandar Lampung","Clouds","scattered clouds",29.42,29.42,29.42,34.31,73,105.258,-5.4254,"2024-02-20 03:14:51.124371"
"4",1,"ID","Metro","Clouds","scattered clouds",29.26,29.26,29.26,34.35,75,105.3067,-5.1131,"2024-02-20 03:14:51.925812"
"5",1,"ID","Pringsewu","Clouds","scattered clouds",29.42,29.42,29.42,34.31,73,104.9744,-5.3582,"2024-02-20 03:14:52.541479"
"6",1,"ID","Palembang","Clouds","scattered clouds",30.05,30.05,30.05,36.17,74,104.7458,-2.9167,"2024-02-20 03:14:53.270766"
"7",1,"ID","Surabaya","Clouds","few clouds",31.97,31.97,31.97,38.97,70,112.7508,-7.2492,"2024-02-20 03:14:53.871759"
"8",1,"ID","Gresik","Clear","clear sky",31.95,31.95,31.95,38.95,69,112.6561,-7.1539,"2024-02-20 03:14:54.418648"
"9",1,"ID","Sidoarjo","Clouds","few clouds",31.98,31.98,31.98,38.98,70,112.7183,-7.4478,"2024-02-20 03:14:55.070428"
"10",1,"ID","Malang","Clouds","few clouds",30.27,30.27,30.27,34.95,67,112.6304,-7.9797,"2024-02-20 03:14:55.828376"
"11",1,"ID","Probolinggo","Clouds","few clouds",30.36,30.36,30.36,35.67,69,113.2159,-7.7543,"2024-02-20 03:14:56.432515"
"12",1,"ID","Semarang","Clouds","few clouds",30.96,30.96,30.96,37.49,70,110.4203,-6.9932,"2024-02-20 03:14:57.11061"
"13",1,"PH","Solo","Clouds","scattered clouds",27.18,27.18,27.18,29.07,69,120.9012,13.7469,"2024-02-20 03:14:57.629685"
"14",1,"ID","Yogyakarta","Rain","light rain",30.81,30.81,30.81,36.52,68,110.3608,-7.7828,"2024-02-20 03:14:58.053265"
"15",1,"ID","Medan","Clouds","scattered clouds",27.79,27.79,28.02,32.01,83,98.6667,3.5833,"2024-02-20 03:14:58.796826"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",24.6,24.6,24.6,25.62,96,99.1623,3.3274,"2024-02-20 03:14:59.50858"
"17",1,"ID","Makassar","Clouds","few clouds",32.03,32.03,32.03,39.03,66,119.4221,-5.14,"2024-02-20 03:15:00.178873"
"18",1,"ID","Jakarta","Haze","haze",32.09,29.94,33.62,39.09,85,106.8451,-6.2146,"2024-02-20 03:15:00.772673"
"19",1,"ID","Tangerang","Clouds","scattered clouds",30.41,29.94,33.62,36.88,73,106.63,-6.1781,"2024-02-20 03:15:01.336852"
"20",1,"ID","Tangerang Selatan","Clouds","scattered clouds",32.3,29.77,33.45,39.3,78,106.7085,-6.2955,"2024-02-20 03:15:02.137636"
"21",1,"ID","Bogor","Clouds","scattered clouds",30.85,28.77,32.16,37.2,70,106.7892,-6.5944,"2024-02-20 03:15:03.14397"
"22",1,"ID","Depok","Haze","haze",31.77,29.45,33.13,38.77,86,106.8186,-6.4,"2024-02-20 03:15:04.209572"
"23",1,"ID","Bekasi","Haze","haze",31.74,29.92,33.6,38.74,70,106.9896,-6.2349,"2024-02-20 03:15:05.289558"
"24",1,"ID","Samarinda","Clouds","scattered clouds",33.79,33.79,33.79,36.99,47,117.15,-0.5,"2024-02-20 06:18:56.864622"
"25",1,"ID","Balikpapan","Clouds","scattered clouds",30.55,30.55,30.55,34.38,62,116.8289,-1.2675,"2024-02-20 06:18:57.577767"
"26",1,"ID","Bandar Lampung","Clouds","broken clouds",32.19,32.19,32.19,37.21,59,105.258,-5.4254,"2024-02-20 06:18:58.18498"
"27",1,"ID","Metro","Rain","light rain",32.28,32.28,32.28,37.74,60,105.3067,-5.1131,"2024-02-20 06:18:58.710106"
"28",1,"ID","Pringsewu","Clouds","broken clouds",33.09,33.09,33.09,38.35,56,104.9744,-5.3582,"2024-02-20 06:18:59.446995"
"29",1,"ID","Palembang","Clouds","scattered clouds",34.25,34.25,34.25,39.3,51,104.7458,-2.9167,"2024-02-20 06:18:59.923702"
"30",1,"ID","Surabaya","Rain","light rain",32.97,32.97,32.97,38.74,58,112.7508,-7.2492,"2024-02-20 06:19:00.461382"
"31",1,"ID","Gresik","Clouds","few clouds",32.95,32.95,32.95,39.95,64,112.6561,-7.1539,"2024-02-20 06:19:01.285975"
"32",1,"ID","Sidoarjo","Rain","light rain",32.98,32.98,32.98,38.77,58,112.7183,-7.4478,"2024-02-20 06:19:02.27098"
"33",1,"ID","Malang","Clouds","scattered clouds",29.18,29.18,29.18,35.02,79,112.6304,-7.9797,"2024-02-20 06:19:02.96306"
"34",1,"ID","Probolinggo","Clouds","few clouds",30.77,30.77,30.77,36.42,68,113.2159,-7.7543,"2024-02-20 06:19:03.524593"
"35",1,"ID","Semarang","Clouds","few clouds",31.96,31.96,31.96,38.96,74,110.4203,-6.9932,"2024-02-20 06:19:04.149747"
"36",1,"PH","Solo","Clouds","scattered clouds",27.88,27.88,27.88,29.83,65,120.9012,13.7469,"2024-02-20 06:19:04.681732"
"37",1,"ID","Yogyakarta","Clouds","scattered clouds",30.92,30.92,30.92,37.68,71,110.3608,-7.7828,"2024-02-20 06:19:05.284813"
"38",1,"ID","Medan","Clouds","broken clouds",28.9,28.9,29.02,35.11,83,98.6667,3.5833,"2024-02-20 06:19:05.780099"
"39",1,"ID","Tebing Tinggi","Clouds","overcast clouds",26.04,26.04,26.04,26.04,88,99.1623,3.3274,"2024-02-20 06:19:06.452425"
"40",1,"ID","Makassar","Clouds","few clouds",32.03,32.03,32.03,39.03,70,119.4221,-5.14,"2024-02-20 06:19:07.075026"
"41",1,"ID","Jakarta","Clouds","scattered clouds",33.16,29.12,33.45,40.16,81,106.8451,-6.2146,"2024-02-20 06:19:07.531159"
"42",1,"ID","Tangerang","Clouds","scattered clouds",31.66,29.12,33.44,38.66,72,106.63,-6.1781,"2024-02-20 06:19:08.233194"
"43",1,"ID","Tangerang Selatan","Rain","light rain",31.26,28.95,33.28,38.26,81,106.7085,-6.2955,"2024-02-20 06:19:08.891642"
"44",1,"ID","Bogor","Rain","light rain",28.22,27.66,31.99,30.41,65,106.7892,-6.5944,"2024-02-20 06:19:09.597233"
"45",1,"ID","Depok","Clouds","scattered clouds",31.91,28.63,32.95,38.91,82,106.8186,-6.4,"2024-02-20 06:19:09.997361"
"46",1,"ID","Bekasi","Clouds","scattered clouds",33.13,29.1,33.42,40.13,62,106.9896,-6.2349,"2024-02-20 06:19:10.576223"
"47",1,"ID","Samarinda","Clouds","overcast clouds",30.6,30.6,30.6,35.22,65,117.15,-0.5,"2024-02-20 09:14:12.919209"
"48",1,"ID","Balikpapan","Clouds","few clouds",30.55,30.55,30.55,35.36,66,116.8289,-1.2675,"2024-02-20 09:14:13.731915"
"49",1,"ID","Bandar Lampung","Clouds","overcast clouds",29.81,29.81,29.81,35.78,75,105.258,-5.4254,"2024-02-20 09:14:14.426853"
"50",1,"ID","Metro","Rain","light rain",31.57,31.57,31.57,37.25,64,105.3067,-5.1131,"2024-02-20 09:14:15.289042"
"51",1,"ID","Pringsewu","Clouds","overcast clouds",29.95,29.95,29.95,36.95,80,104.9744,-5.3582,"2024-02-20 09:14:15.953509"
"52",1,"ID","Palembang","Clouds","scattered clouds",30.05,30.05,30.05,37.05,79,104.7458,-2.9167,"2024-02-20 09:14:16.765577"
"53",1,"ID","Surabaya","Clouds","scattered clouds",31.97,31.97,31.97,38.92,66,112.7508,-7.2492,"2024-02-20 09:14:17.372557"
"54",1,"ID","Gresik","Clouds","broken clouds",31.95,31.95,31.95,38.95,71,112.6561,-7.1539,"2024-02-20 09:14:18.085733"
"55",1,"ID","Sidoarjo","Clouds","scattered clouds",31.98,31.98,31.98,38.95,66,112.7183,-7.4478,"2024-02-20 09:14:18.816486"
