"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Rain","moderate rain",28.26,28.26,28.26,34.01,87,117.15,-0.5,"2024-05-21 09:17:22.050852"
"2",1,"ID","Balikpapan","Clouds","few clouds",28.55,28.55,28.55,35.32,89,116.8289,-1.2675,"2024-05-21 09:17:22.514955"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",28.16,28.16,28.16,33.18,84,105.258,-5.4254,"2024-05-21 09:17:23.075145"
"4",1,"ID","Metro","Clouds","overcast clouds",30.57,30.57,30.57,36.19,69,105.3067,-5.1131,"2024-05-21 09:17:23.624425"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",28.72,28.72,28.72,35.01,85,104.9744,-5.3582,"2024-05-21 09:17:23.993987"
"6",1,"ID","Palembang","Clouds","few clouds",29.05,29.05,29.05,35.79,84,104.7458,-2.9167,"2024-05-21 09:17:24.541167"
"7",1,"ID","Surabaya","Clouds","few clouds",31.97,31.97,31.97,37.62,62,112.7508,-7.2492,"2024-05-21 09:17:25.071209"
"8",1,"ID","Gresik","Clouds","scattered clouds",31.95,31.95,31.95,36.96,60,112.6561,-7.1539,"2024-05-21 09:17:25.54056"
"9",1,"ID","Sidoarjo","Clouds","few clouds",31.98,31.98,31.98,37.64,62,112.7183,-7.4478,"2024-05-21 09:17:26.063179"
"10",1,"ID","Malang","Clouds","broken clouds",26.28,26.28,26.28,26.28,79,112.6304,-7.9797,"2024-05-21 09:17:26.480454"
"11",1,"ID","Probolinggo","Clouds","broken clouds",29.51,29.51,29.51,32.85,65,113.2159,-7.7543,"2024-05-21 09:17:26.866778"
"12",1,"ID","Semarang","Clouds","scattered clouds",33.96,33.96,33.96,37.97,49,110.4203,-6.9932,"2024-05-21 09:17:27.351921"
"13",1,"PH","Solo","Clouds","overcast clouds",30.75,30.75,30.75,36.65,69,120.9012,13.7469,"2024-05-21 09:17:27.800194"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",28.19,28.19,28.19,31.18,71,110.3608,-7.7828,"2024-05-21 09:17:28.187417"
"15",1,"ID","Medan","Clouds","scattered clouds",28.9,28.9,29.02,35.11,83,98.6667,3.5833,"2024-05-21 09:17:28.437046"
"16",1,"ID","Tebing Tinggi","Clouds","broken clouds",29.71,29.71,29.71,36.71,83,99.1623,3.3274,"2024-05-21 09:17:28.999867"
"17",1,"ID","Makassar","Clouds","few clouds",31.03,31.03,31.03,36.51,66,119.4221,-5.14,"2024-05-21 09:17:29.397318"
"18",1,"ID","Jakarta","Clouds","overcast clouds",31.96,31.61,31.96,37.28,61,106.8451,-6.2146,"2024-05-21 09:17:29.928463"
"19",1,"ID","Tangerang","Clouds","few clouds",31.95,31.61,31.95,36.37,58,106.63,-6.1781,"2024-05-21 09:17:30.524279"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",31.79,31.44,31.79,36.02,58,106.7085,-6.2955,"2024-05-21 09:17:30.982354"
"21",1,"ID","Bogor","Clouds","overcast clouds",28.37,28.37,28.37,32.87,79,106.7892,-6.5944,"2024-05-21 09:17:31.46524"
"22",1,"ID","Depok","Clouds","overcast clouds",31.47,31.12,31.47,37.61,66,106.8186,-6.4,"2024-05-21 09:17:32.042784"
"23",1,"ID","Bekasi","Clouds","overcast clouds",31.94,31.59,31.94,36.07,57,106.9896,-6.2349,"2024-05-21 09:17:32.417447"
"24",1,"ID","Manado","Clouds","scattered clouds",28.43,28.43,28.43,34.93,89,124.8455,1.487,"2024-05-21 09:17:32.964047"
"25",1,"ID","Jayapura","Clouds","overcast clouds",28.66,28.66,28.66,35.66,91,140.7,-2.5333,"2024-05-21 09:17:33.354378"
"26",1,"ID","Bandung","Clouds","overcast clouds",27.68,27.68,27.68,28.99,60,107.6186,-6.9039,"2024-05-21 09:17:33.763006"
"27",1,"ID","Pontianak","Clouds","broken clouds",27.77,27.77,27.99,33.68,94,109.3333,-0.0333,"2024-05-21 09:17:34.239134"
"28",1,"ID","Ambon City","Clouds","broken clouds",28.08,28.08,28.08,32.79,83,128.1814,-3.6954,"2024-05-21 09:17:34.663794"
"29",1,"ID","Bima","Clouds","overcast clouds",28.2,28.2,28.2,32.12,77,118.7167,-8.4667,"2024-05-21 09:17:35.009736"
"30",1,"ID","Banjarmasin","Clouds","overcast clouds",32.08,32.08,32.08,39.08,85,114.591,-3.3244,"2024-05-21 09:17:35.401391"
"31",1,"ID","Palu","Clouds","scattered clouds",28.18,28.18,28.18,35.1,94,119.8707,-0.8917,"2024-05-21 09:17:35.849709"
"32",1,"ID","Kendari","Clouds","scattered clouds",26.43,26.43,26.43,26.43,91,122.4989,-3.945,"2024-05-21 09:17:36.312892"
"33",1,"ID","Gorontalo","Clouds","overcast clouds",28.87,28.87,28.87,34.59,81,123.0595,0.5412,"2024-05-21 09:17:36.755212"
"34",1,"ID","Bitung","Clouds","overcast clouds",28.47,28.47,28.47,33.49,81,125.1824,1.4451,"2024-05-21 09:17:37.23523"
"35",1,"ID","Banda Aceh","Rain","light rain",29.49,29.49,29.49,34.48,73,95.3222,5.5577,"2024-05-21 09:17:37.825974"
"36",1,"ID","Pekanbaru","Rain","light rain",32.18,32.18,32.18,39.18,70,101.45,0.5333,"2024-05-21 09:17:38.321249"
"37",1,"ID","Padang","Rain","moderate rain",29.03,29.03,29.03,36.03,89,100.3543,-0.9492,"2024-05-21 09:17:38.855536"
"38",1,"ID","Kupang","Clouds","few clouds",30.32,30.32,30.32,35.83,70,123.5833,-10.1667,"2024-05-21 09:17:39.436349"
"39",1,"ID","Sorong","Clouds","overcast clouds",27.8,27.8,27.8,31.89,82,131.25,-0.8833,"2024-05-21 09:17:39.969683"
"40",1,"ID","Denpasar","Clouds","few clouds",28.73,28.73,28.81,33.8,79,115.2167,-8.65,"2024-05-21 09:17:40.474543"
"41",1,"ID","Cirebon","Clouds","overcast clouds",28.9,28.9,28.9,33.25,74,108.557,-6.7063,"2024-05-21 09:17:41.094876"
