"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",28.27,28.27,28.27,34.04,87,117.15,-0.5,"2024-05-21 03:16:48.566576"
"2",1,"ID","Balikpapan","Clouds","few clouds",28.55,28.55,28.55,35.32,89,116.8289,-1.2675,"2024-05-21 03:16:48.954312"
"3",1,"ID","Bandar Lampung","Clouds","broken clouds",29.43,29.43,29.43,34.56,74,105.258,-5.4254,"2024-05-21 03:16:49.372703"
"4",1,"ID","Metro","Clouds","overcast clouds",29.24,29.24,29.24,34.3,75,105.3067,-5.1131,"2024-05-21 03:16:49.834245"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",30.53,30.53,30.53,35.57,67,104.9744,-5.3582,"2024-05-21 03:16:50.218885"
"6",1,"ID","Palembang","Clouds","few clouds",30.05,30.05,30.05,37.05,84,104.7458,-2.9167,"2024-05-21 03:16:50.567088"
"7",1,"ID","Surabaya","Clouds","few clouds",30.97,30.97,30.97,35.29,62,112.7508,-7.2492,"2024-05-21 03:16:50.866745"
"8",1,"ID","Gresik","Clouds","broken clouds",30.95,30.95,30.95,35.24,62,112.6561,-7.1539,"2024-05-21 03:16:51.283135"
"9",1,"ID","Sidoarjo","Clouds","few clouds",30.98,30.98,30.98,35.31,62,112.7183,-7.4478,"2024-05-21 03:16:51.726248"
"10",1,"ID","Malang","Clouds","broken clouds",28.7,28.7,28.7,30.82,62,112.6304,-7.9797,"2024-05-21 03:16:52.337164"
"11",1,"ID","Probolinggo","Clouds","overcast clouds",30.82,30.82,30.82,33.55,56,113.2159,-7.7543,"2024-05-21 03:16:52.87091"
"12",1,"ID","Semarang","Clouds","few clouds",30.96,30.96,30.96,36.34,66,110.4203,-6.9932,"2024-05-21 03:16:53.42758"
"13",1,"PH","Solo","Clouds","broken clouds",30.75,30.75,30.75,36.65,69,120.9012,13.7469,"2024-05-21 03:16:53.923253"
"14",1,"ID","Yogyakarta","Clouds","scattered clouds",28.99,28.99,28.99,31.82,65,110.3608,-7.7828,"2024-05-21 03:16:54.420698"
"15",1,"ID","Medan","Rain","moderate rain",26.68,26.68,27.02,29.67,88,98.6667,3.5833,"2024-05-21 03:16:54.963095"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",28.15,28.15,28.15,32.48,80,99.1623,3.3274,"2024-05-21 03:16:55.275351"
"17",1,"ID","Makassar","Clouds","few clouds",32.03,32.03,32.03,36.55,58,119.4221,-5.14,"2024-05-21 03:16:55.583184"
"18",1,"ID","Jakarta","Haze","haze",31.12,31.05,32.51,35.62,62,106.8451,-6.2146,"2024-05-21 03:16:55.863872"
"19",1,"ID","Tangerang","Haze","haze",31.88,31.04,33.07,35.39,55,106.63,-6.1781,"2024-05-21 03:16:56.323198"
