"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",24.53,24.53,24.53,25.6,98,117.15,-0.5,"2024-05-21 15:16:36.288456"
"2",1,"ID","Balikpapan","Clouds","few clouds",28.55,28.55,28.55,35.32,89,116.8289,-1.2675,"2024-05-21 15:16:36.868716"
"3",1,"ID","Bandar Lampung","Clouds","broken clouds",24.2,24.2,24.2,25.18,96,105.258,-5.4254,"2024-05-21 15:16:37.487683"
"4",1,"ID","Metro","Clouds","scattered clouds",25.01,25.01,25.01,25.92,90,105.3067,-5.1131,"2024-05-21 15:16:37.854645"
"5",1,"ID","Pringsewu","Clouds","broken clouds",24.15,24.15,24.15,25.15,97,104.9744,-5.3582,"2024-05-21 15:16:38.318263"
"6",1,"ID","Palembang","Haze","haze",28.05,28.05,28.05,33.73,89,104.7458,-2.9167,"2024-05-21 15:16:38.802812"
"7",1,"ID","Surabaya","Clouds","few clouds",27.97,27.97,27.97,32.49,83,112.7508,-7.2492,"2024-05-21 15:16:39.393034"
"8",1,"ID","Gresik","Clouds","broken clouds",27.95,27.95,27.95,32.13,81,112.6561,-7.1539,"2024-05-21 15:16:39.778903"
"9",1,"ID","Sidoarjo","Clouds","few clouds",27.98,27.98,27.98,32.52,83,112.7183,-7.4478,"2024-05-21 15:16:40.202946"
"10",1,"ID","Malang","Clouds","overcast clouds",22.42,22.42,22.42,23.22,96,112.6304,-7.9797,"2024-05-21 15:16:40.682163"
"11",1,"ID","Probolinggo","Clouds","broken clouds",25.22,25.22,25.22,26.07,87,113.2159,-7.7543,"2024-05-21 15:16:41.198168"
"12",1,"ID","Semarang","Haze","haze",28.96,28.96,28.96,35.51,84,110.4203,-6.9932,"2024-05-21 15:16:41.751157"
"13",1,"PH","Solo","Clouds","scattered clouds",28.75,28.75,28.75,33.85,79,120.9012,13.7469,"2024-05-21 15:16:42.350439"
"14",1,"ID","Yogyakarta","Clouds","broken clouds",23,23,23,23.78,93,110.3608,-7.7828,"2024-05-21 15:16:42.742568"
"15",1,"ID","Medan","Haze","haze",26.68,26.68,27.02,30.18,94,98.6667,3.5833,"2024-05-21 15:16:43.082815"
"16",2,"ID","Medan","Rain","light rain",26.68,26.68,27.02,30.18,94,98.6667,3.5833,"2024-05-21 15:16:43.082815"
"17",1,"ID","Tebing Tinggi","Clouds","overcast clouds",25.47,25.47,25.47,26.58,96,99.1623,3.3274,"2024-05-21 15:16:43.608636"
"18",1,"ID","Makassar","Clouds","few clouds",26.03,26.03,26.03,26.03,94,119.4221,-5.14,"2024-05-21 15:16:44.033233"
"19",1,"ID","Jakarta","Clouds","few clouds",29.2,28.83,30.99,34.41,76,106.8451,-6.2146,"2024-05-21 15:16:44.567064"
"20",1,"ID","Tangerang","Haze","haze",28.14,27.72,30.98,32.45,80,106.63,-6.1781,"2024-05-21 15:16:45.034683"
"21",1,"ID","Tangerang Selatan","Haze","haze",29.58,27.55,30.82,33.82,69,106.7085,-6.2955,"2024-05-21 15:16:45.404676"
"22",1,"ID","Bogor","Clouds","overcast clouds",29.53,28.03,29.53,36.53,91,106.7892,-6.5944,"2024-05-21 15:16:45.819477"
"23",1,"ID","Depok","Clouds","few clouds",29.98,27.23,30.5,34.52,68,106.8186,-6.4,"2024-05-21 15:16:46.315088"
"24",1,"ID","Bekasi","Clouds","few clouds",30,27.7,30.96,36.04,74,106.9896,-6.2349,"2024-05-21 15:16:46.689992"
"25",1,"ID","Manado","Clouds","few clouds",25.43,25.43,25.43,26.48,94,124.8455,1.487,"2024-05-21 15:16:47.11472"
"26",1,"ID","Jayapura","Clouds","overcast clouds",26.66,26.66,26.66,26.66,93,140.7,-2.5333,"2024-05-21 15:16:47.688442"
"27",1,"ID","Bandung","Clouds","overcast clouds",23.23,23.23,23.23,23.88,87,107.6186,-6.9039,"2024-05-21 15:16:48.039268"
"28",1,"ID","Pontianak","Rain","light rain",26.66,26.66,26.99,26.66,100,109.3333,-0.0333,"2024-05-21 15:16:48.504185"
"29",1,"ID","Ambon City","Clouds","scattered clouds",26.08,26.08,26.08,26.08,94,128.1814,-3.6954,"2024-05-21 15:16:48.854978"
"30",1,"ID","Bima","Clouds","few clouds",23.69,23.69,23.69,24.65,97,118.7167,-8.4667,"2024-05-21 15:16:49.213314"
"31",1,"ID","Banjarmasin","Rain","moderate rain",28.08,28.08,28.08,34.75,94,114.591,-3.3244,"2024-05-21 15:16:49.632796"
"32",1,"ID","Palu","Clouds","broken clouds",25.19,25.19,25.19,26.3,97,119.8707,-0.8917,"2024-05-21 15:16:50.201793"
"33",1,"ID","Kendari","Clouds","overcast clouds",24.37,24.37,24.37,25.34,95,122.4989,-3.945,"2024-05-21 15:16:50.840614"
"34",1,"ID","Gorontalo","Clouds","scattered clouds",24.73,24.73,24.73,25.79,97,123.0595,0.5412,"2024-05-21 15:16:51.451325"
"35",1,"ID","Bitung","Clouds","overcast clouds",25.47,25.47,25.47,26.37,88,125.1824,1.4451,"2024-05-21 15:16:51.906615"
"36",1,"ID","Banda Aceh","Clouds","overcast clouds",26.13,26.13,26.13,26.13,86,95.3222,5.5577,"2024-05-21 15:16:52.30084"
"37",1,"ID","Pekanbaru","Rain","light rain",28.18,28.18,28.18,34.14,89,101.45,0.5333,"2024-05-21 15:16:52.88181"
"38",1,"ID","Padang","Rain","light rain",26.03,26.03,26.03,26.03,89,100.3543,-0.9492,"2024-05-21 15:16:53.315959"
"39",1,"ID","Kupang","Clouds","scattered clouds",25.67,25.67,25.67,26.25,75,123.5833,-10.1667,"2024-05-21 15:16:53.822181"
"40",1,"ID","Sorong","Clouds","overcast clouds",26.56,26.56,26.56,26.56,85,131.25,-0.8833,"2024-05-21 15:16:54.162784"
