"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",22.96,22.96,22.96,23.87,1012,1.33,98,117.15,-0.5,"2024-07-09 12:14:10.839422"
"2",1,"ID","Balikpapan","Rain","light rain",24.55,24.55,24.55,25.67,1011,1.03,100,116.8289,-1.2675,"2024-07-09 12:14:11.350665"
"3",1,"ID","Bandar Lampung","Clouds","broken clouds",24.08,24.08,24.08,25.05,1011,1.44,96,105.258,-5.4254,"2024-07-09 12:14:11.735001"
"4",1,"ID","Metro","Clouds","scattered clouds",24.79,24.79,24.79,25.67,1011,3.49,90,105.3067,-5.1131,"2024-07-09 12:14:12.132694"
"5",1,"ID","Pringsewu","Clouds","scattered clouds",24.66,24.66,24.66,25.64,1011,1.39,94,104.9744,-5.3582,"2024-07-09 12:14:12.381654"
"6",1,"ID","Palembang","Rain","light rain",28.05,28.05,28.05,31.91,1009,1.54,78,104.7458,-2.9167,"2024-07-09 12:14:12.695925"
"7",1,"ID","Surabaya","Clouds","few clouds",27.97,27.97,27.97,31.72,1012,2.57,78,112.7508,-7.2492,"2024-07-09 12:14:13.194241"
"8",1,"ID","Gresik","Clouds","broken clouds",27.95,27.95,27.95,30.57,1012,2.55,70,112.6561,-7.1539,"2024-07-09 12:14:13.914818"
"9",1,"ID","Sidoarjo","Clouds","few clouds",27.98,27.98,27.98,31.75,1012,2.57,78,112.7183,-7.4478,"2024-07-09 12:14:14.26447"
"10",1,"ID","Malang","Clouds","broken clouds",21.72,21.72,21.72,22.38,1014,0.7,93,112.6304,-7.9797,"2024-07-09 12:14:14.731879"
"11",1,"ID","Probolinggo","Clouds","scattered clouds",25.67,25.67,25.67,26.28,1012,2.36,76,113.2159,-7.7543,"2024-07-09 12:14:14.985317"
"12",1,"ID","Semarang","Haze","haze",28.96,28.96,28.96,33.4,1012,1.03,74,110.4203,-6.9932,"2024-07-09 12:14:15.454162"
"13",1,"PH","Solo","Clouds","overcast clouds",27.88,27.88,27.88,31.66,1010,1.51,79,120.9012,13.7469,"2024-07-09 12:14:15.883014"
"14",1,"ID","Yogyakarta","Clouds","broken clouds",23.98,23.98,23.98,24.71,1013,1.95,87,110.3608,-7.7828,"2024-07-09 12:14:16.29006"
"15",1,"ID","Medan","Clouds","broken clouds",27.02,27.02,27.02,30.69,1010,5.14,89,98.6667,3.5833,"2024-07-09 12:14:16.78049"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",23.96,23.96,23.96,24.97,1009,1.18,98,99.1623,3.3274,"2024-07-09 12:14:17.254278"
"17",1,"ID","Makassar","Clouds","scattered clouds",28.03,28.03,28.03,29.61,1010,2.57,61,119.4221,-5.14,"2024-07-09 12:14:17.679728"
"18",1,"ID","Jakarta","Clouds","scattered clouds",29,27.72,29.05,33.3,1011,4.12,73,106.8451,-6.2146,"2024-07-09 12:14:18.088199"
"19",1,"ID","Tangerang","Clouds","scattered clouds",28.04,27.72,29.04,31.59,1011,5.66,76,106.63,-6.1781,"2024-07-09 12:14:18.448563"
"20",1,"ID","Tangerang Selatan","Clouds","scattered clouds",28.76,27.55,28.88,32.56,1011,5.66,72,106.7085,-6.2955,"2024-07-09 12:14:18.900287"
"21",1,"ID","Bogor","Clouds","broken clouds",27.59,27.48,27.59,32.92,1012,1.35,93,106.7892,-6.5944,"2024-07-09 12:14:19.23528"
"22",1,"ID","Depok","Clouds","scattered clouds",28.5,27.23,28.55,32.15,1011,4.12,73,106.8186,-6.4,"2024-07-09 12:14:19.625442"
"23",1,"ID","Bekasi","Clouds","scattered clouds",29,27.7,29.02,33.49,1011,4.12,74,106.9896,-6.2349,"2024-07-09 12:14:20.116688"
"24",1,"ID","Manado","Rain","light rain",24.36,24.36,24.36,25.31,1012,1.31,94,124.8455,1.487,"2024-07-09 12:14:20.384023"
"25",1,"ID","Jayapura","Clouds","overcast clouds",28.66,28.66,28.66,34.62,1011,1.95,84,140.7,-2.5333,"2024-07-09 12:14:20.76853"
"26",1,"ID","Bandung","Clouds","broken clouds",21.57,21.57,21.57,22.21,1013,0.89,93,107.6186,-6.9039,"2024-07-09 12:14:21.017087"
