"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",30.85,30.85,30.85,35.02,1010,1.24,62,117.15,-0.5,"2025-05-28 04:15:39.101583"
"2",1,"ID","Balikpapan","Clouds","few clouds",29.55,29.55,29.55,36.55,1010,2.57,84,116.8289,-1.2675,"2025-05-28 04:15:39.669446"
"3",1,"ID","Bandar Lampung","Clouds","few clouds",31.46,31.46,31.46,36.69,1010,1.34,63,105.258,-5.4254,"2025-05-28 04:15:40.188073"
"4",1,"ID","Metro","Clouds","few clouds",31.16,31.16,31.16,37.12,1010,0.31,67,105.3067,-5.1131,"2025-05-28 04:15:40.595087"
"5",1,"ID","Pringsewu","Clouds","few clouds",32.51,32.51,32.51,37.65,1010,0.74,58,104.9744,-5.3582,"2025-05-28 04:15:41.040566"
"6",1,"ID","Palembang","Clouds","scattered clouds",32.05,32.05,32.05,39.05,1009,2.06,66,104.7458,-2.9167,"2025-05-28 04:15:41.620768"
"7",1,"ID","Surabaya","Clouds","few clouds",30.57,28.97,30.57,37.57,1012,2.06,76,112.7508,-7.2492,"2025-05-28 04:15:42.152884"
"8",1,"ID","Gresik","Clouds","overcast clouds",30.55,28.95,30.55,37.55,1012,1.86,76,112.6561,-7.1539,"2025-05-28 04:15:42.659936"
"9",1,"ID","Sidoarjo","Clouds","few clouds",28.98,28.98,30.59,35.98,1011,2.06,89,112.7183,-7.4478,"2025-05-28 04:15:43.001067"
"10",1,"ID","Malang","Clouds","broken clouds",31.17,31.17,31.17,38.17,1011,1.98,100,112.6304,-7.9797,"2025-05-28 04:15:43.426874"
"11",1,"ID","Probolinggo","Clouds","broken clouds",33.16,33.16,33.16,40.16,1010,1.02,80,113.2159,-7.7543,"2025-05-28 04:15:43.838764"
"12",1,"ID","Semarang","Clouds","few clouds",32.96,31.98,32.96,38.72,1010,3.6,58,110.4203,-6.9932,"2025-05-28 04:15:44.37305"
"13",1,"PH","Solo","Clouds","overcast clouds",30.48,30.48,30.48,36.51,1008,8.83,71,120.9012,13.7469,"2025-05-28 04:15:44.760744"
"14",1,"ID","Yogyakarta","Clouds","few clouds",31.3,31.3,31.3,34.72,1010,1.37,57,110.3608,-7.7828,"2025-05-28 04:15:45.306897"
"15",1,"ID","Medan","Clouds","scattered clouds",33.02,33.02,33.02,38.86,1008,2.57,58,98.6667,3.5833,"2025-05-28 04:15:45.727037"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",31.17,31.17,31.17,34.46,1009,1.02,57,99.1623,3.3274,"2025-05-28 04:15:46.171385"
"17",1,"ID","Makassar","Clouds","few clouds",32.03,32.03,32.03,39.03,1010,2.06,70,119.4221,-5.14,"2025-05-28 04:15:46.557204"
"18",1,"ID","Jakarta","Clouds","scattered clouds",32.19,32.05,33.25,39.19,1010,2.06,69,106.8451,-6.2146,"2025-05-28 04:15:47.060031"
"19",1,"ID","Tangerang","Clouds","few clouds",32.87,32.72,33.25,38.5,1010,2.06,58,106.63,-6.1781,"2025-05-28 04:15:47.63612"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",33.03,31.88,33.08,40.03,1009,2.06,89,106.7085,-6.2955,"2025-05-28 04:15:48.205708"
"21",1,"ID","Bogor","Clouds","few clouds",32.23,32.23,32.23,37,1010,0.52,58,106.7892,-6.5944,"2025-05-28 04:15:48.557635"
"22",1,"ID","Depok","Clouds","scattered clouds",29.1,29.1,31.55,32.21,1009,2.06,66,106.8186,-6.4,"2025-05-28 04:15:48.948682"
"23",1,"ID","Bekasi","Clouds","scattered clouds",32.02,32.02,32.02,36.53,1010,2.06,58,106.9896,-6.2349,"2025-05-28 04:15:49.376176"
"24",1,"ID","Manado","Clouds","scattered clouds",30.43,30.43,30.43,37.43,1011,2.06,84,124.8455,1.487,"2025-05-28 04:15:49.804983"
"25",1,"ID","Jayapura","Clouds","scattered clouds",32.66,32.66,32.66,39.66,1009,1.98,72,140.7,-2.5333,"2025-05-28 04:15:50.354966"
"26",1,"ID","Bandung","Clear","clear sky",27.87,27.1,29.99,31.63,1011,2.19,79,107.6186,-6.9039,"2025-05-28 04:15:50.791317"
"27",1,"ID","Pontianak","Clouds","scattered clouds",30.99,30.99,30.99,37.99,1009,2.57,79,109.3333,-0.0333,"2025-05-28 04:15:51.283425"
"28",1,"ID","Ambon City","Clouds","broken clouds",31.24,27.08,31.24,38.24,1010,3.09,100,128.1814,-3.6954,"2025-05-28 04:15:51.95406"
"29",1,"ID","Bima","Clouds","broken clouds",32.57,32.57,32.57,38.11,1010,1.06,59,118.7167,-8.4667,"2025-05-28 04:15:52.473232"
"30",1,"ID","Banjarmasin","Clouds","broken clouds",30.08,30.08,30.08,34.51,1010,0.5,67,114.591,-3.3244,"2025-05-28 04:15:53.030258"
