"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",31.15,31.15,31.15,33.95,1007,1.53,55,117.15,-0.5,"2025-01-31 04:10:55.351929"
"2",1,"ID","Balikpapan","Clouds","few clouds",27.55,27.55,27.55,32.21,1007,1.03,89,116.8289,-1.2675,"2025-01-31 04:10:55.695989"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",27.75,27.75,27.75,30.19,1009,2.73,70,105.258,-5.4254,"2025-01-31 04:10:56.075842"
"4",1,"ID","Metro","Clouds","overcast clouds",28.52,28.52,28.52,31.39,1009,5.14,68,105.3067,-5.1131,"2025-01-31 04:10:56.382863"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",28.9,28.9,28.9,31.98,1009,1.47,67,104.9744,-5.3582,"2025-01-31 04:10:56.831311"
"6",1,"ID","Palembang","Clouds","scattered clouds",29.05,29.05,29.05,32.84,1009,5.14,70,104.7458,-2.9167,"2025-01-31 04:10:57.166864"
"7",1,"ID","Surabaya","Clouds","scattered clouds",28.9,28.9,28.97,33.65,1007,8.75,76,112.7508,-7.2492,"2025-01-31 04:10:57.693912"
"8",1,"ID","Gresik","Clouds","overcast clouds",28.88,28.88,28.95,33.6,1007,4.84,76,112.6561,-7.1539,"2025-01-31 04:10:58.080733"
"9",1,"ID","Sidoarjo","Rain","light rain",28.98,28.92,28.98,33.45,1007,8.75,74,112.7183,-7.4478,"2025-01-31 04:10:58.508814"
"10",1,"ID","Malang","Clouds","overcast clouds",27.26,27.26,27.26,28.75,1008,1.71,64,112.6304,-7.9797,"2025-01-31 04:10:58.91953"
"11",1,"ID","Probolinggo","Clouds","overcast clouds",28.06,28.06,28.06,31.06,1008,2.55,72,113.2159,-7.7543,"2025-01-31 04:10:59.461565"
"12",1,"ID","Semarang","Rain","moderate rain",28.96,28.09,28.96,34.42,1008,4.12,79,110.4203,-6.9932,"2025-01-31 04:10:59.926381"
"13",1,"PH","Solo","Clouds","few clouds",27.7,27.7,27.7,30.71,1010,9.03,75,120.9012,13.7469,"2025-01-31 04:11:00.468078"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",31.34,31.34,31.34,34.32,1006,1.12,55,110.3608,-7.7828,"2025-01-31 04:11:00.99586"
"15",1,"ID","Medan","Clouds","scattered clouds",28.02,28.02,28.02,32.62,1011,2.57,83,98.6667,3.5833,"2025-01-31 04:11:01.439043"
"16",1,"ID","Tebing Tinggi","Clouds","broken clouds",28.57,28.57,28.57,31.34,1011,2.51,67,99.1623,3.3274,"2025-01-31 04:11:01.753315"
"17",1,"ID","Makassar","Clouds","scattered clouds",29.03,29.03,29.03,35.73,1007,2.57,84,119.4221,-5.14,"2025-01-31 04:11:02.268146"
"18",1,"ID","Jakarta","Clouds","scattered clouds",29.81,29.05,30.51,34.35,1009,3.09,69,106.8451,-6.2146,"2025-01-31 04:11:02.757439"
"19",1,"ID","Tangerang","Clouds","scattered clouds",29.85,29.04,30.5,33.78,1009,6.17,66,106.63,-6.1781,"2025-01-31 04:11:03.160101"
"20",1,"ID","Tangerang Selatan","Clouds","scattered clouds",29.13,28.88,30.34,32.82,1009,6.17,69,106.7085,-6.2955,"2025-01-31 04:11:03.502956"
"21",1,"ID","Bogor","Clouds","overcast clouds",25.89,25.89,25.89,26.65,1010,2.77,81,106.7892,-6.5944,"2025-01-31 04:11:03.857568"
"22",1,"ID","Depok","Clouds","scattered clouds",28.71,28.55,30.01,31.77,1009,3.09,68,106.8186,-6.4,"2025-01-31 04:11:04.289587"
"23",1,"ID","Bekasi","Clouds","scattered clouds",29.02,29.02,30.48,32.77,1009,3.09,70,106.9896,-6.2349,"2025-01-31 04:11:04.797092"
"24",1,"ID","Manado","Clouds","scattered clouds",31.43,31.43,31.43,37.51,1008,1.54,66,124.8455,1.487,"2025-01-31 04:11:05.188717"
"25",1,"ID","Jayapura","Clouds","overcast clouds",28.66,28.66,28.66,31.83,1005,2.49,69,140.7,-2.5333,"2025-01-31 04:11:05.679836"
"26",1,"ID","Bandung","Clouds","overcast clouds",24.71,24.34,26.1,25.74,1010,0.89,96,107.6186,-6.9039,"2025-01-31 04:11:05.967505"
"27",1,"ID","Pontianak","Clouds","broken clouds",28.42,28.42,28.42,31.98,1009,4.31,73,109.3333,-0.0333,"2025-01-31 04:11:06.473333"
"28",1,"ID","Ambon City","Clouds","scattered clouds",32.08,32.08,32.08,37.89,1006,1.54,62,128.1814,-3.6954,"2025-01-31 04:11:06.756545"
"29",1,"ID","Bima","Rain","light rain",25.45,25.45,25.45,26.48,1007,1.82,93,118.7167,-8.4667,"2025-01-31 04:11:07.080396"
