"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",29.96,29.96,29.96,35.18,71,117.15,-0.5,"2024-04-26 09:15:31.654552"
"2",1,"ID","Balikpapan","Clouds","few clouds",29.55,29.55,29.55,36.55,84,116.8289,-1.2675,"2024-04-26 09:15:32.370577"
"3",1,"ID","Bandar Lampung","Rain","moderate rain",29.22,29.22,29.22,36.22,86,105.258,-5.4254,"2024-04-26 09:15:32.994976"
"4",1,"ID","Metro","Rain","light rain",30.06,30.06,30.06,36.46,75,105.3067,-5.1131,"2024-04-26 09:15:33.711076"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",30.92,30.92,30.92,37.92,72,104.9744,-5.3582,"2024-04-26 09:15:34.375926"
"6",1,"ID","Palembang","Rain","moderate rain",34.05,34.05,34.05,40.31,55,104.7458,-2.9167,"2024-04-26 09:15:35.072061"
"7",1,"ID","Surabaya","Clouds","few clouds",30.97,30.97,30.97,37.97,74,112.7508,-7.2492,"2024-04-26 09:15:35.477802"
"8",1,"ID","Gresik","Clouds","overcast clouds",30.95,30.95,30.95,37.95,80,112.6561,-7.1539,"2024-04-26 09:15:36.102369"
"9",1,"ID","Sidoarjo","Clouds","few clouds",30.98,30.98,30.98,37.98,74,112.7183,-7.4478,"2024-04-26 09:15:36.730716"
"10",1,"ID","Malang","Rain","moderate rain",26.56,26.56,26.56,26.56,90,112.6304,-7.9797,"2024-04-26 09:15:37.180253"
"11",1,"ID","Probolinggo","Clouds","overcast clouds",28.63,28.63,28.63,34.53,84,113.2159,-7.7543,"2024-04-26 09:15:37.792052"
"12",1,"ID","Semarang","Clouds","scattered clouds",31.96,31.96,31.96,38.96,74,110.4203,-6.9932,"2024-04-26 09:15:38.454497"
"13",1,"PH","Solo","Clear","clear sky",30.11,30.11,30.11,35.06,69,120.9012,13.7469,"2024-04-26 09:15:39.02135"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",28.68,28.68,28.68,34.26,82,110.3608,-7.7828,"2024-04-26 09:15:39.58591"
"15",1,"ID","Medan","Clouds","broken clouds",30.76,30.76,30.76,37.76,74,98.6667,3.5833,"2024-04-26 09:15:40.056019"
"16",1,"ID","Tebing Tinggi","Clouds","broken clouds",30.36,30.36,30.36,37.36,79,99.1623,3.3274,"2024-04-26 09:15:40.778267"
"17",1,"ID","Makassar","Clouds","scattered clouds",31.03,31.03,31.03,38.03,84,119.4221,-5.14,"2024-04-26 09:15:41.332025"
"18",1,"ID","Jakarta","Rain","light rain",31.88,30.96,32.05,38.35,65,106.8451,-6.2146,"2024-04-26 09:15:42.048571"
"19",1,"ID","Tangerang","Rain","moderate rain",31.56,30.95,34,38.56,70,106.63,-6.1781,"2024-04-26 09:15:42.607857"
"20",1,"ID","Tangerang Selatan","Rain","moderate rain",32.34,30.79,33.84,39.34,77,106.7085,-6.2955,"2024-04-26 09:15:43.303516"
"21",1,"ID","Bogor","Rain","light rain",31.24,30.26,32.55,38.24,75,106.7892,-6.5944,"2024-04-26 09:15:43.917199"
"22",1,"ID","Depok","Rain","light rain",32.24,30.47,33.51,39.24,78,106.8186,-6.4,"2024-04-26 09:15:44.577795"
"23",1,"ID","Bekasi","Clouds","scattered clouds",31.95,30.94,32.02,38.87,66,106.9896,-6.2349,"2024-04-26 09:15:44.962827"
"24",1,"ID","Manado","Clouds","scattered clouds",31.43,31.43,31.43,38.43,70,124.8455,1.487,"2024-04-26 09:15:45.540397"
"25",1,"ID","Jayapura","Clouds","broken clouds",29.66,29.66,29.66,36.66,87,140.7,-2.5333,"2024-04-26 09:15:46.081523"
"26",1,"ID","Bandung","Rain","light rain",26.01,26.01,26.01,26.01,73,107.6186,-6.9039,"2024-04-26 09:15:46.701963"
"27",1,"ID","Pontianak","Rain","light rain",29.99,29.99,29.99,36.99,84,109.3333,-0.0333,"2024-04-26 09:15:47.375917"
"28",1,"ID","Ambon City","Clouds","few clouds",31.04,29.08,31.04,38.04,89,128.1814,-3.6954,"2024-04-26 09:15:48.05199"
"29",1,"ID","Bima","Clouds","broken clouds",29.6,29.6,29.6,36.6,84,118.7167,-8.4667,"2024-04-26 09:15:48.578388"
"30",1,"ID","Samarinda","Clouds","overcast clouds",25.13,25.13,25.13,26.13,93,117.15,-0.5,"2024-04-26 12:26:40.223282"
"31",1,"ID","Balikpapan","Rain","light rain",28.55,28.55,28.55,34.29,84,116.8289,-1.2675,"2024-04-26 12:26:40.939789"
"32",1,"ID","Bandar Lampung","Clouds","overcast clouds",25.59,25.59,25.59,26.61,92,105.258,-5.4254,"2024-04-26 12:26:41.566301"
"33",1,"ID","Metro","Rain","light rain",26.82,26.82,26.82,29.86,86,105.3067,-5.1131,"2024-04-26 12:26:42.350205"
"34",1,"ID","Pringsewu","Rain","light rain",24.91,24.91,24.91,25.99,97,104.9744,-5.3582,"2024-04-26 12:26:43.148691"
"35",1,"ID","Palembang","Rain","heavy intensity rain",27.05,27.05,27.05,31.32,94,104.7458,-2.9167,"2024-04-26 12:26:44.008453"
"36",1,"ID","Surabaya","Clouds","few clouds",28.97,28.97,28.97,35.97,89,112.7508,-7.2492,"2024-04-26 12:26:44.856856"
"37",1,"ID","Gresik","Clouds","overcast clouds",28.95,28.95,28.95,35.95,93,112.6561,-7.1539,"2024-04-26 12:26:45.595829"
"38",1,"ID","Sidoarjo","Clouds","few clouds",28.98,28.98,28.98,35.98,89,112.7183,-7.4478,"2024-04-26 12:26:46.393338"
"39",1,"ID","Malang","Rain","moderate rain",23.72,23.72,23.72,24.68,97,112.6304,-7.9797,"2024-04-26 12:26:47.378412"
"40",1,"ID","Probolinggo","Clouds","overcast clouds",27.48,27.48,27.48,31.6,86,113.2159,-7.7543,"2024-04-26 12:26:48.265407"
"41",1,"ID","Semarang","Thunderstorm","thunderstorm",27.96,27.96,27.96,32.46,83,110.4203,-6.9932,"2024-04-26 12:26:49.08052"
"42",2,"ID","Semarang","Rain","moderate rain",27.96,27.96,27.96,32.46,83,110.4203,-6.9932,"2024-04-26 12:26:49.08052"
"43",1,"PH","Solo","Clear","clear sky",28.93,28.93,28.93,33.52,75,120.9012,13.7469,"2024-04-26 12:26:49.945568"
"44",1,"ID","Yogyakarta","Rain","moderate rain",25.63,25.63,25.63,26.68,93,110.3608,-7.7828,"2024-04-26 12:26:50.635758"
"45",1,"ID","Medan","Clouds","few clouds",30.02,30.02,30.02,37.02,79,98.6667,3.5833,"2024-04-26 12:26:51.252645"
"46",1,"ID","Tebing Tinggi","Clouds","scattered clouds",26.52,26.52,26.52,26.52,91,99.1623,3.3274,"2024-04-26 12:26:52.004327"
"47",1,"ID","Makassar","Clouds","few clouds",28.03,28.03,28.03,34.57,94,119.4221,-5.14,"2024-04-26 12:26:52.89791"
"48",1,"ID","Jakarta","Haze","haze",26.92,26.72,31.4,30.81,93,106.8451,-6.2146,"2024-04-26 12:26:53.516454"
"49",2,"ID","Jakarta","Rain","heavy intensity rain",26.92,26.72,31.4,30.81,93,106.8451,-6.2146,"2024-04-26 12:26:53.516454"
"50",1,"ID","Tangerang","Rain","heavy intensity rain",27.33,26.71,31.4,32.49,96,106.63,-6.1781,"2024-04-26 12:26:54.307707"
"51",2,"ID","Tangerang","Thunderstorm","thunderstorm with light rain",27.33,26.71,31.4,32.49,96,106.63,-6.1781,"2024-04-26 12:26:54.307707"
"52",1,"ID","Tangerang Selatan","Rain","heavy intensity rain",28.01,26.55,31.23,33.78,90,106.7085,-6.2955,"2024-04-26 12:26:55.166852"
"53",2,"ID","Tangerang Selatan","Thunderstorm","thunderstorm with light rain",28.01,26.55,31.23,33.78,90,106.7085,-6.2955,"2024-04-26 12:26:55.166852"
"54",1,"ID","Bogor","Rain","moderate rain",29.91,25.26,29.94,36.91,89,106.7892,-6.5944,"2024-04-26 12:26:55.960218"
"55",1,"ID","Depok","Haze","haze",27.64,26.22,30.91,33.24,94,106.8186,-6.4,"2024-04-26 12:26:56.77636"
"56",2,"ID","Depok","Rain","heavy intensity rain",27.64,26.22,30.91,33.24,94,106.8186,-6.4,"2024-04-26 12:26:56.77636"
"57",1,"ID","Bekasi","Haze","haze",26.96,26.69,31.38,30.52,89,106.9896,-6.2349,"2024-04-26 12:26:57.428477"
"58",2,"ID","Bekasi","Rain","moderate rain",26.96,26.69,31.38,30.52,89,106.9896,-6.2349,"2024-04-26 12:26:57.428477"
"59",1,"ID","Manado","Clouds","few clouds",27.43,27.43,27.43,31.86,89,124.8455,1.487,"2024-04-26 12:26:58.112067"
"60",1,"ID","Jayapura","Clouds","overcast clouds",28.66,28.66,28.66,35.47,88,140.7,-2.5333,"2024-04-26 12:26:58.937912"
"61",1,"ID","Bandung","Rain","moderate rain",22.68,22.68,22.68,23.41,92,107.6186,-6.9039,"2024-04-26 12:26:59.71793"
