"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",33.23,33.23,33.23,37.68,53,117.15,-0.5,"2024-04-26 06:20:20.69923"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",30.55,30.55,30.55,37.55,79,116.8289,-1.2675,"2024-04-26 06:20:21.254722"
"3",1,"ID","Bandar Lampung","Clouds","broken clouds",32.04,32.04,32.04,37.79,62,105.258,-5.4254,"2024-04-26 06:20:21.97543"
"4",1,"ID","Metro","Clouds","scattered clouds",32.83,32.83,32.83,38.4,58,105.3067,-5.1131,"2024-04-26 06:20:22.580404"
"5",1,"ID","Pringsewu","Clouds","broken clouds",31.63,31.63,31.63,37.71,65,104.9744,-5.3582,"2024-04-26 06:20:23.080523"
"6",1,"ID","Palembang","Clouds","broken clouds",33.05,33.05,33.05,40.05,62,104.7458,-2.9167,"2024-04-26 06:20:23.718781"
"7",1,"ID","Surabaya","Clouds","few clouds",30.97,30.97,30.97,37.97,79,112.7508,-7.2492,"2024-04-26 06:20:24.185829"
"8",1,"ID","Gresik","Rain","light rain",30.95,30.95,30.95,37.46,70,112.6561,-7.1539,"2024-04-26 06:20:24.812517"
"9",1,"ID","Sidoarjo","Clouds","few clouds",30.98,30.98,30.98,37.98,79,112.7183,-7.4478,"2024-04-26 06:20:25.363666"
"10",1,"ID","Malang","Rain","moderate rain",28.24,28.24,28.24,33.05,82,112.6304,-7.9797,"2024-04-26 06:20:25.86511"
"11",1,"ID","Probolinggo","Clouds","overcast clouds",30.74,30.74,30.74,36.63,69,113.2159,-7.7543,"2024-04-26 06:20:26.495543"
"12",1,"ID","Semarang","Clouds","scattered clouds",32.96,32.96,32.96,39.96,62,110.4203,-6.9932,"2024-04-26 06:20:27.10763"
"13",1,"PH","Solo","Clear","clear sky",30.22,30.22,30.22,34.84,67,120.9012,13.7469,"2024-04-26 06:20:27.611845"
"14",1,"ID","Yogyakarta","Clouds","broken clouds",30.78,30.78,30.78,36.73,69,110.3608,-7.7828,"2024-04-26 06:20:28.183651"
"15",1,"ID","Medan","Clouds","scattered clouds",32.79,32.79,33.02,39.79,66,98.6667,3.5833,"2024-04-26 06:20:28.579634"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",33.12,33.12,33.12,39.83,60,99.1623,3.3274,"2024-04-26 06:20:29.25763"
"17",1,"ID","Makassar","Clouds","scattered clouds",31.03,31.03,31.03,38.03,89,119.4221,-5.14,"2024-04-26 06:20:29.751732"
"18",1,"ID","Jakarta","Haze","haze",33.81,33.05,34.49,40.81,73,106.8451,-6.2146,"2024-04-26 06:20:30.1752"
"19",1,"ID","Tangerang","Clouds","few clouds",33.91,33.04,34.48,40.91,59,106.63,-6.1781,"2024-04-26 06:20:30.718949"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",33.76,32.88,34.32,40.76,71,106.7085,-6.2955,"2024-04-26 06:20:31.347924"
"21",1,"ID","Bogor","Clouds","scattered clouds",31.61,31.59,33.03,38.61,75,106.7892,-6.5944,"2024-04-26 06:20:31.997248"
"22",1,"ID","Depok","Haze","haze",33.01,32.55,33.99,40.01,74,106.8186,-6.4,"2024-04-26 06:20:32.6381"
"23",1,"ID","Bekasi","Haze","haze",33.39,33.02,34.46,40.39,66,106.9896,-6.2349,"2024-04-26 06:20:33.12096"
"24",1,"ID","Manado","Clouds","scattered clouds",33.43,33.43,33.43,40.43,66,124.8455,1.487,"2024-04-26 06:20:33.733479"
"25",1,"ID","Jayapura","Clouds","scattered clouds",32.66,32.66,32.66,39.66,77,140.7,-2.5333,"2024-04-26 06:20:34.196221"
"26",1,"ID","Bandung","Rain","light rain",26.01,26.01,30.62,26.01,73,107.6186,-6.9039,"2024-04-26 06:20:34.678761"
"27",1,"ID","Pontianak","Clouds","scattered clouds",29.99,29.99,29.99,36.99,89,109.3333,-0.0333,"2024-04-26 06:20:35.219643"
"28",1,"ID","Ambon City","Thunderstorm","thunderstorm",30.08,30.08,30.08,37.08,79,128.1814,-3.6954,"2024-04-26 06:20:35.7368"
"29",1,"ID","Bima","Clouds","few clouds",32.73,32.73,32.73,39.18,61,118.7167,-8.4667,"2024-04-26 06:20:36.274737"
