"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Rain","moderate rain",29.57,29.57,29.57,36.57,1007,0.48,82,117.15,-0.5,"2024-10-31 08:11:30.519152"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",29.55,29.55,29.55,33.97,1007,2.06,70,116.8289,-1.2675,"2024-10-31 08:11:30.91771"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",32.41,32.41,32.41,35.66,1008,3.86,52,105.258,-5.4254,"2024-10-31 08:11:31.318225"
"4",1,"ID","Metro","Clouds","overcast clouds",34.69,34.69,34.69,37.24,1007,5.39,42,105.3067,-5.1131,"2024-10-31 08:11:31.723269"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",32.47,32.47,32.47,34.99,1008,3.22,49,104.9744,-5.3582,"2024-10-31 08:11:32.000267"
"6",1,"ID","Palembang","Clouds","scattered clouds",35.05,35.05,35.05,38.26,1007,1.54,43,104.7458,-2.9167,"2024-10-31 08:11:32.385267"
"7",1,"ID","Surabaya","Rain","light rain",35.01,34.97,35.01,39.56,1006,5.14,47,112.7508,-7.2492,"2024-10-31 08:11:32.82314"
"8",1,"ID","Gresik","Rain","light rain",34.99,34.95,34.99,39.89,1006,4.79,48,112.6561,-7.1539,"2024-10-31 08:11:33.347236"
"9",1,"ID","Sidoarjo","Clouds","few clouds",34.98,34.98,35.03,39.14,1006,5.14,46,112.7183,-7.4478,"2024-10-31 08:11:33.673815"
"10",1,"ID","Malang","Clouds","overcast clouds",26.89,26.89,26.89,29.16,1009,1.58,76,112.6304,-7.9797,"2024-10-31 08:11:34.169415"
"11",1,"ID","Probolinggo","Clouds","overcast clouds",31.82,31.82,31.82,36.37,1007,3.83,59,113.2159,-7.7543,"2024-10-31 08:11:34.654134"
"12",1,"ID","Semarang","Clouds","scattered clouds",33.96,33.96,33.96,40.08,1007,5.14,55,110.4203,-6.9932,"2024-10-31 08:11:34.966388"
"13",1,"PH","Solo","Clouds","overcast clouds",27.58,27.58,27.58,31.2,1006,5.06,81,120.9012,13.7469,"2024-10-31 08:11:35.278137"
"14",1,"ID","Yogyakarta","Clouds","broken clouds",31.38,31.38,31.38,35.4,1007,5.27,59,110.3608,-7.7828,"2024-10-31 08:11:35.768502"
"15",1,"ID","Medan","Clouds","scattered clouds",31.02,31.02,31.02,38.02,1008,7.72,74,98.6667,3.5833,"2024-10-31 08:11:36.214049"
"16",1,"ID","Tebing Tinggi","Clouds","broken clouds",30.76,30.76,30.76,35.33,1008,3.41,64,99.1623,3.3274,"2024-10-31 08:11:36.670651"
"17",1,"ID","Makassar","Rain","moderate rain",30.03,30.03,30.03,36.12,1007,4.63,74,119.4221,-5.14,"2024-10-31 08:11:36.973561"
"18",1,"ID","Jakarta","Clouds","scattered clouds",34.25,32.72,34.73,39.66,1007,6.17,52,106.8451,-6.2146,"2024-10-31 08:11:37.299725"
"19",1,"ID","Tangerang","Clouds","few clouds",33.11,32.72,34.73,37.42,1007,4.63,53,106.63,-6.1781,"2024-10-31 08:11:37.766859"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",34.39,32.55,34.56,39.62,1007,4.63,51,106.7085,-6.2955,"2024-10-31 08:11:38.206246"
"21",1,"ID","Bogor","Clouds","overcast clouds",32.55,32.55,32.55,37.11,1009,3.16,56,106.7892,-6.5944,"2024-10-31 08:11:38.613639"
"22",1,"ID","Depok","Clouds","scattered clouds",33.74,33.52,34.24,38.16,1008,6.17,51,106.8186,-6.4,"2024-10-31 08:11:38.915001"
"23",1,"ID","Bekasi","Clouds","scattered clouds",34.14,34.02,34.46,40.15,1007,6.17,54,106.9896,-6.2349,"2024-10-31 08:11:39.369388"
"24",1,"ID","Manado","Clouds","few clouds",33.43,33.43,33.43,39.88,1009,2.57,58,124.8455,1.487,"2024-10-31 08:11:39.653468"
"25",1,"ID","Jayapura","Clouds","broken clouds",27.66,27.66,27.66,31.81,1008,1.6,84,140.7,-2.5333,"2024-10-31 08:11:40.089892"
"26",1,"ID","Bandung","Rain","light rain",29.52,29.52,29.52,31.94,1010,1.65,60,107.6186,-6.9039,"2024-10-31 08:11:40.493281"
"27",1,"ID","Pontianak","Clouds","broken clouds",22.99,22.99,22.99,23.8,1008,4.12,94,109.3333,-0.0333,"2024-10-31 08:11:40.965579"
"28",1,"ID","Ambon City","Clouds","scattered clouds",31.08,31.08,31.08,38.08,1009,2.57,74,128.1814,-3.6954,"2024-10-31 08:11:41.396127"
"29",1,"ID","Bima","Rain","light rain",31.15,31.15,31.15,35.17,1008,2.5,60,118.7167,-8.4667,"2024-10-31 08:11:41.818549"
"30",1,"ID","Banjarmasin","Rain","light rain",26.08,26.08,26.08,26.08,1007,2.77,72,114.591,-3.3244,"2024-10-31 08:11:42.172533"
"31",1,"ID","Palu","Clouds","scattered clouds",30.86,30.86,30.86,36.93,1009,1.86,69,119.8707,-0.8917,"2024-10-31 08:11:42.64709"
"32",1,"ID","Kendari","Clouds","overcast clouds",30.45,30.45,30.45,34.16,1007,3.51,62,122.4989,-3.945,"2024-10-31 08:11:42.951553"
"33",1,"ID","Gorontalo","Clouds","overcast clouds",29.95,29.95,29.95,34.92,1008,1.33,70,123.0595,0.5412,"2024-10-31 08:11:43.235681"
"34",1,"ID","Bitung","Clouds","overcast clouds",28.61,28.61,28.61,31.73,1009,2.5,69,125.1824,1.4451,"2024-10-31 08:11:43.625207"
"35",1,"ID","Banda Aceh","Clouds","broken clouds",30.44,30.44,30.44,35.1,1008,8.62,66,95.3222,5.5577,"2024-10-31 08:11:44.028157"
"36",1,"ID","Pekanbaru","Clouds","scattered clouds",31.18,31.18,31.18,35.76,1007,0,62,101.45,0.5333,"2024-10-31 08:11:44.506612"
"37",1,"ID","Padang","Clouds","broken clouds",29.03,29.03,29.03,33.77,1010,2.54,75,100.3543,-0.9492,"2024-10-31 08:11:44.77136"
"38",1,"ID","Kupang","Clouds","broken clouds",26.32,26.32,26.32,26.32,1009,3.6,94,123.5833,-10.1667,"2024-10-31 08:11:45.17312"
"39",1,"ID","Sorong","Clouds","scattered clouds",29.76,29.76,29.76,34.69,1008,3.6,71,131.25,-0.8833,"2024-10-31 08:11:45.484671"
"40",1,"ID","Denpasar","Clouds","scattered clouds",31.81,31.81,31.81,37.23,1008,3.09,62,115.2167,-8.65,"2024-10-31 08:11:45.89341"
"41",1,"ID","Cirebon","Clouds","overcast clouds",32.09,32.09,32.09,36.98,1008,4.97,59,108.557,-6.7063,"2024-10-31 08:11:46.223402"
"42",1,"ID","Tasikmalaya","Clouds","overcast clouds",29.94,29.94,29.94,32.92,1009,1.78,61,108.2207,-7.3274,"2024-10-31 08:11:46.458905"
"43",1,"ID","Samarinda","Clouds","overcast clouds",25.27,25.27,25.27,26.28,1009,0.65,93,117.15,-0.5,"2024-10-31 10:09:11.698915"
"44",1,"ID","Balikpapan","Clouds","few clouds",27.55,27.55,27.55,30.75,1008,4.12,78,116.8289,-1.2675,"2024-10-31 10:09:12.099157"
"45",1,"ID","Bandar Lampung","Clouds","overcast clouds",30.07,30.07,30.07,33.17,1008,3.59,61,105.258,-5.4254,"2024-10-31 10:09:12.386569"
"46",1,"ID","Metro","Clouds","overcast clouds",31.79,31.79,31.79,34.7,1008,4.48,53,105.3067,-5.1131,"2024-10-31 10:09:12.785957"
"47",1,"ID","Pringsewu","Clouds","overcast clouds",29.19,29.19,29.19,31.86,1009,3.95,63,104.9744,-5.3582,"2024-10-31 10:09:13.163143"
"48",1,"ID","Palembang","Clouds","broken clouds",34.05,34.05,34.05,39.2,1007,2.57,52,104.7458,-2.9167,"2024-10-31 10:09:13.453854"
"49",1,"ID","Surabaya","Rain","light rain",31.68,29.97,31.68,36.06,1008,3.09,59,112.7508,-7.2492,"2024-10-31 10:09:13.840722"
"50",1,"ID","Gresik","Rain","light rain",31.66,29.95,31.66,36.01,1008,3.28,59,112.6561,-7.1539,"2024-10-31 10:09:14.187137"
"51",1,"ID","Sidoarjo","Rain","light rain",29.98,29.98,31.7,34.99,1008,3.09,70,112.7183,-7.4478,"2024-10-31 10:09:14.558689"
"52",1,"ID","Malang","Rain","light rain",25.53,25.53,25.53,26.31,1010,0.14,83,112.6304,-7.9797,"2024-10-31 10:09:14.914215"
"53",1,"ID","Probolinggo","Clouds","overcast clouds",28.89,28.89,28.89,32.49,1008,2.39,70,113.2159,-7.7543,"2024-10-31 10:09:15.338508"
"54",1,"ID","Semarang","Clouds","few clouds",31.96,31.96,31.96,38.89,1008,4.63,66,110.4203,-6.9932,"2024-10-31 10:09:15.648441"
"55",1,"PH","Solo","Clouds","overcast clouds",27.63,27.63,27.63,31.46,1008,3.77,82,120.9012,13.7469,"2024-10-31 10:09:16.081297"
"56",1,"ID","Yogyakarta","Clouds","broken clouds",28.1,28.1,28.1,31.28,1009,3.3,73,110.3608,-7.7828,"2024-10-31 10:09:16.542843"
"57",1,"ID","Medan","Clouds","broken clouds",30.02,30.02,30.02,37.02,1009,6.69,79,98.6667,3.5833,"2024-10-31 10:09:16.98406"
"58",1,"ID","Tebing Tinggi","Clouds","scattered clouds",27.89,27.89,27.89,32.12,1008,2.15,82,99.1623,3.3274,"2024-10-31 10:09:17.429149"
"59",1,"ID","Makassar","Rain","moderate rain",24.03,24.03,24.03,25.1,1008,3.6,100,119.4221,-5.14,"2024-10-31 10:09:17.94296"
"60",1,"ID","Jakarta","Clouds","scattered clouds",32.08,30.5,32.27,35.81,1008,4.12,55,106.8451,-6.2146,"2024-10-31 10:09:18.234391"
"61",1,"ID","Tangerang","Clouds","few clouds",30.76,30.5,32.26,35.59,1008,3.6,65,106.63,-6.1781,"2024-10-31 10:09:18.693427"
"62",1,"ID","Tangerang Selatan","Rain","light rain",31.81,30.33,32.1,34.99,1008,3.6,54,106.7085,-6.2955,"2024-10-31 10:09:19.195729"
"63",1,"ID","Bogor","Rain","moderate rain",28.66,28.66,28.66,32.34,1009,1.1,72,106.7892,-6.5944,"2024-10-31 10:09:19.508361"
"64",1,"ID","Depok","Rain","light rain",31.42,31.33,31.77,34.72,1008,4.12,56,106.8186,-6.4,"2024-10-31 10:09:19.821511"
"65",1,"ID","Bekasi","Clouds","scattered clouds",32.02,32.02,32.24,36.53,1008,4.12,58,106.9896,-6.2349,"2024-10-31 10:09:20.086988"
"66",1,"ID","Manado","Clouds","few clouds",29.43,29.43,29.43,34.56,1010,3.09,74,124.8455,1.487,"2024-10-31 10:09:20.487978"
"67",1,"ID","Jayapura","Clouds","broken clouds",25.66,25.66,25.66,26.5,1009,1.7,85,140.7,-2.5333,"2024-10-31 10:09:20.866873"
"68",1,"ID","Bandung","Clouds","overcast clouds",25.29,25.29,25.29,25.78,1010,1.78,73,107.6186,-6.9039,"2024-10-31 10:09:21.28788"
"69",1,"ID","Pontianak","Rain","light rain",23.99,23.99,23.99,24.9,1009,3.09,94,109.3333,-0.0333,"2024-10-31 10:09:21.787263"
"70",1,"ID","Ambon City","Clouds","scattered clouds",29.93,29.08,29.93,36.93,1010,3.09,95,128.1814,-3.6954,"2024-10-31 10:09:22.124097"
"71",1,"ID","Bima","Clouds","overcast clouds",28.74,28.74,28.74,32.52,1009,1.56,72,118.7167,-8.4667,"2024-10-31 10:09:22.507519"
"72",1,"ID","Banjarmasin","Rain","light rain",26.08,26.08,26.08,26.08,1008,0.91,81,114.591,-3.3244,"2024-10-31 10:09:22.736948"
