"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Rain","moderate rain",26.77,26.77,26.77,29.57,1012,1.87,84,117.15,-0.5,"2024-06-13 02:25:48.454039"
"2",1,"ID","Balikpapan","Rain","moderate rain",26.55,26.55,26.55,26.55,1012,3.09,94,116.8289,-1.2675,"2024-06-13 02:25:48.903852"
"3",1,"ID","Bandar Lampung","Clouds","broken clouds",28.09,28.09,28.09,31.56,1013,0.74,75,105.258,-5.4254,"2024-06-13 02:25:49.348145"
"4",1,"ID","Metro","Clouds","overcast clouds",27.68,27.68,27.68,30.79,1012,1.48,76,105.3067,-5.1131,"2024-06-13 02:25:49.80419"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",28.16,28.16,28.16,32.18,1013,0.22,78,104.9744,-5.3582,"2024-06-13 02:25:50.353664"
"6",1,"ID","Palembang","Clouds","scattered clouds",27.05,27.05,27.05,30.77,1012,1.54,89,104.7458,-2.9167,"2024-06-13 02:25:50.590248"
"7",1,"ID","Surabaya","Clouds","few clouds",28.97,28.97,28.97,34.44,1012,1.03,79,112.7508,-7.2492,"2024-06-13 02:25:50.940515"
"8",1,"ID","Gresik","Clouds","scattered clouds",28.95,28.95,28.95,32.8,1013,2.14,71,112.6561,-7.1539,"2024-06-13 02:25:51.257423"
"9",1,"ID","Sidoarjo","Clouds","few clouds",28.98,28.98,28.98,34.47,1012,1.03,79,112.7183,-7.4478,"2024-06-13 02:25:51.680267"
"10",1,"ID","Malang","Clouds","overcast clouds",25.62,25.62,25.62,26.4,1014,0.46,83,112.6304,-7.9797,"2024-06-13 02:25:52.118064"
"11",1,"ID","Probolinggo","Clouds","scattered clouds",30.08,30.08,30.08,33.19,1013,1.14,61,113.2159,-7.7543,"2024-06-13 02:25:52.445343"
"12",1,"ID","Semarang","Haze","haze",27.96,27.96,27.96,32.46,1013,1.03,83,110.4203,-6.9932,"2024-06-13 02:25:52.736892"
"13",1,"PH","Solo","Clouds","few clouds",29.42,29.42,29.42,34.76,1010,1.65,75,120.9012,13.7469,"2024-06-13 02:25:53.203035"
"14",1,"ID","Yogyakarta","Clouds","broken clouds",26.81,26.81,26.81,29.16,1013,1.57,78,110.3608,-7.7828,"2024-06-13 02:25:53.634916"
"15",1,"ID","Medan","Clouds","scattered clouds",28.9,28.9,29.02,34.25,1013,2.68,79,98.6667,3.5833,"2024-06-13 02:25:54.165727"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",26.81,26.81,26.81,29.58,1013,1.51,83,99.1623,3.3274,"2024-06-13 02:25:54.500484"
"17",1,"ID","Makassar","Clouds","few clouds",29.03,29.03,29.03,35.73,1012,1.54,84,119.4221,-5.14,"2024-06-13 02:25:54.730788"
"18",1,"ID","Jakarta","Haze","haze",29.05,28.83,29.05,33.62,1012,3.09,74,106.8451,-6.2146,"2024-06-13 02:25:55.213326"
"19",1,"ID","Tangerang","Haze","haze",28.89,28.83,29.04,33.23,1012,3.09,74,106.63,-6.1781,"2024-06-13 02:25:55.501165"
"20",1,"ID","Tangerang Selatan","Haze","haze",28.8,28.66,28.88,33.02,1012,3.09,74,106.7085,-6.2955,"2024-06-13 02:25:55.854083"
"21",1,"ID","Bogor","Clouds","scattered clouds",27.59,27.59,27.59,30.24,1013,0.64,73,106.7892,-6.5944,"2024-06-13 02:25:56.393455"
"22",1,"ID","Depok","Haze","haze",28.55,28.34,28.55,32.44,1012,3.09,74,106.8186,-6.4,"2024-06-13 02:25:56.707945"
"23",1,"ID","Bekasi","Haze","haze",29.02,28.81,29.02,33.54,1012,3.09,74,106.9896,-6.2349,"2024-06-13 02:25:57.221328"
"24",1,"ID","Manado","Clouds","scattered clouds",31.43,31.43,31.43,37.51,1013,4.12,66,124.8455,1.487,"2024-06-13 02:25:57.549333"
