"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","scattered clouds",31.03,31.03,31.03,36.79,1006,1.07,67,117.15,-0.5,"2025-05-26 06:15:09.098473"
"2",1,"ID","Balikpapan","Clouds","few clouds",31.55,31.55,31.55,38.55,1007,2.06,74,116.8289,-1.2675,"2025-05-26 06:15:09.510553"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",29.11,29.11,29.11,34.83,1009,0.12,79,105.258,-5.4254,"2025-05-26 06:15:10.049705"
"4",1,"ID","Metro","Clouds","overcast clouds",30.37,30.37,30.37,35.19,1008,2.33,67,105.3067,-5.1131,"2025-05-26 06:15:10.323434"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",29.28,29.28,29.28,35.3,1009,1.29,79,104.9744,-5.3582,"2025-05-26 06:15:10.672797"
"6",1,"ID","Palembang","Clouds","scattered clouds",30.05,30.05,30.05,36.17,1009,2.06,74,104.7458,-2.9167,"2025-05-26 06:15:10.94751"
"7",1,"ID","Surabaya","Rain","heavy intensity rain",24.97,24.97,24.97,26.13,1010,4.12,100,112.7508,-7.2492,"2025-05-26 06:15:11.258559"
"8",1,"ID","Gresik","Rain","heavy intensity rain",24.95,24.95,24.95,25.9,1010,2.8,92,112.6561,-7.1539,"2025-05-26 06:15:11.795986"
"9",1,"ID","Sidoarjo","Rain","moderate rain",24.98,24.98,24.98,26.14,1010,4.12,100,112.7183,-7.4478,"2025-05-26 06:15:12.3335"
"10",1,"ID","Malang","Clouds","broken clouds",27.84,27.84,27.84,34.84,1009,2.63,100,112.6304,-7.9797,"2025-05-26 06:15:12.686696"
"11",1,"ID","Probolinggo","Clouds","overcast clouds",31.17,31.17,31.17,38.17,1008,2.64,83,113.2159,-7.7543,"2025-05-26 06:15:13.20677"
"12",1,"ID","Semarang","Clouds","few clouds",26.96,26.96,28.64,31.04,1008,1.03,94,110.4203,-6.9932,"2025-05-26 06:15:13.705525"
"13",1,"PH","Solo","Clouds","broken clouds",31.05,31.05,31.05,36.84,1008,9.08,67,120.9012,13.7469,"2025-05-26 06:15:14.159334"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",28.74,28.74,28.74,30.89,1007,1.45,62,110.3608,-7.7828,"2025-05-26 06:15:14.536421"
"15",1,"ID","Medan","Clouds","scattered clouds",32.02,32.02,32.02,39.02,1008,4.63,70,98.6667,3.5833,"2025-05-26 06:15:15.113097"
"16",1,"ID","Tebing Tinggi","Clouds","broken clouds",33.17,33.17,33.17,36.34,1008,1.41,49,99.1623,3.3274,"2025-05-26 06:15:15.588441"
"17",1,"ID","Makassar","Clouds","broken clouds",30.35,30.35,30.35,35.65,1007,3.46,69,119.4221,-5.14,"2025-05-26 06:15:15.948192"
"18",1,"ID","Jakarta","Clouds","overcast clouds",29.99,28.83,30.85,35.5,1009,4.29,72,106.8451,-6.2146,"2025-05-26 06:15:16.396333"
"19",1,"ID","Tangerang","Clouds","scattered clouds",29.87,28.83,32.7,36.87,1008,3.09,88,106.63,-6.1781,"2025-05-26 06:15:16.928052"
"20",1,"ID","Tangerang Selatan","Clouds","scattered clouds",29.6,28.66,30.68,34.76,1007,3.09,73,106.7085,-6.2955,"2025-05-26 06:15:17.359393"
"21",1,"ID","Bogor","Clouds","overcast clouds",29.06,29.06,29.06,34.69,1008,3.55,79,106.7892,-6.5944,"2025-05-26 06:15:17.742427"
"22",1,"ID","Depok","Clouds","overcast clouds",29.96,28.55,30.36,35.93,1008,4.97,74,106.8186,-6.4,"2025-05-26 06:15:18.301809"
"23",1,"ID","Bekasi","Clouds","overcast clouds",30.49,30.49,30.58,37.49,1009,4.03,79,106.9896,-6.2349,"2025-05-26 06:15:18.817488"
"24",1,"ID","Manado","Clouds","scattered clouds",32.43,32.43,32.43,39.43,1009,2.06,70,124.8455,1.487,"2025-05-26 06:15:19.10413"
"25",1,"ID","Jayapura","Clouds","overcast clouds",32.66,32.66,32.66,39.66,1009,1.26,84,140.7,-2.5333,"2025-05-26 06:15:19.384126"
"26",1,"ID","Bandung","Clouds","overcast clouds",27.18,27.1,28.32,30.46,1010,2.83,83,107.6186,-6.9039,"2025-05-26 06:15:19.916942"
"27",1,"ID","Pontianak","Clouds","broken clouds",32.99,32.99,32.99,39.99,1007,3.09,66,109.3333,-0.0333,"2025-05-26 06:15:20.478922"
"28",1,"ID","Ambon City","Clouds","scattered clouds",31.08,31.08,31.08,37.81,1008,3.6,70,128.1814,-3.6954,"2025-05-26 06:15:20.865877"
"29",1,"ID","Bima","Clouds","overcast clouds",31.19,31.19,31.19,36.9,1007,4.32,66,118.7167,-8.4667,"2025-05-26 06:15:21.268417"
"30",1,"ID","Banjarmasin","Clouds","broken clouds",32.08,32.08,32.08,39.08,1008,2.7,71,114.591,-3.3244,"2025-05-26 06:15:21.621029"
"31",1,"ID","Palu","Clouds","scattered clouds",33.37,33.37,33.37,40.37,1007,2.56,60,119.8707,-0.8917,"2025-05-26 06:15:21.992339"
"32",1,"ID","Kendari","Clouds","broken clouds",30.5,30.5,30.5,34.5,1007,2.86,63,122.4989,-3.945,"2025-05-26 06:15:22.415801"
"33",1,"ID","Gorontalo","Clouds","few clouds",31.66,31.66,31.66,37.17,1007,1.89,63,123.0595,0.5412,"2025-05-26 06:15:22.719269"
"34",1,"ID","Bitung","Clouds","scattered clouds",28.88,28.88,28.88,32.83,1008,2.98,72,125.1824,1.4451,"2025-05-26 06:15:23.031998"
"35",1,"ID","Banda Aceh","Clouds","overcast clouds",30.32,30.32,30.32,34.82,1009,7.37,66,95.3222,5.5577,"2025-05-26 06:15:23.322808"
"36",1,"ID","Pekanbaru","Clouds","few clouds",34.18,34.18,34.18,37.47,1007,2.06,46,101.45,0.5333,"2025-05-26 06:15:23.601571"
"37",1,"ID","Padang","Clouds","broken clouds",32.03,32.03,32.03,36.84,1010,3.31,59,100.3543,-0.9492,"2025-05-26 06:15:24.07906"
