"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",27.29,27.29,27.29,31.33,1008,0.23,88,117.15,-0.5,"2024-05-29 05:15:35.006046"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",30.55,30.55,30.55,37.55,1008,1.54,84,116.8289,-1.2675,"2024-05-29 05:15:35.584912"
"3",1,"ID","Bandar Lampung","Clouds","scattered clouds",30.39,30.39,30.39,36.27,1009,2.14,71,105.258,-5.4254,"2024-05-29 05:15:36.032778"
"4",1,"ID","Metro","Clouds","scattered clouds",31.38,31.38,31.38,37.38,1009,2.59,66,105.3067,-5.1131,"2024-05-29 05:15:36.744826"
"5",1,"ID","Pringsewu","Clouds","scattered clouds",31.5,31.5,31.5,37.08,1009,1.44,64,104.9744,-5.3582,"2024-05-29 05:15:37.309906"
"6",1,"ID","Palembang","Clouds","scattered clouds",32.05,32.05,32.05,39.05,1009,2.57,66,104.7458,-2.9167,"2024-05-29 05:15:37.999457"
"7",1,"ID","Surabaya","Clouds","few clouds",31.97,31.97,31.97,38.97,1009,4.12,70,112.7508,-7.2492,"2024-05-29 05:15:38.383636"
"8",1,"ID","Gresik","Clear","clear sky",31.95,31.95,31.95,35.81,1008,3.04,56,112.6561,-7.1539,"2024-05-29 05:15:38.944656"
"9",1,"ID","Sidoarjo","Clouds","few clouds",31.98,31.98,31.98,38.98,1009,4.63,70,112.7183,-7.4478,"2024-05-29 05:15:39.476486"
"10",1,"ID","Malang","Clear","clear sky",31.84,31.84,31.84,33.4,1010,0.44,47,112.6304,-7.9797,"2024-05-29 05:15:39.911008"
"11",1,"ID","Probolinggo","Clear","clear sky",31.25,31.25,31.25,34.62,1009,3.4,57,113.2159,-7.7543,"2024-05-29 05:15:40.348185"
"12",1,"ID","Semarang","Clouds","few clouds",32.96,32.96,32.96,37.72,1009,4.63,55,110.4203,-6.9932,"2024-05-29 05:15:40.852917"
"13",1,"PH","Solo","Clouds","overcast clouds",30.47,30.47,30.47,35.94,1007,2.69,69,120.9012,13.7469,"2024-05-29 05:15:41.432684"
"14",1,"ID","Yogyakarta","Clouds","few clouds",31.8,31.8,31.8,36.04,1009,1.6,58,110.3608,-7.7828,"2024-05-29 05:15:41.832837"
"15",1,"ID","Medan","Haze","haze",30.02,30.02,35.05,37.02,1009,2.57,79,98.6667,3.5833,"2024-05-29 05:15:42.32727"
