"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",29.61,29.61,29.61,33.89,1008,2.33,69,117.15,-0.5,"2024-05-29 06:10:25.408732"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",30.55,30.55,30.55,37.55,1008,1.54,84,116.8289,-1.2675,"2024-05-29 06:10:25.717095"
"3",1,"ID","Bandar Lampung","Clouds","scattered clouds",30.68,30.68,30.68,36.47,1009,1.71,69,105.258,-5.4254,"2024-05-29 06:10:26.149024"
"4",1,"ID","Metro","Clouds","scattered clouds",30.58,30.58,30.58,36.22,1009,2.95,69,105.3067,-5.1131,"2024-05-29 06:10:26.479695"
"5",1,"ID","Pringsewu","Clouds","scattered clouds",31.75,31.75,31.75,37.39,1009,2.15,63,104.9744,-5.3582,"2024-05-29 06:10:26.783128"
"6",1,"ID","Palembang","Clouds","scattered clouds",33.05,33.05,33.05,40.05,1008,2.06,66,104.7458,-2.9167,"2024-05-29 06:10:27.066636"
"7",1,"ID","Surabaya","Clouds","few clouds",31.97,31.97,31.97,38.97,1009,4.12,70,112.7508,-7.2492,"2024-05-29 06:10:27.458164"
"8",1,"ID","Gresik","Clouds","few clouds",31.95,31.95,31.95,34.51,1008,3.21,51,112.6561,-7.1539,"2024-05-29 06:10:27.969074"
"9",1,"ID","Sidoarjo","Clouds","few clouds",31.98,31.98,31.98,38.98,1009,4.12,70,112.7183,-7.4478,"2024-05-29 06:10:28.483536"
"10",1,"ID","Malang","Clouds","scattered clouds",31.55,31.55,31.55,33.56,1009,2.38,50,112.6304,-7.9797,"2024-05-29 06:10:28.726778"
"11",1,"ID","Probolinggo","Clear","clear sky",31.31,31.31,31.31,35.25,1009,3.73,59,113.2159,-7.7543,"2024-05-29 06:10:29.278511"
"12",1,"ID","Semarang","Clouds","scattered clouds",32.96,32.96,32.96,37.72,1008,3.6,55,110.4203,-6.9932,"2024-05-29 06:10:29.634722"
"13",1,"PH","Solo","Clouds","overcast clouds",30.17,30.17,30.17,35.97,1006,3.5,72,120.9012,13.7469,"2024-05-29 06:10:30.127075"
"14",1,"ID","Yogyakarta","Clouds","broken clouds",32.37,32.37,32.37,35.86,1009,1.85,53,110.3608,-7.7828,"2024-05-29 06:10:30.526561"
"15",1,"ID","Medan","Clouds","scattered clouds",31.02,31.02,35.61,38.02,1008,2.06,74,98.6667,3.5833,"2024-05-29 06:10:31.028868"
"16",1,"ID","Tebing Tinggi","Rain","heavy intensity rain",35.61,35.61,35.61,42.59,1006,1.59,51,99.1623,3.3274,"2024-05-29 06:10:31.410925"
"17",1,"ID","Makassar","Clouds","scattered clouds",32.03,32.03,32.03,39.03,1008,5.14,74,119.4221,-5.14,"2024-05-29 06:10:31.670155"
"18",1,"ID","Jakarta","Haze","haze",34.43,33.83,35.84,41.43,1007,3.09,69,106.8451,-6.2146,"2024-05-29 06:10:32.18659"
"19",1,"ID","Tangerang","Clouds","scattered clouds",34.17,33.83,35.83,41,1008,6.17,56,106.63,-6.1781,"2024-05-29 06:10:32.560335"
"20",1,"ID","Tangerang Selatan","Clouds","scattered clouds",34.36,33.66,35.67,41.36,1009,6.17,70,106.7085,-6.2955,"2024-05-29 06:10:32.925101"
"21",1,"ID","Bogor","Clouds","scattered clouds",34.37,32.59,34.38,39.95,986,1.75,52,106.7892,-6.5944,"2024-05-29 06:10:33.174003"
"22",1,"ID","Depok","Haze","haze",34.31,33.34,35.34,41.31,1008,3.09,70,106.8186,-6.4,"2024-05-29 06:10:33.585583"
"23",1,"ID","Bekasi","Haze","haze",34.37,33.81,35.81,41.11,1008,3.09,55,106.9896,-6.2349,"2024-05-29 06:10:34.041841"
"24",1,"ID","Manado","Clouds","scattered clouds",33.43,33.43,33.43,40.43,1007,1.54,62,124.8455,1.487,"2024-05-29 06:10:34.412389"
"25",1,"ID","Jayapura","Clouds","broken clouds",29.66,29.66,29.66,36.38,1008,3.02,79,140.7,-2.5333,"2024-05-29 06:10:34.842708"
"26",1,"ID","Bandung","Clouds","scattered clouds",27.12,27.12,27.12,28.97,1010,0.89,69,107.6186,-6.9039,"2024-05-29 06:10:35.122094"
"27",1,"ID","Pontianak","Clouds","broken clouds",30.99,30.99,30.99,37.99,1008,3.6,84,109.3333,-0.0333,"2024-05-29 06:10:35.542075"
"28",1,"ID","Ambon City","Clouds","few clouds",29.08,29.08,29.08,35.88,1007,3.6,84,128.1814,-3.6954,"2024-05-29 06:10:35.992766"
"29",1,"ID","Bima","Clouds","broken clouds",30.56,30.56,30.56,37.56,1009,1.12,76,118.7167,-8.4667,"2024-05-29 06:10:36.293638"
"30",1,"ID","Banjarmasin","Clouds","broken clouds",34.08,34.08,34.08,41.08,1007,0.25,79,114.591,-3.3244,"2024-05-29 06:10:36.5957"
"31",1,"ID","Palu","Clouds","overcast clouds",32.74,32.74,32.74,39.21,1008,2.1,61,119.8707,-0.8917,"2024-05-29 06:10:37.194373"
"32",1,"ID","Kendari","Clouds","overcast clouds",30.16,30.16,30.16,34.7,1008,2.24,67,122.4989,-3.945,"2024-05-29 06:10:37.510249"
"33",1,"ID","Gorontalo","Clouds","overcast clouds",30.91,30.91,30.91,37.06,1008,2.01,69,123.0595,0.5412,"2024-05-29 06:10:37.954391"
"34",1,"ID","Bitung","Clouds","overcast clouds",33.47,33.47,33.47,40.47,1007,2.96,69,125.1824,1.4451,"2024-05-29 06:10:38.391155"
"35",1,"ID","Banda Aceh","Clouds","overcast clouds",31.55,31.55,31.55,38.45,1008,7.02,68,95.3222,5.5577,"2024-05-29 06:10:38.920633"
"36",1,"ID","Pekanbaru","Clouds","scattered clouds",34.18,34.18,34.18,41.18,1006,3.09,62,101.45,0.5333,"2024-05-29 06:10:39.21542"
"37",1,"ID","Padang","Rain","light rain",32.03,32.03,32.03,39.03,1009,1.59,84,100.3543,-0.9492,"2024-05-29 06:10:39.571988"
"38",1,"ID","Kupang","Clouds","scattered clouds",34.32,34.32,34.32,41.32,1009,4.12,66,123.5833,-10.1667,"2024-05-29 06:10:39.955397"
"39",1,"ID","Sorong","Clouds","broken clouds",29.56,29.56,29.56,34.89,1007,3.77,74,131.25,-0.8833,"2024-05-29 06:10:40.265654"
"40",1,"ID","Denpasar","Clouds","broken clouds",29.81,29.81,29.81,36.81,1009,3.09,79,115.2167,-8.65,"2024-05-29 06:10:40.579647"
"41",1,"ID","Cirebon","Clouds","broken clouds",30.1,30.1,30.1,35.04,1009,3.51,69,108.557,-6.7063,"2024-05-29 06:10:40.919336"
"42",1,"ID","Tasikmalaya","Clouds","broken clouds",31.97,31.97,31.97,35.05,1009,1.45,53,108.2207,-7.3274,"2024-05-29 06:10:41.264654"
