"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",30.07,30.07,30.07,32.97,1013,2.12,60,117.15,-0.5,"2025-02-25 02:45:33.235493"
"2",1,"ID","Balikpapan","Clouds","few clouds",30.55,30.55,30.55,36.42,1014,3.09,70,116.8289,-1.2675,"2025-02-25 02:45:33.525547"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",26.64,26.64,26.64,26.64,1014,1.3,83,105.258,-5.4254,"2025-02-25 02:45:34.019533"
"4",1,"ID","Metro","Clouds","overcast clouds",27.53,27.53,27.53,30.71,1014,2.19,78,105.3067,-5.1131,"2025-02-25 02:45:34.264793"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",28.42,28.42,28.42,31.82,1014,1.89,72,104.9744,-5.3582,"2025-02-25 02:45:34.509197"
"6",1,"ID","Palembang","Clouds","broken clouds",25.05,25.05,25.05,26.07,1015,1.54,94,104.7458,-2.9167,"2025-02-25 02:45:34.984455"
"7",1,"ID","Surabaya","Clouds","few clouds",27.97,27.97,27.97,31.72,1013,2.06,78,112.7508,-7.2492,"2025-02-25 02:45:35.365886"
"8",1,"ID","Gresik","Clouds","overcast clouds",27.95,27.95,27.95,31.68,1013,1.6,78,112.6561,-7.1539,"2025-02-25 02:45:35.863765"
"9",1,"ID","Sidoarjo","Clouds","few clouds",27.98,27.98,27.98,31.75,1013,2.06,78,112.7183,-7.4478,"2025-02-25 02:45:36.18584"
"10",1,"ID","Malang","Clouds","overcast clouds",23.49,23.49,23.49,24.32,1015,0.61,93,112.6304,-7.9797,"2025-02-25 02:45:36.527792"
"11",1,"ID","Probolinggo","Clouds","overcast clouds",26.06,26.06,26.06,26.06,1014,2.3,83,113.2159,-7.7543,"2025-02-25 02:45:36.913968"
"12",1,"ID","Semarang","Haze","haze",27.96,27.96,27.96,32.46,1014,1.54,83,110.4203,-6.9932,"2025-02-25 02:45:37.425325"
"13",1,"PH","Solo","Clouds","overcast clouds",27.27,27.27,27.27,29.42,1018,9.69,71,120.9012,13.7469,"2025-02-25 02:45:37.812853"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",27.47,27.47,27.47,29.78,1014,0.67,71,110.3608,-7.7828,"2025-02-25 02:45:38.125494"
"15",1,"ID","Medan","Haze","haze",27.02,27.02,27.02,31.23,1014,2.57,94,98.6667,3.5833,"2025-02-25 02:45:38.627175"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",26.07,26.07,26.07,26.07,1014,1.73,88,99.1623,3.3274,"2025-02-25 02:45:39.214805"
"17",1,"ID","Makassar","Clouds","scattered clouds",30.03,30.03,30.03,35.11,1013,1.54,70,119.4221,-5.14,"2025-02-25 02:45:39.710965"
"18",1,"ID","Jakarta","Clouds","few clouds",29.79,28.05,31.06,35.24,1014,2.06,73,106.8451,-6.2146,"2025-02-25 02:45:40.186999"
"19",1,"ID","Tangerang","Haze","haze",28.9,28.83,31.05,32.51,1013,2.06,70,106.63,-6.1781,"2025-02-25 02:45:40.657579"
"20",1,"ID","Tangerang Selatan","Haze","haze",29.01,28.66,30.89,34.34,1014,2.06,78,106.7085,-6.2955,"2025-02-25 02:45:41.045388"
"21",1,"ID","Bogor","Clouds","overcast clouds",28.1,28.1,28.1,31,1014,1.41,71,106.7892,-6.5944,"2025-02-25 02:45:41.283455"
"22",1,"ID","Depok","Clouds","few clouds",28.58,28.55,30.56,32.5,1014,2.06,74,106.8186,-6.4,"2025-02-25 02:45:41.622535"
"23",1,"ID","Bekasi","Clouds","overcast clouds",31.03,31.03,32.36,37.08,1013,1.26,68,106.9896,-6.2349,"2025-02-25 02:45:42.124508"
"24",1,"ID","Manado","Clouds","scattered clouds",27.43,27.43,27.43,31.86,1013,4.12,89,124.8455,1.487,"2025-02-25 02:45:42.609282"
"25",1,"ID","Jayapura","Rain","moderate rain",30.66,30.66,30.66,34.61,1011,1.68,62,140.7,-2.5333,"2025-02-25 02:45:43.009023"
"26",1,"ID","Bandung","Clouds","overcast clouds",25.69,25.2,26.1,26.87,1015,0.89,98,107.6186,-6.9039,"2025-02-25 02:45:43.537564"
