"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Rain","moderate rain",27.02,27.02,27.02,30.38,1011,1.83,86,117.15,-0.5,"2024-08-15 02:29:02.612892"
"2",1,"ID","Balikpapan","Rain","heavy intensity rain",24.55,24.55,24.55,25.36,1011,2.06,88,116.8289,-1.2675,"2024-08-15 02:29:02.891893"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",28.14,28.14,28.14,30.53,1011,1.61,67,105.258,-5.4254,"2024-08-15 02:29:03.145967"
"4",1,"ID","Metro","Clouds","overcast clouds",27.84,27.84,27.84,30.12,1011,2.64,68,105.3067,-5.1131,"2024-08-15 02:29:03.595019"
"5",1,"ID","Pringsewu","Clouds","scattered clouds",28.95,28.95,28.95,30.95,1012,1.16,60,104.9744,-5.3582,"2024-08-15 02:29:04.089555"
"6",1,"ID","Palembang","Clouds","scattered clouds",28.05,28.05,28.05,32.71,1010,2.57,83,104.7458,-2.9167,"2024-08-15 02:29:04.381707"
"7",1,"ID","Surabaya","Clouds","few clouds",27.97,27.97,27.97,29.98,1011,3.09,65,112.7508,-7.2492,"2024-08-15 02:29:04.711362"
"8",1,"ID","Gresik","Clouds","scattered clouds",29.66,29.66,29.66,30.56,1011,1.01,50,112.6561,-7.1539,"2024-08-15 02:29:05.220881"
"9",1,"ID","Sidoarjo","Clouds","few clouds",27.98,27.98,27.98,30,1011,3.09,65,112.7183,-7.4478,"2024-08-15 02:29:05.629049"
"10",1,"ID","Malang","Clouds","scattered clouds",26.47,26.47,26.47,26.47,1013,2.19,54,112.6304,-7.9797,"2024-08-15 02:29:06.069839"
"11",1,"ID","Probolinggo","Clouds","scattered clouds",28.82,28.82,28.82,29.55,1011,5.42,51,113.2159,-7.7543,"2024-08-15 02:29:06.46909"
"12",1,"ID","Semarang","Clouds","few clouds",28.37,26.98,31.16,29.3,1011,2.06,54,110.4203,-6.9932,"2024-08-15 02:29:06.970057"
"13",1,"PH","Solo","Clouds","overcast clouds",29.35,29.35,29.35,34.36,1009,3.98,74,120.9012,13.7469,"2024-08-15 02:29:07.389698"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",27.16,27.16,27.16,28.06,1013,3.57,57,110.3608,-7.7828,"2024-08-15 02:29:07.729571"
"15",1,"ID","Medan","Rain","moderate rain",27.02,27.02,27.02,31.91,1011,2.57,100,98.6667,3.5833,"2024-08-15 02:29:08.118698"
"16",2,"ID","Medan","Mist","mist",27.02,27.02,27.02,31.91,1011,2.57,100,98.6667,3.5833,"2024-08-15 02:29:08.118698"
"17",1,"ID","Tebing Tinggi","Clouds","overcast clouds",23.93,23.93,23.93,24.96,1011,1.15,99,99.1623,3.3274,"2024-08-15 02:29:08.666279"
"18",1,"ID","Makassar","Clear","clear sky",31.03,31.03,31.03,30.07,1011,1.54,33,119.4221,-5.14,"2024-08-15 02:29:09.185441"
"19",1,"ID","Jakarta","Haze","haze",30.05,26.83,30.05,33.34,1011,3.09,62,106.8451,-6.2146,"2024-08-15 02:29:09.520789"
"20",1,"ID","Tangerang","Haze","haze",29.95,29.94,29.95,33.14,1011,1.54,62,106.63,-6.1781,"2024-08-15 02:29:09.962137"
"21",1,"ID","Tangerang Selatan","Haze","haze",31.23,29.79,31.45,37.3,1011,1.54,67,106.7085,-6.2955,"2024-08-15 02:29:10.451462"
"22",1,"ID","Bogor","Clouds","overcast clouds",29.77,29.77,29.77,31.85,1012,0.49,57,106.7892,-6.5944,"2024-08-15 02:29:10.841475"
"23",1,"ID","Depok","Haze","haze",29.55,29.55,30.74,32.36,1011,3.09,62,106.8186,-6.4,"2024-08-15 02:29:11.112585"
"24",1,"ID","Bekasi","Haze","haze",30.02,30.02,30.02,33.28,1011,3.09,62,106.9896,-6.2349,"2024-08-15 02:29:11.518627"
"25",1,"ID","Manado","Clouds","scattered clouds",31.43,31.43,31.43,36.33,1010,6.17,62,124.8455,1.487,"2024-08-15 02:29:11.99687"
"26",1,"ID","Jayapura","Clear","clear sky",28.58,28.58,28.58,30.08,1010,1.06,58,140.7,-2.5333,"2024-08-15 02:29:12.396275"
"27",1,"ID","Bandung","Clouds","overcast clouds",22.68,22.68,22.68,22.7,1013,1.34,65,107.6186,-6.9039,"2024-08-15 02:29:12.820349"
"28",1,"ID","Pontianak","Clouds","broken clouds",27.99,27.99,27.99,34.43,1010,2.57,94,109.3333,-0.0333,"2024-08-15 02:29:13.344876"
"29",1,"ID","Ambon City","Clouds","scattered clouds",28.08,28.08,28.08,31.39,1013,3.6,74,128.1814,-3.6954,"2024-08-15 02:29:13.58598"
"30",1,"ID","Bima","Clouds","broken clouds",30.47,30.47,30.47,30.25,1012,2.66,40,118.7167,-8.4667,"2024-08-15 02:29:13.948909"
"31",1,"ID","Banjarmasin","Clouds","overcast clouds",29.59,29.59,29.59,32.25,1011,2.17,61,114.591,-3.3244,"2024-08-15 02:29:14.369504"
"32",1,"ID","Palu","Clouds","few clouds",32.1,32.1,32.1,36.41,1011,0.2,57,119.8707,-0.8917,"2024-08-15 02:29:14.623895"
"33",1,"ID","Kendari","Clear","clear sky",29.15,29.15,29.15,30.82,1012,1.41,57,122.4989,-3.945,"2024-08-15 02:29:15.021115"
"34",1,"ID","Gorontalo","Clouds","scattered clouds",30.7,30.7,30.7,34.22,1011,3.13,60,123.0595,0.5412,"2024-08-15 02:29:15.280259"
"35",1,"ID","Bitung","Clouds","scattered clouds",28.05,28.05,28.05,31.32,1011,6.48,74,125.1824,1.4451,"2024-08-15 02:29:15.699214"
"36",1,"ID","Banda Aceh","Clouds","broken clouds",28.45,28.45,28.45,32.04,1010,1.67,73,95.3222,5.5577,"2024-08-15 02:29:16.057231"
"37",1,"ID","Pekanbaru","Clouds","overcast clouds",27.18,27.18,27.18,30.46,1010,3.6,83,101.45,0.5333,"2024-08-15 02:29:16.365374"
"38",1,"ID","Padang","Clouds","overcast clouds",28.78,28.78,28.78,32.08,1010,0.8,69,100.3543,-0.9492,"2024-08-15 02:29:16.845782"
"39",1,"ID","Kupang","Clouds","few clouds",32.32,32.32,32.32,31.88,1013,6.69,35,123.5833,-10.1667,"2024-08-15 02:29:17.380459"
"40",1,"ID","Sorong","Clear","clear sky",27.24,27.24,27.24,30.5,1011,4.96,82,131.25,-0.8833,"2024-08-15 02:29:17.760113"
"41",1,"ID","Denpasar","Clouds","few clouds",27.81,27.81,27.81,29.71,1013,6.17,65,115.2167,-8.65,"2024-08-15 02:29:18.226163"
"42",1,"ID","Cirebon","Clouds","overcast clouds",29.39,29.39,29.39,30.46,1011,3.83,52,108.557,-6.7063,"2024-08-15 02:29:18.676579"
"43",1,"ID","Tasikmalaya","Clouds","overcast clouds",22.23,22.23,22.23,22.62,1014,0.77,81,108.2207,-7.3274,"2024-08-15 02:29:19.075159"
"44",1,"ID","Samarinda","Rain","moderate rain",27.33,27.33,27.33,31.32,1009,2.06,87,117.15,-0.5,"2024-08-15 04:09:17.028083"
"45",1,"ID","Balikpapan","Rain","heavy intensity rain",24.55,24.55,24.55,25.52,1010,2.06,94,116.8289,-1.2675,"2024-08-15 04:09:17.394615"
"46",1,"ID","Bandar Lampung","Clouds","broken clouds",29.47,29.47,29.47,32.21,1010,2.43,62,105.258,-5.4254,"2024-08-15 04:09:17.688399"
"47",1,"ID","Metro","Clouds","overcast clouds",30.33,30.33,30.33,33.05,1010,2.83,58,105.3067,-5.1131,"2024-08-15 04:09:17.960164"
"48",1,"ID","Pringsewu","Clouds","scattered clouds",32.09,32.09,32.09,34.29,1010,1.76,49,104.9744,-5.3582,"2024-08-15 04:09:18.268703"
"49",1,"ID","Palembang","Clouds","scattered clouds",31.05,31.05,31.05,35.47,1009,5.14,62,104.7458,-2.9167,"2024-08-15 04:09:18.730013"
"50",1,"ID","Surabaya","Clouds","few clouds",29.97,29.97,29.97,31.66,1010,4.12,54,112.7508,-7.2492,"2024-08-15 04:09:19.244609"
"51",1,"ID","Gresik","Clouds","broken clouds",31.95,31.95,31.95,32.38,1010,3.11,41,112.6561,-7.1539,"2024-08-15 04:09:19.535691"
"52",1,"ID","Sidoarjo","Clouds","few clouds",29.98,29.98,29.98,31.68,1010,4.12,54,112.7183,-7.4478,"2024-08-15 04:09:20.047046"
"53",1,"ID","Malang","Clouds","few clouds",29.67,29.67,29.67,29.65,1011,2.57,43,112.6304,-7.9797,"2024-08-15 04:09:20.458308"
"54",1,"ID","Probolinggo","Clouds","broken clouds",30.99,30.99,30.99,31.68,1010,3.51,45,113.2159,-7.7543,"2024-08-15 04:09:20.984641"
"55",1,"ID","Semarang","Clouds","few clouds",30.96,30.96,31.16,32.17,1009,3.09,48,110.4203,-6.9932,"2024-08-15 04:09:21.349903"
"56",1,"PH","Solo","Clouds","overcast clouds",29.45,29.45,29.45,34.38,1008,4.46,73,120.9012,13.7469,"2024-08-15 04:09:21.751086"
"57",1,"ID","Yogyakarta","Clouds","overcast clouds",30.27,30.27,30.27,30.97,1011,4.56,47,110.3608,-7.7828,"2024-08-15 04:09:22.062061"
"58",1,"ID","Medan","Haze","haze",28.02,28.02,28.02,34.54,1011,1.54,94,98.6667,3.5833,"2024-08-15 04:09:22.552635"
"59",1,"ID","Tebing Tinggi","Rain","light rain",24.14,24.14,24.14,25.17,1011,1.82,98,99.1623,3.3274,"2024-08-15 04:09:22.95807"
"60",1,"ID","Makassar","Clear","clear sky",33.03,33.03,33.03,31.41,1009,2.06,25,119.4221,-5.14,"2024-08-15 04:09:23.439926"
"61",1,"ID","Jakarta","Haze","haze",31.16,29.05,32.05,38.16,1010,1.54,75,106.8451,-6.2146,"2024-08-15 04:09:23.748137"
"62",1,"ID","Tangerang","Haze","haze",31.95,31.61,31.95,35.54,1010,2.06,55,106.63,-6.1781,"2024-08-15 04:09:24.282199"
"63",1,"ID","Tangerang Selatan","Haze","haze",31.83,29.95,34.23,38.83,1010,2.06,79,106.7085,-6.2955,"2024-08-15 04:09:24.576902"
"64",1,"ID","Bogor","Clouds","overcast clouds",31.44,31.44,31.44,34.27,1010,1.14,54,106.7892,-6.5944,"2024-08-15 04:09:25.059195"
"65",1,"ID","Depok","Haze","haze",30.03,29.62,32.41,37.03,1009,1.54,83,106.8186,-6.4,"2024-08-15 04:09:25.475207"
"66",1,"ID","Bekasi","Haze","haze",32.02,32.02,32.02,34.64,1009,1.54,51,106.9896,-6.2349,"2024-08-15 04:09:25.754349"
"67",1,"ID","Manado","Clouds","scattered clouds",33.43,33.43,33.43,38.81,1009,5.14,55,124.8455,1.487,"2024-08-15 04:09:26.109271"
"68",1,"ID","Jayapura","Clouds","few clouds",27.17,27.17,27.17,28.97,1008,2.46,68,140.7,-2.5333,"2024-08-15 04:09:26.591227"
"69",1,"ID","Bandung","Clouds","overcast clouds",30.46,30.46,31.17,31.41,1011,0.89,48,107.6186,-6.9039,"2024-08-15 04:09:26.896245"
"70",1,"ID","Pontianak","Clouds","broken clouds",28.99,28.99,28.99,35.99,1008,2.57,94,109.3333,-0.0333,"2024-08-15 04:09:27.364831"
