"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",26.07,26.07,26.07,26.07,1007,1.07,88,117.15,-0.5,"2024-05-29 08:10:10.400392"
"2",1,"ID","Balikpapan","Clouds","few clouds",30.55,30.55,30.55,37.55,1006,2.06,79,116.8289,-1.2675,"2024-05-29 08:10:10.902056"
"3",1,"ID","Bandar Lampung","Clouds","scattered clouds",30.55,30.55,30.55,35.88,1007,2.1,68,105.258,-5.4254,"2024-05-29 08:10:11.295421"
"4",1,"ID","Metro","Clouds","broken clouds",30.98,30.98,30.98,36.95,1007,2.69,68,105.3067,-5.1131,"2024-05-29 08:10:11.577515"
"5",1,"ID","Pringsewu","Clouds","broken clouds",30.59,30.59,30.59,36.8,1007,1.76,71,104.9744,-5.3582,"2024-05-29 08:10:11.980502"
"6",1,"ID","Palembang","Clouds","scattered clouds",34.05,34.05,34.05,41.05,1006,2.57,59,104.7458,-2.9167,"2024-05-29 08:10:12.369032"
"7",1,"ID","Surabaya","Clouds","few clouds",31.97,31.97,31.97,38.92,1007,4.63,66,112.7508,-7.2492,"2024-05-29 08:10:12.680669"
"8",1,"ID","Gresik","Clear","clear sky",31.95,31.95,31.95,35.54,1007,2.93,55,112.6561,-7.1539,"2024-05-29 08:10:13.220761"
"9",1,"ID","Sidoarjo","Clouds","few clouds",31.98,31.98,31.98,38.95,1007,4.63,66,112.7183,-7.4478,"2024-05-29 08:10:13.492671"
"10",1,"ID","Malang","Clouds","broken clouds",27.79,27.79,27.79,30.64,1009,2.15,73,112.6304,-7.9797,"2024-05-29 08:10:13.957152"
"11",1,"ID","Probolinggo","Clear","clear sky",30.95,30.95,30.95,35.5,1008,2.96,63,113.2159,-7.7543,"2024-05-29 08:10:14.502978"
"12",1,"ID","Semarang","Clouds","few clouds",33.96,33.96,33.96,37.97,1006,4.12,49,110.4203,-6.9932,"2024-05-29 08:10:14.772753"
"13",1,"PH","Solo","Clouds","overcast clouds",30.27,30.27,30.27,36.23,1006,4.6,72,120.9012,13.7469,"2024-05-29 08:10:15.232428"
"14",1,"ID","Yogyakarta","Clouds","scattered clouds",30.28,30.28,30.28,34.26,1008,4.49,64,110.3608,-7.7828,"2024-05-29 08:10:15.732341"
"15",1,"ID","Medan","Clouds","scattered clouds",31.68,31.68,32.02,38.68,1006,4.12,70,98.6667,3.5833,"2024-05-29 08:10:16.282955"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",33.99,33.99,33.99,40.99,1005,3.02,58,99.1623,3.3274,"2024-05-29 08:10:16.677472"
"17",1,"ID","Makassar","Clouds","scattered clouds",30.03,30.03,30.03,37.03,1008,4.12,89,119.4221,-5.14,"2024-05-29 08:10:17.042124"
"18",1,"ID","Jakarta","Clouds","scattered clouds",34.56,32.72,35.12,41.56,1005,6.17,77,106.8451,-6.2146,"2024-05-29 08:10:17.349925"
"19",1,"ID","Tangerang","Clouds","scattered clouds",32.99,32.72,35.11,38.79,1007,4.12,58,106.63,-6.1781,"2024-05-29 08:10:17.662013"
"20",1,"ID","Tangerang Selatan","Clouds","scattered clouds",34.92,32.55,34.95,41.92,1007,4.12,96,106.7085,-6.2955,"2024-05-29 08:10:17.984428"
"21",1,"ID","Bogor","Clouds","scattered clouds",33.66,32.59,33.66,40.66,1008,1.42,60,106.7892,-6.5944,"2024-05-29 08:10:18.514851"
"22",1,"ID","Depok","Clouds","scattered clouds",34.15,32.23,34.62,41.15,1007,6.17,79,106.8186,-6.4,"2024-05-29 08:10:18.959974"
"23",1,"ID","Bekasi","Clouds","scattered clouds",34.33,32.7,35.09,41.01,1007,6.17,55,106.9896,-6.2349,"2024-05-29 08:10:19.33663"
"24",1,"ID","Manado","Clouds","scattered clouds",32.43,32.43,32.43,39.43,1007,2.06,66,124.8455,1.487,"2024-05-29 08:10:19.660724"
"25",1,"ID","Jayapura","Rain","light rain",28.66,28.66,28.66,35.47,1009,3.52,88,140.7,-2.5333,"2024-05-29 08:10:20.10991"
"26",1,"ID","Bandung","Clouds","scattered clouds",27.12,27.12,27.12,28.97,1010,0.89,69,107.6186,-6.9039,"2024-05-29 08:10:20.361054"
"27",1,"ID","Pontianak","Clouds","scattered clouds",29.99,29.99,29.99,36.99,1005,3.09,84,109.3333,-0.0333,"2024-05-29 08:10:20.83166"
"28",1,"ID","Ambon City","Clouds","few clouds",29.37,29.37,30.08,36.37,1007,2.57,89,128.1814,-3.6954,"2024-05-29 08:10:21.31214"
"29",1,"ID","Bima","Clouds","overcast clouds",30.11,30.11,30.11,36.33,1009,0.52,74,118.7167,-8.4667,"2024-05-29 08:10:21.718147"
"30",1,"ID","Banjarmasin","Clouds","broken clouds",34.08,34.08,34.08,41.08,1007,1.66,83,114.591,-3.3244,"2024-05-29 08:10:22.25153"
"31",1,"ID","Palu","Clouds","overcast clouds",29.57,29.57,29.57,36.57,1008,1.83,84,119.8707,-0.8917,"2024-05-29 08:10:22.495206"
"32",1,"ID","Kendari","Clouds","overcast clouds",29.13,29.13,29.13,33.21,1007,1.93,71,122.4989,-3.945,"2024-05-29 08:10:22.780079"
"33",1,"ID","Gorontalo","Clouds","overcast clouds",29.44,29.44,29.44,35.27,1007,1.19,77,123.0595,0.5412,"2024-05-29 08:10:23.020669"
"34",1,"ID","Bitung","Clouds","overcast clouds",32.47,32.47,32.47,39.47,1007,2.61,74,125.1824,1.4451,"2024-05-29 08:10:23.496201"
"35",1,"ID","Banda Aceh","Clouds","overcast clouds",31.39,31.39,31.39,37.71,1006,7.54,67,95.3222,5.5577,"2024-05-29 08:10:24.022589"
"36",1,"ID","Pekanbaru","Rain","moderate rain",30.18,30.18,30.18,37.18,1005,3.6,79,101.45,0.5333,"2024-05-29 08:10:24.476207"
"37",1,"ID","Padang","Rain","light rain",28.03,28.03,28.03,33.32,1008,0.96,87,100.3543,-0.9492,"2024-05-29 08:10:24.934477"
"38",1,"ID","Kupang","Clouds","scattered clouds",33.32,33.32,33.32,40.32,1009,2.57,75,123.5833,-10.1667,"2024-05-29 08:10:25.286458"
"39",1,"ID","Sorong","Clouds","broken clouds",29.27,29.27,29.27,34.81,1007,5.11,77,131.25,-0.8833,"2024-05-29 08:10:25.577383"
"40",1,"ID","Denpasar","Clouds","scattered clouds",29.84,29.81,29.84,36.84,1008,2.06,79,115.2167,-8.65,"2024-05-29 08:10:26.066416"
"41",1,"ID","Cirebon","Clouds","broken clouds",29.91,29.91,29.91,34.59,1008,2.82,69,108.557,-6.7063,"2024-05-29 08:10:26.512568"
"42",1,"ID","Tasikmalaya","Clouds","broken clouds",29.47,29.47,29.47,32.97,1008,2.78,66,108.2207,-7.3274,"2024-05-29 08:10:26.820052"
"43",1,"ID","Samarinda","Clouds","overcast clouds",25.51,25.51,25.51,26.49,1008,1.05,91,117.15,-0.5,"2024-05-29 10:08:03.821524"
"44",1,"ID","Balikpapan","Rain","light rain",28.55,28.55,28.55,35.32,1007,1.03,89,116.8289,-1.2675,"2024-05-29 10:08:04.25268"
"45",1,"ID","Bandar Lampung","Clouds","broken clouds",27.5,27.5,27.5,31.66,1008,1.82,86,105.258,-5.4254,"2024-05-29 10:08:04.599808"
"46",1,"ID","Metro","Clouds","broken clouds",28.49,28.49,28.49,33.36,1007,3.66,80,105.3067,-5.1131,"2024-05-29 10:08:04.925153"
"47",1,"ID","Pringsewu","Clouds","scattered clouds",28.1,28.1,28.1,33.18,1007,1.31,85,104.9744,-5.3582,"2024-05-29 10:08:05.252946"
"48",1,"ID","Palembang","Rain","light rain",33.05,33.05,33.05,40.05,1006,3.6,62,104.7458,-2.9167,"2024-05-29 10:08:05.731475"
"49",1,"ID","Surabaya","Clouds","few clouds",30.97,30.97,30.97,37.97,1007,5.14,74,112.7508,-7.2492,"2024-05-29 10:08:06.242771"
"50",1,"ID","Gresik","Clear","clear sky",30.95,30.95,30.95,37.95,1008,2.58,72,112.6561,-7.1539,"2024-05-29 10:08:06.67403"
"51",1,"ID","Sidoarjo","Clouds","few clouds",30.98,30.98,30.98,37.98,1007,5.14,74,112.7183,-7.4478,"2024-05-29 10:08:07.08983"
"52",1,"ID","Malang","Clouds","broken clouds",24.79,24.79,24.79,25.67,1011,0.92,90,112.6304,-7.9797,"2024-05-29 10:08:07.467015"
"53",1,"ID","Probolinggo","Clear","clear sky",28.84,28.84,28.84,33.11,1009,2.09,74,113.2159,-7.7543,"2024-05-29 10:08:08.06954"
