"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",32.58,32.58,32.58,35.2,1006,3.01,49,117.15,-0.5,"2024-09-17 04:09:31.583771"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",29.55,29.55,29.55,33.13,1007,2.57,66,116.8289,-1.2675,"2024-09-17 04:09:32.076021"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",29.14,29.14,29.14,29.97,1010,4.98,51,105.258,-5.4254,"2024-09-17 04:09:32.515841"
"4",1,"ID","Metro","Clouds","overcast clouds",31.17,31.17,31.17,31.44,1009,4.76,42,105.3067,-5.1131,"2024-09-17 04:09:32.945182"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",29.8,29.8,29.8,30.47,1010,4.09,48,104.9744,-5.3582,"2024-09-17 04:09:33.297783"
"6",1,"ID","Palembang","Clouds","overcast clouds",32.44,32.44,32.44,35.45,1008,2.58,51,104.7458,-2.9167,"2024-09-17 04:09:33.678224"
"7",1,"ID","Surabaya","Clouds","few clouds",31.97,31.97,31.97,31.73,1008,4.12,37,112.7508,-7.2492,"2024-09-17 04:09:34.16346"
"8",1,"ID","Gresik","Clouds","scattered clouds",31.95,31.95,31.95,30.65,1008,4.25,29,112.6561,-7.1539,"2024-09-17 04:09:34.478859"
"9",1,"ID","Sidoarjo","Clouds","few clouds",31.98,31.98,31.98,31.75,1008,4.12,37,112.7183,-7.4478,"2024-09-17 04:09:34.86767"
"10",1,"ID","Malang","Clouds","scattered clouds",31.8,31.8,31.8,30.38,1009,2.93,28,112.6304,-7.9797,"2024-09-17 04:09:35.195469"
"11",1,"ID","Probolinggo","Clouds","broken clouds",32.29,32.29,32.29,32.52,1007,3.66,39,113.2159,-7.7543,"2024-09-17 04:09:35.474507"
"12",1,"ID","Semarang","Clouds","few clouds",31.96,31.96,35.61,32.22,1007,3.6,40,110.4203,-6.9932,"2024-09-17 04:09:35.747695"
"13",1,"PH","Solo","Clouds","overcast clouds",27.58,27.58,27.58,30.7,1001,2.38,77,120.9012,13.7469,"2024-09-17 04:09:36.030788"
"14",1,"ID","Yogyakarta","Clouds","scattered clouds",30.48,30.48,30.48,30.81,1009,4.85,44,110.3608,-7.7828,"2024-09-17 04:09:36.449413"
"15",1,"ID","Medan","Rain","light rain",29.02,29.02,29.02,36.02,1009,2.57,89,98.6667,3.5833,"2024-09-17 04:09:36.744727"
"16",1,"ID","Tebing Tinggi","Rain","light rain",29.11,29.11,29.11,33.97,1009,0.8,75,99.1623,3.3274,"2024-09-17 04:09:37.065095"
"17",1,"ID","Makassar","Clear","clear sky",33.03,33.03,33.03,35.25,1006,4.12,46,119.4221,-5.14,"2024-09-17 04:09:37.369378"
"18",1,"ID","Jakarta","Clouds","overcast clouds",31.8,30.5,32.05,31.83,1008,3.09,39,106.8451,-6.2146,"2024-09-17 04:09:37.686006"
"19",1,"ID","Tangerang","Clouds","few clouds",30.74,30.5,30.95,33.18,1009,2.06,55,106.63,-6.1781,"2024-09-17 04:09:38.133354"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",30.55,30.33,31.88,30.76,1008,2.06,43,106.7085,-6.2955,"2024-09-17 04:09:38.376489"
"21",1,"ID","Bogor","Clouds","overcast clouds",30.88,30.88,32.94,31.2,1010,1.3,43,106.7892,-6.5944,"2024-09-17 04:09:38.879492"
"22",1,"ID","Depok","Clouds","overcast clouds",30.8,30.22,31.85,30.66,1009,3.09,40,106.8186,-6.4,"2024-09-17 04:09:39.28728"
"23",1,"ID","Bekasi","Clouds","overcast clouds",32.02,32.02,34.38,31.8,1008,3.09,37,106.9896,-6.2349,"2024-09-17 04:09:39.607994"
"24",1,"ID","Manado","Clouds","few clouds",36.43,36.43,36.43,43.43,1005,1.54,49,124.8455,1.487,"2024-09-17 04:09:39.909143"
"25",1,"ID","Jayapura","Clouds","broken clouds",33.66,33.66,33.66,40.66,1006,4.15,73,140.7,-2.5333,"2024-09-17 04:09:40.237802"
"26",1,"ID","Bandung","Clouds","overcast clouds",25.46,25.46,25.46,24.95,1010,0.89,34,107.6186,-6.9039,"2024-09-17 04:09:40.688616"
"27",1,"ID","Pontianak","Clouds","few clouds",30.99,30.99,30.99,37.57,1008,3.6,70,109.3333,-0.0333,"2024-09-17 04:09:41.103507"
"28",1,"ID","Ambon City","Clouds","scattered clouds",31.08,31.08,31.08,38.08,1007,3.6,74,128.1814,-3.6954,"2024-09-17 04:09:41.549706"
"29",1,"ID","Bima","Clouds","scattered clouds",35.16,35.16,35.16,35.59,1007,2.99,33,118.7167,-8.4667,"2024-09-17 04:09:42.01988"
"30",1,"ID","Banjarmasin","Clouds","overcast clouds",33.08,33.08,33.08,33.49,1006,3.18,38,114.591,-3.3244,"2024-09-17 04:09:42.320379"
"31",1,"ID","Palu","Clouds","overcast clouds",34.41,34.41,34.41,35.36,1007,2.11,37,119.8707,-0.8917,"2024-09-17 04:09:42.603102"
"32",1,"ID","Kendari","Clouds","overcast clouds",33.16,33.16,33.16,34.98,1007,1.74,44,122.4989,-3.945,"2024-09-17 04:09:42.977221"
"33",1,"ID","Gorontalo","Clouds","overcast clouds",32.34,32.34,32.34,35.52,1006,4.41,52,123.0595,0.5412,"2024-09-17 04:09:43.38058"
"34",1,"ID","Bitung","Clouds","broken clouds",30.12,30.12,30.12,34.14,1006,9.39,65,125.1824,1.4451,"2024-09-17 04:09:43.649308"
"35",1,"ID","Banda Aceh","Rain","moderate rain",26.47,26.47,26.47,26.47,1012,7.69,78,95.3222,5.5577,"2024-09-17 04:09:44.028864"
"36",1,"ID","Pekanbaru","Rain","moderate rain",29.18,29.18,29.18,33.12,1009,0,70,101.45,0.5333,"2024-09-17 04:09:44.429349"
"37",1,"ID","Padang","Rain","moderate rain",23.03,23.03,23.03,23.56,1012,2.19,83,100.3543,-0.9492,"2024-09-17 04:09:44.909024"
"38",1,"ID","Kupang","Clouds","few clouds",34.32,34.32,34.32,36.83,1008,4.12,43,123.5833,-10.1667,"2024-09-17 04:09:45.25746"
"39",1,"ID","Sorong","Clouds","overcast clouds",30.43,30.43,30.43,35.08,1005,4.44,66,131.25,-0.8833,"2024-09-17 04:09:45.635336"
"40",1,"ID","Denpasar","Clouds","few clouds",29.81,29.81,29.81,33.69,1009,2.06,66,115.2167,-8.65,"2024-09-17 04:09:46.146384"
"41",1,"ID","Cirebon","Clouds","broken clouds",31.87,31.87,31.87,31.92,1008,5.06,39,108.557,-6.7063,"2024-09-17 04:09:46.590837"
"42",1,"ID","Tasikmalaya","Clouds","overcast clouds",28.57,28.57,28.57,28.81,1011,2.48,47,108.2207,-7.3274,"2024-09-17 04:09:46.976131"
"43",1,"ID","Samarinda","Clouds","overcast clouds",32.2,32.2,32.2,34.49,1004,3.03,49,117.15,-0.5,"2024-09-17 06:12:23.273789"
"44",1,"ID","Balikpapan","Clouds","scattered clouds",30.55,30.55,30.55,33.47,1005,3.09,58,116.8289,-1.2675,"2024-09-17 06:12:23.63946"
"45",1,"ID","Bandar Lampung","Clouds","overcast clouds",29.9,29.9,29.9,30.75,1008,4.68,49,105.258,-5.4254,"2024-09-17 06:12:24.074844"
"46",1,"ID","Metro","Clouds","overcast clouds",32.26,32.26,32.26,32.47,1007,4.73,39,105.3067,-5.1131,"2024-09-17 06:12:24.65311"
"47",1,"ID","Pringsewu","Clouds","overcast clouds",29.71,29.71,29.71,30.34,1008,4.98,48,104.9744,-5.3582,"2024-09-17 06:12:25.258012"
"48",1,"ID","Palembang","Clouds","scattered clouds",31.05,31.05,31.05,35.47,1006,2.06,62,104.7458,-2.9167,"2024-09-17 06:12:25.61003"
"49",1,"ID","Surabaya","Clouds","few clouds",32.97,32.97,32.97,33.32,1005,4.12,38,112.7508,-7.2492,"2024-09-17 06:12:26.149333"
"50",1,"ID","Gresik","Clouds","broken clouds",32.95,32.95,32.95,31.67,1005,3.54,28,112.6561,-7.1539,"2024-09-17 06:12:26.51251"
"51",1,"ID","Sidoarjo","Clouds","few clouds",32.98,32.98,32.98,33.34,1005,4.12,38,112.7183,-7.4478,"2024-09-17 06:12:26.902696"
"52",1,"ID","Malang","Clouds","scattered clouds",32.69,32.69,32.69,31.49,1006,3.44,29,112.6304,-7.9797,"2024-09-17 06:12:27.477741"
"53",1,"ID","Probolinggo","Clouds","broken clouds",32.12,32.12,32.12,32.64,1006,3.66,41,113.2159,-7.7543,"2024-09-17 06:12:28.042549"
"54",1,"ID","Semarang","Clouds","scattered clouds",33.96,33.96,37.27,34.41,1005,4.12,36,110.4203,-6.9932,"2024-09-17 06:12:28.633339"
"55",1,"PH","Solo","Clouds","overcast clouds",27.39,27.39,27.39,30.17,1000,0.89,76,120.9012,13.7469,"2024-09-17 06:12:29.174954"
"56",1,"ID","Yogyakarta","Clouds","scattered clouds",30.88,30.88,30.88,31.36,1007,5.94,44,110.3608,-7.7828,"2024-09-17 06:12:29.583746"
"57",1,"ID","Medan","Rain","light rain",30.02,30.02,30.02,37.02,1007,2.57,84,98.6667,3.5833,"2024-09-17 06:12:29.931046"
"58",1,"ID","Tebing Tinggi","Rain","moderate rain",31.33,31.33,31.33,35.29,1007,2.42,59,99.1623,3.3274,"2024-09-17 06:12:30.233976"
"59",1,"ID","Makassar","Clouds","few clouds",33.03,33.03,33.03,36.06,1004,5.14,49,119.4221,-5.14,"2024-09-17 06:12:30.62915"
"60",1,"ID","Jakarta","Clouds","scattered clouds",33.54,31.27,34.05,35.14,1006,3.09,42,106.8451,-6.2146,"2024-09-17 06:12:30.99042"
"61",1,"ID","Tangerang","Clouds","few clouds",31.79,31.26,31.95,35.21,1006,4.63,55,106.63,-6.1781,"2024-09-17 06:12:31.36541"
"62",1,"ID","Tangerang Selatan","Clouds","few clouds",31.1,31.1,33.88,31.19,1006,4.63,41,106.7085,-6.2955,"2024-09-17 06:12:31.922878"
"63",1,"ID","Bogor","Clouds","overcast clouds",32.55,32.55,34.61,32.71,1008,1.38,38,106.7892,-6.5944,"2024-09-17 06:12:32.432794"
"64",1,"ID","Depok","Clouds","scattered clouds",35.52,33.52,35.66,36.7,1006,3.09,35,106.8186,-6.4,"2024-09-17 06:12:32.882613"
"65",1,"ID","Bekasi","Clouds","scattered clouds",34.03,34.02,36.13,36.29,1006,3.09,43,106.9896,-6.2349,"2024-09-17 06:12:33.420069"
"66",1,"ID","Manado","Clouds","few clouds",32.43,32.43,32.43,38.76,1004,1.54,62,124.8455,1.487,"2024-09-17 06:12:33.769382"
"67",1,"ID","Jayapura","Clouds","scattered clouds",33.66,33.66,33.66,40.66,1005,4.96,72,140.7,-2.5333,"2024-09-17 06:12:34.201548"
"68",1,"ID","Bandung","Clouds","overcast clouds",29.9,29.9,29.9,28.36,1007,1.79,25,107.6186,-6.9039,"2024-09-17 06:12:34.650575"
"69",1,"ID","Pontianak","Clouds","scattered clouds",32.99,32.99,32.99,38.79,1005,5.66,58,109.3333,-0.0333,"2024-09-17 06:12:34.98044"
"70",1,"ID","Ambon City","Clouds","scattered clouds",30.08,30.08,30.08,36.25,1006,3.09,74,128.1814,-3.6954,"2024-09-17 06:12:35.300768"
"71",1,"ID","Bima","Clouds","broken clouds",32.59,32.59,32.59,33.35,1006,1.1,41,118.7167,-8.4667,"2024-09-17 06:12:35.848397"
"72",1,"ID","Banjarmasin","Clouds","broken clouds",35.08,35.08,35.08,37.07,1004,4.94,39,114.591,-3.3244,"2024-09-17 06:12:36.307523"
"73",1,"ID","Palu","Clouds","overcast clouds",33.6,33.6,33.6,35.77,1005,2.35,44,119.8707,-0.8917,"2024-09-17 06:12:36.738919"
"74",1,"ID","Kendari","Clouds","overcast clouds",32.74,32.74,32.74,34.49,1005,2.85,45,122.4989,-3.945,"2024-09-17 06:12:37.089513"
"75",1,"ID","Gorontalo","Rain","light rain",32.14,32.14,32.14,35.66,1005,4.43,54,123.0595,0.5412,"2024-09-17 06:12:37.541842"
"76",1,"ID","Bitung","Clouds","broken clouds",29.54,29.54,29.54,33.52,1004,8.23,68,125.1824,1.4451,"2024-09-17 06:12:37.928671"
"77",1,"ID","Banda Aceh","Rain","moderate rain",27.05,27.05,27.05,29.38,1010,8.18,75,95.3222,5.5577,"2024-09-17 06:12:38.503004"
"78",1,"ID","Pekanbaru","Clouds","broken clouds",32.57,32.57,32.57,35.99,1006,2.24,52,101.45,0.5333,"2024-09-17 06:12:38.965675"
"79",1,"ID","Padang","Clouds","overcast clouds",24.03,24.03,24.03,24.97,1010,2.11,95,100.3543,-0.9492,"2024-09-17 06:12:39.362073"
"80",1,"ID","Kupang","Clouds","broken clouds",28.32,28.32,28.32,34.58,1007,4.12,89,123.5833,-10.1667,"2024-09-17 06:12:39.939924"
"81",1,"ID","Sorong","Clouds","broken clouds",30.49,30.49,30.49,36.81,1004,5.71,72,131.25,-0.8833,"2024-09-17 06:12:40.433857"
"82",1,"ID","Denpasar","Clouds","few clouds",29.81,29.81,29.81,33.69,1007,3.09,66,115.2167,-8.65,"2024-09-17 06:12:40.740645"
"83",1,"ID","Cirebon","Clouds","overcast clouds",33.05,33.05,33.05,33.44,1006,3.71,38,108.557,-6.7063,"2024-09-17 06:12:41.064962"
