"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Rain","light rain",26.96,26.96,26.96,29.47,1009,0.92,78,117.15,-0.5,"2025-01-30 04:10:30.525336"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",27.55,27.55,27.55,32.21,1009,2.57,89,116.8289,-1.2675,"2025-01-30 04:10:30.837751"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",26.58,26.58,26.58,26.58,1010,4.35,74,105.258,-5.4254,"2025-01-30 04:10:31.166485"
"4",1,"ID","Metro","Clouds","broken clouds",28.24,28.24,28.24,30.85,1010,7.29,68,105.3067,-5.1131,"2025-01-30 04:10:31.453999"
"5",1,"ID","Pringsewu","Clouds","overcast clouds",26.75,26.75,26.75,28.88,1010,1.85,76,104.9744,-5.3582,"2025-01-30 04:10:31.971974"
"6",1,"ID","Palembang","Clouds","scattered clouds",28.05,28.05,28.05,31.91,1011,8.75,78,104.7458,-2.9167,"2025-01-30 04:10:32.367774"
"7",1,"ID","Surabaya","Clouds","broken clouds",28.34,27.97,28.34,32.62,1008,7.2,78,112.7508,-7.2492,"2025-01-30 04:10:32.687262"
"8",1,"ID","Gresik","Clouds","overcast clouds",28.32,27.95,28.32,32.57,1008,5.8,78,112.6561,-7.1539,"2025-01-30 04:10:32.996018"
"9",1,"ID","Sidoarjo","Clouds","broken clouds",27.98,27.98,28.36,31.75,1008,7.2,78,112.7183,-7.4478,"2025-01-30 04:10:33.466356"
"10",1,"ID","Malang","Rain","light rain",25.53,25.53,25.53,26.23,1009,2.67,80,112.6304,-7.9797,"2025-01-30 04:10:33.915706"
"11",1,"ID","Probolinggo","Rain","light rain",27.44,27.44,27.44,30.62,1008,4.2,79,113.2159,-7.7543,"2025-01-30 04:10:34.430214"
"12",1,"ID","Semarang","Clouds","broken clouds",24.96,24.96,26.98,25.97,1008,3.6,94,110.4203,-6.9932,"2025-01-30 04:10:34.964771"
"13",1,"PH","Solo","Clouds","overcast clouds",26.52,26.52,26.52,26.52,1012,8.52,73,120.9012,13.7469,"2025-01-30 04:10:35.421379"
"14",1,"ID","Yogyakarta","Rain","light rain",32.67,32.67,32.67,38.02,1007,0.8,58,110.3608,-7.7828,"2025-01-30 04:10:35.883538"
"15",1,"ID","Medan","Clouds","broken clouds",28.02,28.02,28.02,32.62,1011,1.54,83,98.6667,3.5833,"2025-01-30 04:10:36.279058"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",29.85,29.85,29.85,32.74,1011,0.31,61,99.1623,3.3274,"2025-01-30 04:10:36.693278"
"17",1,"ID","Makassar","Rain","heavy intensity rain",24.03,24.03,24.03,25.1,1008,4.12,100,119.4221,-5.14,"2025-01-30 04:10:37.154002"
"18",1,"ID","Jakarta","Clouds","scattered clouds",29.52,28.49,30.52,33.27,1010,3.6,67,106.8451,-6.2146,"2025-01-30 04:10:37.589267"
"19",1,"ID","Tangerang","Clouds","scattered clouds",29.74,28.07,29.95,33.54,1010,7.2,66,106.63,-6.1781,"2025-01-30 04:10:37.998052"
"20",1,"ID","Tangerang Selatan","Clouds","scattered clouds",28.33,28.32,30.35,30.74,1010,7.2,66,106.7085,-6.2955,"2025-01-30 04:10:38.449185"
"21",1,"ID","Bogor","Clouds","overcast clouds",28.7,28.7,29.06,32.43,1011,4.2,72,106.7892,-6.5944,"2025-01-30 04:10:38.846922"
"22",1,"ID","Depok","Clouds","scattered clouds",29.6,27.58,30.03,33.04,1010,3.6,65,106.8186,-6.4,"2025-01-30 04:10:39.176722"
"23",1,"ID","Bekasi","Clouds","scattered clouds",29.36,29.02,31.13,32.93,1010,3.6,67,106.9896,-6.2349,"2025-01-30 04:10:39.498192"
"24",1,"ID","Manado","Clouds","scattered clouds",32.43,32.43,32.43,39.43,1008,2.57,66,124.8455,1.487,"2025-01-30 04:10:40.048708"
"25",1,"ID","Jayapura","Clouds","broken clouds",33.66,33.66,33.66,40.66,1005,3.32,59,140.7,-2.5333,"2025-01-30 04:10:40.561185"
"26",1,"ID","Bandung","Clouds","overcast clouds",23.04,22.68,24.43,23.98,1012,1.34,99,107.6186,-6.9039,"2025-01-30 04:10:41.023005"
"27",1,"ID","Pontianak","Clouds","scattered clouds",27.99,27.99,27.99,31.77,1009,5.66,78,109.3333,-0.0333,"2025-01-30 04:10:41.347791"
"28",1,"ID","Ambon City","Clouds","scattered clouds",33.08,33.08,33.08,40.08,1006,1.03,62,128.1814,-3.6954,"2025-01-30 04:10:41.681837"
"29",1,"ID","Bima","Clouds","overcast clouds",26.33,26.33,26.33,26.33,1008,0.93,91,118.7167,-8.4667,"2025-01-30 04:10:42.064007"
"30",1,"ID","Banjarmasin","Rain","light rain",26.08,26.08,26.08,26.08,1008,2.25,79,114.591,-3.3244,"2025-01-30 04:10:42.587862"
"31",1,"ID","Palu","Clouds","overcast clouds",26.09,26.09,26.09,26.09,1010,1.1,89,119.8707,-0.8917,"2025-01-30 04:10:43.038692"
"32",1,"ID","Kendari","Clouds","overcast clouds",28.53,28.53,28.53,33.65,1007,0.83,81,122.4989,-3.945,"2025-01-30 04:10:43.482591"
"33",1,"ID","Gorontalo","Clouds","scattered clouds",29.4,29.4,29.4,35.88,1007,1.04,80,123.0595,0.5412,"2025-01-30 04:10:44.004801"
"34",1,"ID","Bitung","Clouds","few clouds",28.47,28.47,28.47,32.42,1007,3.45,75,125.1824,1.4451,"2025-01-30 04:10:44.434291"
"35",1,"ID","Banda Aceh","Clouds","overcast clouds",28.56,28.56,28.56,31.63,1011,5.65,69,95.3222,5.5577,"2025-01-30 04:10:44.797216"
"36",1,"ID","Pekanbaru","Clouds","scattered clouds",28.18,28.18,28.18,30.34,1012,2.57,65,101.45,0.5333,"2025-01-30 04:10:45.203875"
"37",1,"ID","Padang","Rain","light rain",30.03,30.03,30.03,33.3,1011,0.88,62,100.3543,-0.9492,"2025-01-30 04:10:45.694318"
"38",1,"ID","Kupang","Clouds","broken clouds",28.32,28.32,28.32,33.45,1007,4.12,83,123.5833,-10.1667,"2025-01-30 04:10:46.185501"
"39",1,"ID","Sorong","Clouds","broken clouds",29.24,29.24,29.24,32.13,1006,3.62,64,131.25,-0.8833,"2025-01-30 04:10:46.597915"
"40",1,"ID","Denpasar","Rain","moderate rain",26.81,26.81,26.81,30.57,1008,4.63,94,115.2167,-8.65,"2025-01-30 04:10:47.004262"
"41",1,"ID","Cirebon","Clouds","overcast clouds",28.75,28.75,28.75,32.36,1009,9.4,71,108.557,-6.7063,"2025-01-30 04:10:47.430022"
"42",1,"ID","Tasikmalaya","Rain","light rain",28.18,28.18,28.18,30.08,1009,1.08,63,108.2207,-7.3274,"2025-01-30 04:10:47.712336"
"43",1,"ID","Samarinda","Clouds","overcast clouds",28.6,28.6,28.6,31.87,1006,1,70,117.15,-0.5,"2025-01-30 06:11:59.823087"
"44",1,"ID","Balikpapan","Rain","light rain",28.55,28.55,28.55,32.44,1007,2.06,74,116.8289,-1.2675,"2025-01-30 06:12:00.352201"
"45",1,"ID","Bandar Lampung","Clouds","overcast clouds",27.67,27.67,27.67,30.4,1008,3.03,73,105.258,-5.4254,"2025-01-30 06:12:00.688876"
"46",1,"ID","Metro","Clouds","broken clouds",29.56,29.56,29.56,32.76,1008,7.95,64,105.3067,-5.1131,"2025-01-30 06:12:01.098475"
"47",1,"ID","Pringsewu","Clouds","overcast clouds",29.63,29.63,29.63,33.1,1008,1.24,65,104.9744,-5.3582,"2025-01-30 06:12:01.500204"
"48",1,"ID","Palembang","Clouds","scattered clouds",29.05,29.05,29.05,31.94,1008,6.17,65,104.7458,-2.9167,"2025-01-30 06:12:01.906564"
"49",1,"ID","Surabaya","Clouds","scattered clouds",27.97,27.97,27.97,31.15,1007,7.2,74,112.7508,-7.2492,"2025-01-30 06:12:02.327505"
"50",1,"ID","Gresik","Clouds","overcast clouds",27.95,27.95,27.95,32.28,1007,5.22,82,112.6561,-7.1539,"2025-01-30 06:12:02.658986"
"51",1,"ID","Sidoarjo","Rain","moderate rain",27.98,27.98,27.98,31.17,1007,7.2,74,112.7183,-7.4478,"2025-01-30 06:12:03.066395"
"52",1,"ID","Malang","Clouds","overcast clouds",26.72,26.72,26.72,28.61,1008,2.64,73,112.6304,-7.9797,"2025-01-30 06:12:03.481731"
