"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Rain","light rain",24.78,24.78,24.78,25.72,1012,1.25,92,117.15,-0.5,"2025-03-21 02:54:04.155099"
"2",1,"ID","Balikpapan","Clouds","few clouds",28.55,28.55,28.55,32.44,1012,2.06,74,116.8289,-1.2675,"2025-03-21 02:54:04.467999"
"3",1,"ID","Bandar Lampung","Clouds","scattered clouds",29.35,29.35,29.35,31.47,1013,1.8,59,105.258,-5.4254,"2025-03-21 02:54:04.778175"
"4",1,"ID","Metro","Clouds","scattered clouds",27.69,27.69,27.69,29.85,1013,6.88,68,105.3067,-5.1131,"2025-03-21 02:54:05.210383"
"5",1,"ID","Pringsewu","Clouds","scattered clouds",30.19,30.19,30.19,32.99,1013,0.99,59,104.9744,-5.3582,"2025-03-21 02:54:05.708585"
"6",1,"ID","Palembang","Clouds","scattered clouds",27.05,27.05,27.05,29.66,1013,6.17,78,104.7458,-2.9167,"2025-03-21 02:54:06.213355"
"7",1,"ID","Surabaya","Rain","light rain",32.6,28.97,32.77,39.6,1012,3.6,92,112.7508,-7.2492,"2025-03-21 02:54:06.698644"
"8",1,"ID","Gresik","Clouds","broken clouds",31.65,28.95,32.75,38.65,1012,5.05,70,112.6561,-7.1539,"2025-03-21 02:54:07.178025"
"9",1,"ID","Sidoarjo","Clouds","few clouds",29.42,28.98,32.79,36.42,1012,3.6,88,112.7183,-7.4478,"2025-03-21 02:54:07.55918"
"10",1,"ID","Malang","Clouds","broken clouds",26.15,26.15,26.15,26.15,1015,2.68,69,112.6304,-7.9797,"2025-03-21 02:54:07.933374"
"11",1,"ID","Probolinggo","Clouds","scattered clouds",30.15,30.15,30.15,33.33,1012,1.62,61,113.2159,-7.7543,"2025-03-21 02:54:08.349704"
"12",1,"ID","Semarang","Clouds","few clouds",29.96,29.96,29.96,34.02,1013,6.17,66,110.4203,-6.9932,"2025-03-21 02:54:08.715756"
"13",1,"PH","Solo","Clouds","overcast clouds",28.41,28.41,28.41,31.03,1016,6.68,67,120.9012,13.7469,"2025-03-21 02:54:09.09859"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",30.27,30.27,30.27,34.47,1013,0.84,65,110.3608,-7.7828,"2025-03-21 02:54:09.608737"
"15",1,"ID","Medan","Clouds","few clouds",29.02,29.02,29.02,35.7,1015,4.63,84,98.6667,3.5833,"2025-03-21 02:54:10.098774"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",29.27,29.27,29.27,32.74,1015,0.54,67,99.1623,3.3274,"2025-03-21 02:54:10.649112"
"17",1,"ID","Makassar","Clouds","few clouds",28.03,28.03,28.03,33.67,1011,1.03,89,119.4221,-5.14,"2025-03-21 02:54:11.044701"
"18",1,"ID","Jakarta","Clouds","scattered clouds",30.05,29.94,30.05,33.34,1013,4.12,62,106.8451,-6.2146,"2025-03-21 02:54:11.400918"
"19",1,"ID","Tangerang","Clouds","few clouds",29.95,29.94,29.95,33.99,1013,5.66,66,106.63,-6.1781,"2025-03-21 02:54:11.952195"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",29.8,29.77,29.88,33.67,1013,5.66,66,106.7085,-6.2955,"2025-03-21 02:54:12.482626"
"21",1,"ID","Bogor","Clouds","scattered clouds",27.21,27.21,27.21,29.4,1014,1.78,72,106.7892,-6.5944,"2025-03-21 02:54:12.763405"
"22",1,"ID","Depok","Clouds","scattered clouds",26.88,26.88,29.55,27.36,1013,4.12,51,106.8186,-6.4,"2025-03-21 02:54:13.228468"
"23",1,"ID","Bekasi","Clouds","scattered clouds",30.02,30.02,30.02,33.28,1013,4.12,62,106.9896,-6.2349,"2025-03-21 02:54:13.628116"
"24",1,"ID","Manado","Clouds","scattered clouds",25.43,25.43,25.43,26.48,1012,3.6,94,124.8455,1.487,"2025-03-21 02:54:14.144695"
"25",1,"ID","Jayapura","Clouds","overcast clouds",32.66,32.66,32.66,39.66,1009,2.92,69,140.7,-2.5333,"2025-03-21 02:54:14.453201"
