"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",29.44,29.44,29.44,33.71,70,117.15,-0.5,"2024-05-07 03:17:36.020198"
"2",1,"ID","Balikpapan","Clouds","few clouds",30.55,30.55,30.55,37.55,79,116.8289,-1.2675,"2024-05-07 03:17:36.523673"
"3",1,"ID","Bandar Lampung","Clouds","few clouds",29.98,29.98,29.98,35.23,71,105.258,-5.4254,"2024-05-07 03:17:37.273001"
"4",1,"ID","Metro","Clouds","few clouds",29.75,29.75,29.75,34.67,71,105.3067,-5.1131,"2024-05-07 03:17:37.914771"
"5",1,"ID","Pringsewu","Clouds","scattered clouds",30.52,30.52,30.52,35.54,67,104.9744,-5.3582,"2024-05-07 03:17:38.454247"
"6",1,"ID","Palembang","Clouds","few clouds",30.05,30.05,30.05,35.16,70,104.7458,-2.9167,"2024-05-07 03:17:39.167505"
"7",1,"ID","Surabaya","Clouds","few clouds",30.97,30.97,30.97,36.36,66,112.7508,-7.2492,"2024-05-07 03:17:39.865136"
"8",1,"ID","Gresik","Clear","clear sky",30.95,30.95,30.95,34.5,59,112.6561,-7.1539,"2024-05-07 03:17:40.595186"
"9",1,"ID","Sidoarjo","Clouds","few clouds",30.98,30.98,30.98,36.39,66,112.7183,-7.4478,"2024-05-07 03:17:41.097628"
"10",1,"ID","Malang","Clear","clear sky",29.13,29.13,29.13,30.5,55,112.6304,-7.9797,"2024-05-07 03:17:41.594961"
"11",1,"ID","Probolinggo","Clear","clear sky",32.09,32.09,32.09,34.29,49,113.2159,-7.7543,"2024-05-07 03:17:42.060875"
"12",1,"ID","Semarang","Clouds","few clouds",31.96,31.96,31.96,35.56,55,110.4203,-6.9932,"2024-05-07 03:17:42.584574"
"13",1,"PH","Solo","Clear","clear sky",30.1,30.1,30.1,34.8,68,120.9012,13.7469,"2024-05-07 03:17:43.18313"
"14",1,"ID","Yogyakarta","Clouds","scattered clouds",28.96,28.96,28.96,31.76,65,110.3608,-7.7828,"2024-05-07 03:17:43.842371"
"15",1,"ID","Medan","Haze","haze",28.9,28.9,29.02,35.11,83,98.6667,3.5833,"2024-05-07 03:17:44.34867"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",27.68,27.68,27.68,32.3,87,99.1623,3.3274,"2024-05-07 03:17:45.065756"
"17",1,"ID","Makassar","Clouds","few clouds",32.03,32.03,32.03,39.03,66,119.4221,-5.14,"2024-05-07 03:17:45.770802"
"18",1,"ID","Jakarta","Haze","haze",32.05,31.61,32.05,35.74,55,106.8451,-6.2146,"2024-05-07 03:17:46.440809"
"19",1,"ID","Tangerang","Clouds","few clouds",31.78,31.61,32.04,36,58,106.63,-6.1781,"2024-05-07 03:17:47.073117"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",31.8,31.44,31.88,36.04,58,106.7085,-6.2955,"2024-05-07 03:17:47.582384"
"21",1,"ID","Bogor","Clouds","few clouds",30.59,30.59,30.59,37.08,72,106.7892,-6.5944,"2024-05-07 03:17:48.330539"
"22",1,"ID","Depok","Haze","haze",31.55,31.12,31.55,34.73,55,106.8186,-6.4,"2024-05-07 03:17:48.971803"
"23",1,"ID","Bekasi","Haze","haze",32.02,31.59,32.02,35.68,55,106.9896,-6.2349,"2024-05-07 03:17:49.535393"
"24",1,"ID","Manado","Clouds","scattered clouds",31.43,31.43,31.43,38.43,70,124.8455,1.487,"2024-05-07 03:17:50.037073"
"25",1,"ID","Jayapura","Rain","light rain",31.66,31.66,31.66,38.66,80,140.7,-2.5333,"2024-05-07 03:17:50.721124"
"26",1,"ID","Bandung","Clouds","few clouds",27.87,27.87,27.87,28.39,51,107.6186,-6.9039,"2024-05-07 03:17:51.294513"
"27",1,"ID","Pontianak","Clouds","scattered clouds",31.66,31.66,31.99,38.66,74,109.3333,-0.0333,"2024-05-07 03:17:52.024442"
