"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","pressure","wind_spd","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","broken clouds",23.67,23.67,23.67,24.57,1012,0.61,95,117.15,-0.5,"2024-07-31 16:08:41.171376"
"2",1,"ID","Balikpapan","Clouds","scattered clouds",26.55,26.55,26.55,26.55,1012,1.03,83,116.8289,-1.2675,"2024-07-31 16:08:41.702958"
"3",1,"ID","Bandar Lampung","Clouds","broken clouds",23.75,23.75,23.75,24.58,1014,2.03,92,105.258,-5.4254,"2024-07-31 16:08:42.176283"
"4",1,"ID","Metro","Clouds","broken clouds",23.29,23.29,23.29,24.02,1014,2.89,90,105.3067,-5.1131,"2024-07-31 16:08:42.51057"
"5",1,"ID","Pringsewu","Clouds","broken clouds",22.72,22.72,22.72,23.55,1015,1.23,96,104.9744,-5.3582,"2024-07-31 16:08:42.794661"
"6",1,"ID","Palembang","Clouds","overcast clouds",24.48,24.48,24.48,25.18,1013,1.48,84,104.7458,-2.9167,"2024-07-31 16:08:43.090063"
"7",1,"ID","Surabaya","Clouds","few clouds",27.97,27.97,27.97,32.49,1014,6.69,83,112.7508,-7.2492,"2024-07-31 16:08:43.45012"
"8",1,"ID","Gresik","Clouds","few clouds",27.95,27.95,27.95,31.68,1014,2.79,78,112.6561,-7.1539,"2024-07-31 16:08:43.948343"
"9",1,"ID","Sidoarjo","Clouds","few clouds",27.98,27.98,27.98,32.52,1014,6.69,83,112.7183,-7.4478,"2024-07-31 16:08:44.272335"
"10",1,"ID","Malang","Clouds","overcast clouds",21.91,21.91,21.91,22.69,1016,0.73,97,112.6304,-7.9797,"2024-07-31 16:08:44.733688"
"11",1,"ID","Probolinggo","Clear","clear sky",24.64,24.64,24.64,25.35,1014,2.84,84,113.2159,-7.7543,"2024-07-31 16:08:45.266691"
"12",1,"ID","Semarang","Clouds","scattered clouds",25.96,25.96,25.96,25.96,1014,1.54,100,110.4203,-6.9932,"2024-07-31 16:08:45.695631"
"13",1,"PH","Solo","Clouds","overcast clouds",27.79,27.79,27.79,31.58,1011,3.75,80,120.9012,13.7469,"2024-07-31 16:08:46.003473"
"14",1,"ID","Yogyakarta","Clouds","scattered clouds",22.73,22.73,22.73,23.49,1015,1.13,93,110.3608,-7.7828,"2024-07-31 16:08:46.354378"
"15",1,"ID","Medan","Clouds","scattered clouds",27.02,27.02,27.02,31.23,1013,2.06,94,98.6667,3.5833,"2024-07-31 16:08:46.699126"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",24.11,24.11,24.11,25.06,1013,1.13,95,99.1623,3.3274,"2024-07-31 16:08:47.058883"
"17",1,"ID","Makassar","Clouds","few clouds",24.03,24.03,24.03,24.94,1012,0.51,94,119.4221,-5.14,"2024-07-31 16:08:47.347519"
"18",1,"ID","Jakarta","Clouds","few clouds",27.68,26.96,28.94,30.92,1013,1.54,77,106.8451,-6.2146,"2024-07-31 16:08:47.827182"
"19",1,"ID","Tangerang","Haze","haze",27.56,26.95,28.93,30.65,1014,1.03,77,106.63,-6.1781,"2024-07-31 16:08:48.254309"
"20",1,"ID","Tangerang Selatan","Haze","haze",28.76,26.79,28.77,32.21,1014,1.34,70,106.7085,-6.2955,"2024-07-31 16:08:48.738445"
"21",1,"ID","Bogor","Clouds","broken clouds",29.15,25.59,29.26,36.15,1015,1.35,87,106.7892,-6.5944,"2024-07-31 16:08:49.268717"
"22",1,"ID","Depok","Clouds","few clouds",27.38,26.47,28.44,30.15,1014,1.54,76,106.8186,-6.4,"2024-07-31 16:08:49.79682"
"23",1,"ID","Bekasi","Clouds","few clouds",27.3,26.94,28.91,30.76,1013,1.54,83,106.9896,-6.2349,"2024-07-31 16:08:50.243778"
"24",1,"ID","Manado","Clouds","few clouds",27.43,27.43,27.43,30.03,1012,1.54,74,124.8455,1.487,"2024-07-31 16:08:50.526938"
"25",1,"ID","Jayapura","Clouds","overcast clouds",24.66,24.66,24.66,25.61,1011,2.48,93,140.7,-2.5333,"2024-07-31 16:08:51.041298"
"26",1,"ID","Bandung","Clouds","broken clouds",23.23,23.23,23.23,23.46,1016,1.34,71,107.6186,-6.9039,"2024-07-31 16:08:51.404017"
"27",1,"ID","Pontianak","Clouds","overcast clouds",26.99,26.99,26.99,31.8,1012,1.03,100,109.3333,-0.0333,"2024-07-31 16:08:51.886024"
"28",1,"ID","Ambon City","Clouds","broken clouds",27.71,27.71,27.71,33.64,1013,5.31,95,128.1814,-3.6954,"2024-07-31 16:08:52.224532"
"29",1,"ID","Bima","Clouds","few clouds",23.86,23.86,23.86,24.73,1015,0.66,93,118.7167,-8.4667,"2024-07-31 16:08:52.559893"
"30",1,"ID","Banjarmasin","Clouds","scattered clouds",27.08,27.08,27.08,31.42,1012,1.27,94,114.591,-3.3244,"2024-07-31 16:08:52.877346"
"31",1,"ID","Palu","Clouds","scattered clouds",24.5,24.5,24.5,25.54,1014,1.15,97,119.8707,-0.8917,"2024-07-31 16:08:53.24593"
"32",1,"ID","Kendari","Clouds","few clouds",23.2,23.2,23.2,24.03,1014,0.99,94,122.4989,-3.945,"2024-07-31 16:08:53.662102"
"33",1,"ID","Gorontalo","Clouds","overcast clouds",23.21,23.21,23.21,24.01,1013,0.83,93,123.0595,0.5412,"2024-07-31 16:08:54.09212"
"34",1,"ID","Bitung","Clouds","overcast clouds",27.47,27.47,27.47,31.97,1012,5.49,89,125.1824,1.4451,"2024-07-31 16:08:54.370541"
"35",1,"ID","Banda Aceh","Clouds","overcast clouds",27.9,27.9,27.9,30.87,1012,3.32,73,95.3222,5.5577,"2024-07-31 16:08:54.820431"
"36",1,"ID","Pekanbaru","Clouds","broken clouds",24.46,24.46,24.46,25.44,1012,0.79,95,101.45,0.5333,"2024-07-31 16:08:55.133459"
"37",1,"ID","Padang","Rain","light rain",26.03,26.03,26.03,26.03,1014,2.74,90,100.3543,-0.9492,"2024-07-31 16:08:55.483534"
"38",1,"ID","Kupang","Clouds","few clouds",26.32,26.32,26.32,26.32,1014,4.12,83,123.5833,-10.1667,"2024-07-31 16:08:55.841784"
