"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",26.84,26.84,26.84,30.47,92,117.15,-0.5,"2024-02-09 09:14:44.646674"
"2",1,"ID","Balikpapan","Clouds","few clouds",25.55,25.55,25.55,26.62,94,116.8289,-1.2675,"2024-02-09 09:14:45.459944"
"3",1,"ID","Bandar Lampung","Clouds","broken clouds",30.58,30.58,30.58,34.68,63,105.258,-5.4254,"2024-02-09 09:14:46.145627"
"4",1,"ID","Metro","Rain","light rain",31.93,31.93,31.93,36.04,57,105.3067,-5.1131,"2024-02-09 09:14:46.703642"
"5",1,"ID","Pringsewu","Rain","light rain",29.48,29.48,29.48,34.46,73,104.9744,-5.3582,"2024-02-09 09:14:47.183799"
"6",1,"ID","Palembang","Clouds","broken clouds",30.05,30.05,30.05,36.17,74,104.7458,-2.9167,"2024-02-09 09:14:47.646191"
"7",1,"ID","Surabaya","Clouds","scattered clouds",29.45,29.45,30.97,29.62,45,112.7508,-7.2492,"2024-02-09 09:14:48.293383"
"8",1,"ID","Gresik","Rain","light rain",29.43,29.43,30.95,33.48,69,112.6561,-7.1539,"2024-02-09 09:14:48.775017"
"9",1,"ID","Sidoarjo","Rain","moderate rain",30.98,29.47,30.98,37.55,70,112.7183,-7.4478,"2024-02-09 09:14:49.308189"
"10",1,"ID","Malang","Rain","moderate rain",25.52,25.52,25.52,26.5,91,112.6304,-7.9797,"2024-02-09 09:14:50.073574"
"11",1,"ID","Probolinggo","Clouds","overcast clouds",28.72,28.72,28.72,33.01,75,113.2159,-7.7543,"2024-02-09 09:14:50.720711"
"12",1,"ID","Semarang","Thunderstorm","thunderstorm",31.96,31.96,31.96,38.89,66,110.4203,-6.9932,"2024-02-09 09:14:51.215322"
"13",1,"PH","Solo","Clear","clear sky",28.24,28.24,28.24,30.44,65,120.9012,13.7469,"2024-02-09 09:14:51.809211"
"14",1,"ID","Yogyakarta","Clouds","scattered clouds",29.53,29.53,29.53,33.71,69,110.3608,-7.7828,"2024-02-09 09:14:52.384279"
"15",1,"ID","Medan","Clouds","few clouds",30.57,30.57,31.02,35.4,66,98.6667,3.5833,"2024-02-09 09:14:52.950682"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",29.13,29.13,29.13,34.23,76,99.1623,3.3274,"2024-02-09 09:14:53.664389"
"17",1,"ID","Makassar","Clouds","few clouds",30.03,30.03,30.03,37.03,79,119.4221,-5.14,"2024-02-09 09:14:54.572111"
"18",1,"ID","Jakarta","Clouds","scattered clouds",31.48,28.01,33.38,38.48,84,106.8451,-6.2146,"2024-02-09 09:14:55.298898"
"19",1,"ID","Tangerang","Rain","light rain",31.31,29.04,33.37,37.81,68,106.63,-6.1781,"2024-02-09 09:14:55.904523"
"20",1,"ID","Tangerang Selatan","Clouds","few clouds",32.6,28.88,33.21,39.6,75,106.7085,-6.2955,"2024-02-09 09:14:56.409287"
"21",1,"ID","Bogor","Rain","moderate rain",30.12,27.59,31.92,36.9,76,106.7892,-6.5944,"2024-02-09 09:14:57.041587"
"22",1,"ID","Depok","Rain","light rain",31.21,28.55,32.88,38.21,84,106.8186,-6.4,"2024-02-09 09:14:57.582752"
"23",1,"ID","Bekasi","Rain","light rain",30.63,29.02,33.35,37.63,89,106.9896,-6.2349,"2024-02-09 09:14:58.274621"
"24",1,"ID","Samarinda","Clouds","overcast clouds",24.5,24.5,24.5,25.51,96,117.15,-0.5,"2024-02-09 12:24:42.743247"
"25",1,"ID","Balikpapan","Rain","light rain",25.55,25.55,25.55,26.62,94,116.8289,-1.2675,"2024-02-09 12:24:43.609879"
"26",1,"ID","Bandar Lampung","Rain","light rain",25.63,25.63,25.63,26.52,87,105.258,-5.4254,"2024-02-09 12:24:44.434987"
"27",1,"ID","Metro","Clouds","broken clouds",26.53,26.53,26.53,26.53,84,105.3067,-5.1131,"2024-02-09 12:24:45.196947"
"28",1,"ID","Pringsewu","Clouds","broken clouds",24.95,24.95,24.95,25.9,92,104.9744,-5.3582,"2024-02-09 12:24:45.890183"
"29",1,"ID","Palembang","Clouds","few clouds",28.05,28.05,28.05,32.71,83,104.7458,-2.9167,"2024-02-09 12:24:46.653806"
"30",1,"ID","Surabaya","Rain","moderate rain",29.45,26.97,29.45,30.13,49,112.7508,-7.2492,"2024-02-09 12:24:47.46909"
"31",1,"ID","Gresik","Clouds","broken clouds",29.43,26.95,29.43,36.21,81,112.6561,-7.1539,"2024-02-09 12:24:48.233856"
"32",1,"ID","Sidoarjo","Clouds","scattered clouds",26.98,26.98,29.47,31.1,94,112.7183,-7.4478,"2024-02-09 12:24:48.887354"
"33",1,"ID","Malang","Clouds","overcast clouds",23,23,23,23.91,98,112.6304,-7.9797,"2024-02-09 12:24:49.616891"
"34",1,"ID","Probolinggo","Rain","light rain",26.6,26.6,26.6,26.6,85,113.2159,-7.7543,"2024-02-09 12:24:50.243757"
"35",1,"ID","Semarang","Rain","moderate rain",28.96,28.96,28.96,34.42,79,110.4203,-6.9932,"2024-02-09 12:24:51.417009"
"36",1,"PH","Solo","Clouds","few clouds",25.5,25.5,25.5,26.09,76,120.9012,13.7469,"2024-02-09 12:24:52.217896"
"37",1,"ID","Yogyakarta","Clouds","scattered clouds",25.49,25.49,25.49,26.37,87,110.3608,-7.7828,"2024-02-09 12:24:52.847924"
"38",1,"ID","Medan","Clouds","few clouds",27.79,27.79,28.02,32.01,83,98.6667,3.5833,"2024-02-09 12:24:53.471655"
"39",1,"ID","Tebing Tinggi","Clouds","overcast clouds",25.78,25.78,25.78,26.74,89,99.1623,3.3274,"2024-02-09 12:24:54.212039"
"40",1,"ID","Makassar","Clouds","few clouds",28.03,28.03,28.03,35.03,100,119.4221,-5.14,"2024-02-09 12:24:54.844923"
"41",1,"ID","Jakarta","Clouds","scattered clouds",29.2,28.83,29.49,33.77,73,106.8451,-6.2146,"2024-02-09 12:24:55.665186"
"42",1,"ID","Tangerang","Clouds","few clouds",29.01,28.83,29.48,34.34,78,106.63,-6.1781,"2024-02-09 12:24:56.34071"
"43",1,"ID","Tangerang Selatan","Clouds","overcast clouds",29.32,28.66,29.32,34.06,73,106.7085,-6.2955,"2024-02-09 12:24:57.22674"
"44",1,"ID","Bogor","Rain","light rain",27.59,27.59,28.03,31.76,85,106.7892,-6.5944,"2024-02-09 12:24:57.98181"
"45",1,"ID","Depok","Rain","light rain",28.75,28.34,28.99,32.9,74,106.8186,-6.4,"2024-02-09 12:24:58.615105"
"46",1,"ID","Bekasi","Clouds","scattered clouds",29.1,28.81,29.46,33.74,74,106.9896,-6.2349,"2024-02-09 12:24:59.294628"
"47",1,"ID","Samarinda","Rain","light rain",23.71,23.71,23.71,24.7,98,117.15,-0.5,"2024-02-09 15:14:57.825282"
"48",1,"ID","Balikpapan","Clouds","few clouds",25.55,25.55,25.55,26.62,94,116.8289,-1.2675,"2024-02-09 15:14:58.484731"
"49",1,"ID","Bandar Lampung","Rain","light rain",24.77,24.77,24.77,25.65,90,105.258,-5.4254,"2024-02-09 15:14:59.212601"
"50",1,"ID","Metro","Rain","light rain",25.67,25.67,25.67,26.59,88,105.3067,-5.1131,"2024-02-09 15:15:00.086918"
"51",1,"ID","Pringsewu","Rain","light rain",24.54,24.54,24.54,25.5,94,104.9744,-5.3582,"2024-02-09 15:15:00.733468"
"52",1,"ID","Palembang","Clouds","few clouds",27.05,27.05,27.05,30.77,89,104.7458,-2.9167,"2024-02-09 15:15:01.731496"
