"","X","negara","kota","kondisi","detail_kondisi","suhu","suhu_min","suhu_max","feel_like","humidity","lon","lat","time"
"1",1,"ID","Samarinda","Clouds","overcast clouds",31.62,31.62,31.62,37.07,63,117.15,-0.5,"2023-12-30 07:20:51.697147"
"2",1,"ID","Balikpapan","Clouds","few clouds",30.55,30.55,30.55,37.55,79,116.8289,-1.2675,"2023-12-30 07:20:52.57152"
"3",1,"ID","Bandar Lampung","Clouds","overcast clouds",30.46,30.46,30.46,35.66,68,105.258,-5.4254,"2023-12-30 07:20:53.453057"
"4",1,"ID","Metro","Clouds","overcast clouds",32.22,32.22,32.22,36.39,56,105.3067,-5.1131,"2023-12-30 07:20:54.093581"
"5",1,"ID","Pringsewu","Rain","light rain",31.65,31.65,31.65,37.15,63,104.9744,-5.3582,"2023-12-30 07:20:54.894131"
"6",1,"ID","Palembang","Clouds","broken clouds",33.05,33.05,33.05,40.05,62,104.7458,-2.9167,"2023-12-30 07:20:55.752815"
"7",1,"ID","Surabaya","Rain","light rain",33.97,33.97,33.97,40.97,59,112.7508,-7.2492,"2023-12-30 07:20:56.35968"
"8",1,"ID","Gresik","Clouds","overcast clouds",33.95,33.95,33.95,40.83,57,112.6561,-7.1539,"2023-12-30 07:20:57.222922"
"9",1,"ID","Sidoarjo","Clouds","few clouds",33.98,33.98,33.98,40.98,59,112.7183,-7.4478,"2023-12-30 07:20:57.936088"
"10",1,"ID","Malang","Clouds","overcast clouds",28.73,28.73,28.73,33.22,76,112.6304,-7.9797,"2023-12-30 07:20:58.637158"
"11",1,"ID","Probolinggo","Clouds","broken clouds",32.16,32.16,32.16,37.45,60,113.2159,-7.7543,"2023-12-30 07:20:59.599544"
"12",1,"ID","Semarang","Clouds","scattered clouds",32.96,32.96,32.96,39.96,62,110.4203,-6.9932,"2023-12-30 07:21:00.310417"
"13",1,"PH","Solo","Clouds","scattered clouds",28.63,28.63,28.63,32.8,75,120.9012,13.7469,"2023-12-30 07:21:01.000025"
"14",1,"ID","Yogyakarta","Clouds","overcast clouds",30.08,30.08,30.08,35.48,71,110.3608,-7.7828,"2023-12-30 07:21:01.815256"
"15",1,"ID","Medan","Clouds","scattered clouds",26.68,26.68,27.02,29.67,88,98.6667,3.5833,"2023-12-30 07:21:02.512331"
"16",1,"ID","Tebing Tinggi","Clouds","overcast clouds",24.56,24.56,24.56,25.6,97,99.1623,3.3274,"2023-12-30 07:21:03.305585"
"17",1,"ID","Makassar","Thunderstorm","thunderstorm with rain",26.03,26.03,26.03,26.03,94,119.4221,-5.14,"2023-12-30 07:21:04.075327"
"18",2,"ID","Makassar","Rain","moderate rain",26.03,26.03,26.03,26.03,94,119.4221,-5.14,"2023-12-30 07:21:04.075327"
"19",1,"ID","Jakarta","Haze","haze",31.18,28.05,35.23,38.18,94,106.8451,-6.2146,"2023-12-30 07:21:04.71265"
"20",1,"ID","Tangerang","Rain","moderate rain",31.36,28.04,33.62,38.36,70,106.63,-6.1781,"2023-12-30 07:21:05.47241"
"21",1,"ID","Tangerang Selatan","Rain","light rain",32.08,27.88,33.45,39.08,81,106.7085,-6.2955,"2023-12-30 07:21:06.286792"
